Seriation_Number	Assemblage	881589-4513968-3	1-0-2	4315391-0-2206046	7615189-0-6811310	7615189-0-9563078	2-3-3	7615189-0-7275111	9057381-0-2	0-1-3338980	7615189-0-2092291	1-0-7158894	0-1-1	1240861-0-4	7615189-0-6819182	9314646-0-2206046	7937917-3-3	3-0-9895268	7615189-8070950-2	7615189-0-8193879	985399-0-2	3-0-1480425	2-4513968-6745780	5078583-4513968-7979611	2-4513968-3	7943172-4-0	8702025-4513968-3	2-9750565-0	3-8462156-2	5078583-4513968-3	2-4-0	2-0-2	3-0-4	3-0-2	6998671-0-2	3855138-0-2	3-315570-2206046	8574910-4-0	7615189-8459788-2092291	2-4513968-964361	5609878-0-2	1872509-0-2206046	7615189-0-2	1815904-0-2	7615189-0-4515941	5513537-0-9563078	3787830-0-2206046	3-0-2206046	5407640-3-3	7615189-0-7397176
7	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

8	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
8	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7
8	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

9	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
9	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
9	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

10	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
10	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
10	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

11	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
11	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
11	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

12	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
12	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
12	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

13	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
13	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
13	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

14	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
14	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
14	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

15	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
15	assemblage-685-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	81	0	0	0	0	225	0	25
15	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

16	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
16	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
16	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

17	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
17	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
17	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

18	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
18	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
18	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

19	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
19	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
19	assemblage-685-371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	81	0	0	0	0	225	0	25

20	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
20	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7
20	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

21	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
21	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
21	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

22	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
22	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
22	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

23	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
23	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
23	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

24	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
24	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
24	assemblage-920-847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	360	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11

25	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
25	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
25	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

26	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
26	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
26	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

27	assemblage-481-503	0	0	0	0	0	144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	61	0	13
27	assemblage-853-282	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	15
27	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10

28	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
28	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7
28	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

29	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
29	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7
29	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

30	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
30	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
30	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

31	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
31	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
31	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

32	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
32	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11
32	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

33	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
33	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
33	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

34	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
34	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
34	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

35	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
35	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
35	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

36	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
36	assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
36	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

37	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
37	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
37	assemblage-85-91	0	0	0	0	6	0	0	0	0	9	0	0	0	12	0	0	15	0	0	0	0	0	17	106	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	8

38	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
38	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
38	assemblage-480-533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	15	0	4

39	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
39	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
39	assemblage-604-776	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	4	0	7

40	assemblage-164-788	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	9	146	113	0	0	0	0	0	0	0	0	0	137	17	0	0	0	0	0	8
40	assemblage-491-351	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	99	0	16
40	assemblage-595-143	0	0	0	0	0	0	0	0	0	23	0	0	0	31	0	0	18	50	0	0	0	0	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	11

