Assemblage_Name	3690736-7028140-4	0-0-9216507	2679573-0-4905247	3553626-0-6423424	9586298-1058292-2269772	3732821-8407899-2	4-1-7583102	0-4804888-6885032	7061523-6089114-2269772	0-6955466-2	0-9725612-2	7551446-6089114-2269772	1689561-0-6539304	9586298-9071738-2269772	3553626-0-2	667269-0-2	1127249-9071738-2269772	7073787-6089114-2269772	5658054-0-4476754	7046304-6523084-3	4467594-0-9678221	3732821-9993981-2	3-0-3	9586298-5530670-2269772	4816804-9993981-2	3553626-0-3486208	9586298-6089114-2269772	6041521-9993981-2	0-0-9567888	922000-0-2	5658054-0-2	3-13568-4793633	9586298-3415494-2269772	7582557-0-2	9586298-5258981-2269772	9586298-725428-2269772	6645166-3829577-2	1367576-6089114-2269772	3732821-9993981-2615716	3732821-2-2	7444912-0-2	3553626-3829577-2	3-13568-9361314	0-0-2	0-3608663-6885032	2679573-0-2269772	3553626-3697358-2	8287089-0-2	9482360-3829577-2	3732821-9744730-2	3-72714-3	8612655-0-3	3310966-9993981-2	0-6941699-4711549	3732821-1373091-2615716	3-783538-4	1689561-8421113-6539304	7770222-0-2	3553626-422861-2	3690736-4961634-4	3553626-0-6539304	0-4804888-4711549	7834978-3829577-2	1138499-9993981-3769561	3732821-9993981-5241821	3732821-9993981-3769561	3690736-3767468-994997	4330741-9993981-2615716	14765-422861-2	7046304-1972091-3	3493913-9993981-2	2679573-0-3	9586298-1514832-2269772	0-9408246-6885032	3553626-0-8094361	5916766-0-3	9586298-7648912-2269772	9586298-0-2269772	6648972-9071738-2269772	3732821-9993981-6964913	3929744-9993981-5827477	9586298-6089114-7103958	2679573-6022236-2269772	3-0-9361314	3-9526801-4793633	9586298-1465272-2269772	0-5461222-2	0-4804888-2	7046304-0-3	9586298-5511829-2269772	7372001-0-2269772	3505182-0-2	3-1807723-9361314	3-0-4	3553626-0-165028	3732821-9993981-2037211	0-4804888-8830625	3732821-2580820-2	3929744-9993981-2	6513529-0-3	3690736-3767468-4	1129687-4804888-2
assemblage-644-613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	9	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	48	0	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-414-117	0	0	0	0	0	0	0	0	0	0	0	0	127	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	11	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-172-473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	130	0	21
assemblage-779-681	0	0	0	0	19	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	32	11	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	87	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	75	18
assemblage-792-155	9	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	33	0	0	0	0	0	0	0	7	0	24	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	144	36	0	0	0	0	0	0	0	0	0	0	0	30	18
assemblage-522-443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0	153	27
assemblage-284-140	0	0	0	0	0	12	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	24
assemblage-512-531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	123	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	34
assemblage-269-147	0	0	0	0	0	7	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-512-534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	18	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-842-245	0	0	0	0	0	0	0	37	0	0	0	2	7	0	63	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	5	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
assemblage-358-666	0	0	0	0	24	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	39	6	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	72	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	64	14
assemblage-392-346	0	0	16	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	120	80	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	8	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	32	0	26
assemblage-705-411	0	0	0	0	0	0	0	0	0	0	0	0	132	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-844-229	0	0	0	0	0	0	0	134	0	0	0	0	10	154	8	10	0	0	0	0	0	5	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	72	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-630-588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	10	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	49	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-357-740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	49	33	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	11	14	0	0	0	0	0	0	0	0	0	0	0	0	5	13	0	88	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	16	47
