Assemblage_Name	1613298-1-3	3866316-8414082-8374781	5857700-1-5094690	1-6680052-2	2-1-5117689	1-6760579-2	1-3-9282495	5857700-502996-3	577776-1-3	8462731-3-2	5857700-1502262-3	2-1-3	5857700-2028553-128410	171276-8414082-7975816	1-1-9643939	7748833-4-4	2-1-9314448	7216708-1-7975816	9028056-7469102-4567792	5857700-1-3	7567365-1-3	3866316-1-7975816	1-4-588492	3866316-8414082-7975816	4553632-7469102-2	3866316-8414082-7766893	4798911-2028553-128410	1-1570985-4	7211393-8414082-8672426	3866316-8414082-8672426	8929119-0-2	1-3-2	5857700-1-8768088	1-6824755-2	5952504-3-2	6679100-1-3	1-4-4	3866316-4674747-7975816	1-1-7975816	5857700-1-128410	2-1-1168794	2-1-7819610	5857700-1-7156729	9028056-3-2	1-2050665-9643939	3866316-8543375-7975816	3866316-5459538-7975816	5857700-7600171-3	3-0-2	9954363-0-6630532	1-4832600-2	5857700-1-6960395	5857700-8176341-3	9028056-7469102-2	26907-8414082-7975816
assemblage-864-750	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	17	0	0	93	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	16
assemblage-560-348	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	80	0	0	0	54	0	0	0	0	0	115	0	0	0	0	0	0	0	6	0	0	117	14	0	0	0	0	0	0	0	0	0	0	0	97	11
assemblage-567-336	8	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	35	0	0	0	0	0	0	0	299	12
assemblage-850-233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	36	0	0	0	0	0	113	0	0	0	0	0	0	0	9	0	0	137	10	0	0	0	0	0	0	0	0	0	0	0	93	17
assemblage-753-669	0	9	0	0	0	0	0	0	0	0	0	206	0	4	0	0	10	0	0	20	0	0	0	156	0	0	0	0	0	0	6	13	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	6
assemblage-377-676	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	14	0	0	0	0	72	32
assemblage-888-861	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	23	0	0	71	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	26
assemblage-276-141	0	0	0	0	4	0	0	0	0	0	0	303	0	0	0	0	0	0	0	151	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-522-543	0	0	0	0	0	7	0	0	0	0	0	74	0	0	0	0	0	0	0	195	0	0	0	23	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-838-264	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	38	0	0	0	0	0	0	0	315	21
