Assemblage_Name	0-4286240-0	0-9996605-2520166	0-8664758-0	0-7530224-0	0-3331505-0	0-9996605-9778910	0-9996605-3735057	7403536-9996605-0	0-5779877-0	0-9996605-7883775	0-4514651-0	6969077-4-0	0-4142574-0	0-4-906250	9489051-9996605-0	0-2335481-0	0-9996605-6665116	0-1704465-0	0-9996605-7530810	6425084-9996605-0	0-9996605-7794784	2240789-2-3	0-7687161-0	0-9996605-5805014	0-7613401-0	2575805-9996605-0	0-4-1646043	0-3129966-0	0-1306001-0	4-2-3	0-2096741-0	0-9996605-3844097	371043-4-0	8931893-9996605-0	7275831-9996605-0	0-4-4649948	7658266-4-0	0-5144281-0	3823156-9996605-0	2310698-4-0	8654413-9996605-0	2919334-9996605-0	1702014-2-3	0-6662477-0	3020963-2-3	2-2-8225412	0-4-8335342	0-4-325275	0-4-6641720	6005685-9996605-0	0-9996605-277029	0-4-8697103	0-6996997-0	0-3307320-0	0-9996605-353258	2-2-4233890	0-618809-0	0-1643670-0	0-8071305-0	0-4286460-0	2670978-9996605-0	1053822-4-0	4-4497095-3	0-9996605-0	0-9996605-871608	0-6924548-0	0-9996605-9962934	0-1893237-0	2-2-2534279	0-391353-0	0-9996605-2943425	6406597-9996605-0	68130-4-0	0-9996605-6815674	0-4-0	2-2-3	0-4119649-0	0-1892559-0	0-9996605-9040107	0-1318837-0	0-4-5618404	4-2320912-3	0-4-5370004	0-7582659-0	0-9996605-5943623	0-3044249-0	0-212110-0	2050871-9996605-0	2989106-4-0	0-4-7257680	8733385-9996605-0	3925563-4-0	0-6071205-0	0-5253853-0	4400969-9996605-0	0-9996605-6800128	0-8939724-0	0-9996605-2307835	0-1425283-0	0-1266265-0	4-85909-3	0-991652-0	0-9996605-848198	0-9005635-0	0-9442815-0	0-9996605-1541068	0-9996605-8726054	3220515-9996605-0	0-4791145-0	0-4-9150860	2659998-9996605-0	5297101-9996605-0	2-7507508-3	5332888-9996605-0	0-3198141-0	0-9996605-3725452	4489837-9996605-0	0-9996605-7416297	0-8706587-0	3610069-9996605-0	0-9996605-9315471	5758826-9996605-0	0-2464951-0	0-9996605-7125669	4103535-9996605-0	0-5511641-0	0-9996605-4503591	0-886210-0	0-9996605-2496486	3291013-9996605-0	2279822-9996605-0	7602505-4-0	2269714-4-0	0-9996605-9471923	8150698-9996605-0	0-488173-0	6790832-2-3	9706211-9996605-0	2715420-9996605-0	0-890452-0	0-4-5529138	0-5426023-0	0-2827307-0	8293266-4-0	0-9996605-1277764	7243724-9996605-0	4469166-4-0	0-1637905-0	5528584-9996605-0	5860386-9996605-0	8926991-9996605-0	0-7692134-0	2-1694891-3	0-9996605-312379	0-4-2570047	5575576-9996605-0	0-2267325-0	0-1892559-9931997
assemblage-9-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	13290	0	0	0	0	0	0	0	0	0	0	412	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	0	0	3	1	5	0	0	1	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3689	0	0	0	0	1	0	0	0	1	0	5745	1861	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0
assemblage-23-24	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	23	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	23250	25	0	0	0	0	0	0	0	0	0	1156	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
assemblage-1-13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0
assemblage-13-7	3	0	0	0	1	0	0	0	0	5	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
assemblage-21-3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	22145	4	0	0	0	0	0	0	0	0	0	5696	1837	0	5	3	0	0	0	6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
assemblage-16-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12635	4	0	0	1	0	0	0	0	0	0	2246	838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6759	3	0	0	0	0	0	0	0	0	0	2249	1213	0	4	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-17-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3025	0	0	0	0	0	0	0	0	0	0	6181	2022	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0
assemblage-4-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	365	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9805	0	0	0	0	0	0	0	0	0	0	5378	1633	0	0	0	1	0	44	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
