Assemblage_Name	3-825984-2	1-2-600017	667985-2-0	1581759-2-4160978	4779043-2-0	1-2-8508308	1-2496825-3	2-8600665-1	3-3-2	887277-2496825-3	3-7628619-2	1-2-210006	2-4-7177737	3-3-5674464	3840620-4-6094288	0-1-0	1-2-2509824	0-2142910-0	0-2980545-0	3988491-3-2	0-5801320-1	7129940-2-0	3-3-8280483	0-1-6432484	7202287-3-2	5220143-3-2	5817480-1-0	3840620-335903-1	1-9391180-0	0-6040300-0	2-9250355-4	0-1-2788888	0-2-1	807526-2-0	2197359-3-5674464	3840620-4-1	2-3092540-1	1-1880518-0	2-4-1	2-4-4	2-0-4	1-4007708-0	1-2496825-6154100	2-4-1098832	2-1940404-1	1-9977624-3	2-9501971-1	7386862-0-4	1-2-5838455	650636-4-1	1-749490-3	1-2-3	1-2-0	3906497-2-0	0-2-4380871	0-2399781-0	1-2-3323407	1-2496825-5460886	2885977-4-1	1-2-5099040	3-4575315-2	1-6649167-0	3889758-1-0	1-761108-0	3134806-2-3
assemblage-597-375	0	0	0	0	0	0	0	0	90	0	0	0	0	8	0	113	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	41	0	75	0	0	0	0	0	0	0	0	0	0	25	50	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-251-469	0	0	0	0	0	0	0	0	25	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	185	0	0	30	0	0	0	0	0	0	0	0	0	0	8	0	131	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-558-959	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	225	0	0	0	0	0	0	0	26	0	0	0	4
assemblage-594-361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	209	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-787-607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	49	16	0	57	0	0	0	0	0	0	0	0	0	0	0	0	5	335	0	0	0	23	0	0	0	0	0	0	0	8
assemblage-686-200	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	62	221	0	0	0	0	0	0	0	74	0	0	0	2
assemblage-830-468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	183	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-423-372	0	0	0	0	0	0	0	0	24	0	0	0	0	14	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	204	0	0	47	0	0	0	0	0	0	0	0	0	0	8	0	83	13	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-575-465	0	0	8	0	0	0	9	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	14	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	94	190	0	0	0	0	0	0	0	43	0	0	0	0
assemblage-464-828	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	131	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	182	0	0	0	0	0	0	0	0	0	0	0	9
