Seriation_Number	Assemblage	823213-7284367-34515	3946190-4-2	5610498-2-4	2-4-5314329	3552585-4-2	2-4-8959839	823213-4-6600752	2-4-7135794	5805629-2-1	2-2-1	8092959-4-2776790	2-4-2776790	1699386-4-2	2-4-4103850	4958643-4-3646624	7250888-2-4	823213-4-1236678	0-2-4	823213-4-3690380	2-4-5562174	823213-2644870-34515	2-4-491684	823213-7284367-6082563	2-4-2	823213-4-6488607	2-2-672240	4958643-607828-3269122	4958643-4-3269122	2-4-3424143	4-2-4	2303633-4-2	7913822-607828-3269122	823213-4-34515	4378603-4-34515	2-7527780-1	2799825-2-4	823213-4-2	5805629-6272981-1	1699386-4-3037648	823213-2885997-34515	4958643-4-2	9659669-4-4103850	3911063-7284367-34515	823213-7284367-7464847	823213-1203819-34515	2-2523473-6266002	4958643-5160136-2	2-4-8411193	2209031-4-6488607	2-1301171-2776790	823213-360755-7270754	2-1100523-2	823213-1891676-6082563	823213-360755-34515	2205767-7284367-34515
1	assemblage-491-497	0	0	79	0	0	0	0	0	0	281	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
1	assemblage-363-501	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	33	0	0	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
1	assemblage-85-91	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	171	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	47	0	0	0	0	0	0	0	0	0	110	19

2	assemblage-491-497	0	0	79	0	0	0	0	0	0	281	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
2	assemblage-363-501	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	33	0	0	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
2	assemblage-480-533	37	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	47	0	0	0	17	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	218	13

3	assemblage-988-869	0	0	0	0	0	0	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	22	0	0	13	0	0	0	0	0	0	0	423	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	11
3	assemblage-480-533	37	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	47	0	0	0	17	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	218	13
