Seriation_Number	Assemblage	0-1-3	1-7417031-3	2-6565262-2	2199527-3-3	2-5522917-2	0-1109536-3	1-3-1172501	1-4-4	0-987213-3	1-3-3	1-3-4506171	2-2-2	8339840-2-2	0-1-1197249	1-3-7206783	3-3-1	0-2-2	3387650-1-3	6751570-1-3	1-7129724-3	1-5618282-3	1-3-5304560	0-2953805-3	2528839-3-3	1-8619447-3	2410379-1-3	4987595-2-2
26	assemblage-959-569	258	0	0	0	0	0	0	0	0	194	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	assemblage-797-258	392	0	0	0	0	0	0	0	0	79	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

27	assemblage-895-535	174	0	0	0	0	0	0	0	0	252	0	47	0	0	0	9	18	0	0	0	0	0	0	0	0	0	0
27	assemblage-959-569	258	0	0	0	0	0	0	0	0	194	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	assemblage-692-536	225	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

28	assemblage-895-535	174	0	0	0	0	0	0	0	0	252	0	47	0	0	0	9	18	0	0	0	0	0	0	0	0	0	0
28	assemblage-959-569	258	0	0	0	0	0	0	0	0	194	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	assemblage-678-542	247	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

29	assemblage-895-535	174	0	0	0	0	0	0	0	0	252	0	47	0	0	0	9	18	0	0	0	0	0	0	0	0	0	0
29	assemblage-959-569	258	0	0	0	0	0	0	0	0	194	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	assemblage-867-918	126	0	0	0	0	0	0	0	0	157	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

30	assemblage-782-274	79	0	0	0	0	0	0	0	0	419	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	assemblage-678-542	247	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	assemblage-692-536	225	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

31	assemblage-782-274	79	0	0	0	0	0	0	0	0	419	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	assemblage-867-918	126	0	0	0	0	0	0	0	0	157	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	assemblage-797-258	392	0	0	0	0	0	0	0	0	79	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

32	assemblage-782-274	79	0	0	0	0	0	0	0	0	419	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	assemblage-867-918	126	0	0	0	0	0	0	0	0	157	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	assemblage-692-536	225	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

33	assemblage-782-274	79	0	0	0	0	0	0	0	0	419	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	assemblage-867-918	126	0	0	0	0	0	0	0	0	157	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	assemblage-678-542	247	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

34	assemblage-782-274	79	0	0	0	0	0	0	0	0	419	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	assemblage-453-873	205	0	0	0	0	0	0	0	0	293	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	assemblage-495-766	59	0	0	0	0	0	0	0	0	264	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

35	assemblage-782-274	79	0	0	0	0	0	0	0	0	419	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
