Assemblage_Name	4-3398823-3	3128491-4-3	1-1-3	4-4-3242753	3-1-6082684	4-8034054-3	4-4-527897	4-4-5940319	4-1-2	4-6389093-9679342	4-9811105-4977722	931659-2-2	0-1-0	2610108-4-9679342	931659-2-9402471	3128491-4-6935916	4-2-1081999	5847693-4-3	1014608-4-8951103	4-9207126-2	4-488167-2	4-2583421-2	2-2-1	931659-2-1717574	4-6881239-2	4-5962044-3	8709997-4-3	4-0-3	4-18006-3	4018527-2-1	3-1-4	4-3671324-3	4299931-1-2	2255222-2-2	4-4-2304922	9049390-7537704-3	6279360-2-2	4067053-2-2	1871281-4-3	3-1-2	4-12348-4977722	7195954-4-3	127742-4-3	9049390-4-3	4-4-3	4-4-7252834	2959469-4-3	4-4-4977722	4-2-2	4-7777909-4977722	931659-2347877-2	4-4-9679342	4-5900093-9679342	4-4-5079040	7841482-2-2	4-8712003-3	4-4-6187429	4-2265196-4977722	4-2500284-3	4-4-8951103	4-6334714-3	4-4-7276571	4-3061366-3	4-4-2225908
assemblage-189-363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	306	13	0	0	0	0	0	0	0	0	0	0	10
assemblage-367-929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	17	0	0	0	0	0	0	132	0	0	0	0	11	0	0	71	0	242	0	4
assemblage-750-917	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	19	0	9	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-831-976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-544-479	0	0	33	0	6	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	10	57	0	0	0	0	0	0	0	0	69	0	0	0	0	98	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-414-919	0	11	0	0	0	0	0	0	0	0	0	26	0	0	9	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	52	66	0	0	55	0	0	0	0	0	0	0	0	0	0	0	36
assemblage-656-900	0	0	0	0	0	0	7	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	16	0	0	0	371	0	0	0	0	0	13	0	0	0	0	0	10
assemblage-983-1003	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-506-586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	28	0	0	0	0	0	0	58	0	0	77	8
assemblage-864-394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	12	0	0	0	0	0	0	18	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	178	13
