Seriation_Number	Assemblage	1807666-1-1	6334506-1-2	2-1-1807070	2712676-4-1	8139570-4-1	0-8184127-3	114927-4-1	9331677-3-3	3-4-1397596	0-3-9928162	614292-4-4	2-1108444-1	4-4-9553351	0-3-3519711	0-36734-3	4-8085772-1	2-7153720-2	3-5172071-4	7139811-3-3	1-3-1	9996851-1-1	4-3730190-1	1129080-1-2	2-1-2	2-1-1	4-4-6142845	3-4-3	3-4-4	2-1-2673443	4-4-5636814	2-1-806249	2-1-5138464	4-1498874-1	0-3-1780733	4-4-1	4988330-4-1	2-8336232-2	0-6687833-3	4-4-6414502	0-3-3	1-3-2364009	4-4-8013218	2-4907191-2	9129848-4-1	1179199-4-1
26	assemblage-902-178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	236	0	0	0	0	0	0	111	0	0	0	0	43	0	0	0	0	0
26	assemblage-663-338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	95	0	0	188	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0

27	assemblage-527-802	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	409	0	0	0	0	33	0	0	0	0	0
27	assemblage-782-255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	1	0	0	0	0	0	0	118	0	0	0	0	167	0	0	0	0	0
27	assemblage-663-338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	95	0	0	188	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0

28	assemblage-527-802	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	409	0	0	0	0	33	0	0	0	0	0
28	assemblage-782-255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	1	0	0	0	0	0	0	118	0	0	0	0	167	0	0	0	0	0
28	assemblage-902-178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	236	0	0	0	0	0	0	111	0	0	0	0	43	0	0	0	0	0

29	assemblage-527-802	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	409	0	0	0	0	33	0	0	0	0	0
