Assemblage_Name	3-0-8506750	3-8145377-4	3-6152922-4	3-2009475-4	5993560-0-4	6236233-0-4	3-0-9127778	21486-0-4	3-0-1485587	3-9645492-4	3-0-9262120	2273269-0-4	9705011-0-4	3-6922407-4	3-1598968-4	3-3929981-4	0-4-1381757	3-0-3306022	3-7735238-4	3-0-888176	3-0-4534199	77371-0-4	0-3-1745420	3359492-0-4	0-3-4554137	4375517-0-4	3-1103270-4	7877526-0-4	0-3-7483780	0-3071242-1	3-0-9516317	3-7501955-4	3-0-1423681	0-7731806-1	3-3854565-9366873	3-0-8100121	3-0-8968084	3-6083405-4	3-0-1247522	3-3299820-4	3-6828605-4	3-3399687-4	0-4208353-1	7380381-0-4	5951448-3-1	3-0-3433766	0-4-2363681	3-1672161-4	3-6134331-4	3-0-2842631	0-4199210-1	3-0-2885637	8554711-0-4	3-0-8801988	0-3-5178791	0-3-3735218	3-0-5192390	3-0-5151523	3-0-4	5321565-0-9366873	0-505686-1	3-0-4023988	0-4-3928236	3-0-2584985	3-8036887-4	5682585-0-4	0-3-1	0-4-1	3-899300-4	3-0-8583170	3-4276714-4	3-8905539-4	9071223-0-4	3-9834528-4	0-3-159707	0-6919197-1	4711144-0-4	8392633-0-4	3-7605714-4	0-8325688-1	4923100-3-1	2037463-0-9366873	3-3658599-4	3-0-7588888	6740747-0-4	3086724-4-1	3-1808519-4	0-9852053-1	3-7314597-4	3307692-0-9366873	3-1054710-9366873	9394976-0-4	5778622-4-1	0-4-287898	3-5627133-4	3-0-3151644	1859593-3-1	5928553-0-4	3-7255450-4	3-0-5856141	7478204-0-4	8678903-0-4	3-0-5252178	3-0-4469485	0-355140-1	3-2238416-4	0-9471994-1	3-7932082-4	8996423-0-4	9200938-0-4	6982310-0-4	7167452-0-4	3-7978823-4	3-9216450-4	4565219-0-4	0-3-7483000	0-3-6452565	3-4272007-4	3-0-4761746	3-5287154-4	0-5478923-1	3-0-9768192	3-0-9366873	0-3071332-1	3-147877-4	3-7535829-4	0-3-2071815	3924044-0-4	5568325-0-4	3-0-1480559	6031231-0-4	3-4006206-4	3-0-3321193	3-1818501-4	3-3996613-9366873	3-230078-9366873	7396318-0-4	3-3595963-4	2311936-0-4	3-0-6215854	22522-3-1	1942130-0-4	3-3215837-4	3-6092239-4	3-0-9896120	3-0-1249356	3-4473715-4	3-0-9523581	3-5110157-4	0-6245950-1	6767865-0-4	3-3627713-4	3-0-1055785	3-923275-4	3-0-424834	3-0-5655456	3-0-9129590	3-0-4783403	2966382-0-4	3-0-1328465	3-0-4432147	2340017-0-4	3880118-0-4	3-925635-4	2252875-3-1	3-2245471-4	4375770-0-4	3-0-7471097
assemblage-9-3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28644	0	0	0	0	0	0	0	13131	5298	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-9-2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	65215	0	0	0	0	0	0	0	10058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15102	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	14	1
assemblage-33-5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	0	0	108096	0	1	0	0	0	0	2	27092	456	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	2	0	0	2859	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-34-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	1	0	0	0	0	0	0	99807	0	0	0	0	0	0	0	36912	4615	0	0	2	0	0	0	6	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	8	5	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-64-2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35699	0	0	0	0	0	0	0	12313	649	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-34-3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63940	0	0	0	0	0	0	0	25770	6010	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0
assemblage-61-15	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	410	0	0	0	0	0	0	0	0	0	0	0	0	36935	0	0	0	0	0	0	0	4849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-59-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	717	0	0	0	0	0	0	0	0	0	0	0	0	101284	0	0	1	0	0	0	0	19278	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	15204	0	0	0	0	0	0	1	0	0	0	0	65	0	6	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
assemblage-99-1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	558	0	0	0	0	0	0	0	0	0	0	0	0	137209	0	0	0	0	0	0	0	31857	674	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	14907	0	0	0	0	0	0	0	0	3	0	0	5	1	0	0	0	0	0	0	27	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	10	0
assemblage-38-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	64473	0	0	0	0	0	0	0	25321	5934	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-39-9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36235	0	0	0	0	0	0	0	12020	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-49-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30068	0	0	0	0	0	0	0	4567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11452	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
