Assemblage_Name	1-4-1142065	1-4-9601157	2-5290882-4	1-2672611-3	3836856-4-1674480	3365528-4-3	1-4-8306976	1-7630867-3	1-4350989-3	1-4253210-3	1-4-3	1-2487980-3	1-6059218-3	1-4-6590450	1-8653171-3	1-4-8400948	2-3-4	1-5644663-3	1-3164207-3	7392143-4-3	773702-4-3	1-2080934-3	9322889-4-3	1-4-1164071	3836856-6653671-3	4700805-4-3	1-221921-3	1-6911946-3	1-7677319-3	1-9317931-3	1-4-7560777	1-4-5148483	2711130-4-3	7165068-4-3	1-6826114-3	1-4-3888443	1-7694786-3	1-4-246582	5754370-4-3	1-9044504-3	445746-4-3	1-1654357-3	1-6137714-3	3183219-4-3	2058561-4-3	1-4-1330624	1-1907835-3	1-4-8193987	9361023-4-3	6206994-4-3	677835-4-3	1-6521599-3	1-4-1938917	1-4-13501	1-3549710-3	1-4-9140581	1-5628522-3	4454433-4-3	6649893-4-3	5570451-4-3	1-4-8525481	8838429-4-3	1-4-9997290	5407445-4-3	1992030-4-3	1-4-8826298	1-4-8614103	5725753-4-3	1-4-6904461	1-7646771-3	1-4-2450170	1-4-6953319	1-1226455-3	1-9421600-3	1-9644997-3	1-6856374-3	9798176-4-3	4029594-4-3	6297380-4-3	1-87675-3	1-4-8917878	609852-4-3	1824913-4-3	1-7275721-3	1-5298034-3	9063702-3-4	1-4-70654	2931033-4-3	1-4-5588798	1-5994729-3	6109162-4-3	1-4-4569725	6437535-4-3	1-3893783-3	1-4-916217	1-4-9823707	1-5940358-3	1-4-5536155	1-5125436-3	1-1905395-3	420222-4-3	3836856-4-630683	1-5376455-3	1-4-7584706	1-4-4754773	688617-4-3	1-4-9812854	1-4-9405768	1-4-2365670	1-4-8333714	6356275-3-4	2721252-4-3	5505189-4-3	298407-4-3	8881028-4-3	1-4-1444128	3836856-4-3	1-4003476-3	9924031-4-3	2-3-1009592	3712598-4-3	898739-4-3	1-4-8804833	1-4-7262907	1-4395580-3	1-4-4204914	6905332-4-3	1337546-4-3	1081968-4-3	1-4-8932622	1-2935052-3	1-1055487-3	1-4-8793497	293281-4-3	2-3-521212	8511330-4-3	1-5330877-3	1-4-2670667	1-4-7269614	1-4-9406058	656766-4-3	7228799-4-3	1-1611434-3	14886-3-4	1-8670008-3	1-4-8029402	3836856-8207456-3	1-3907744-3	5513915-4-3	854087-4-3	3509825-4-3	1-9780747-3	1-4-9545473	1-1713590-3	4386123-3-4	1-2193659-3	7877394-4-3	5765789-4-3	1-4-6900909	3836856-8970862-3	1-9045799-3	1-4-7849894	1-4-9834533	1-7616560-3	1-4-9961088	2586853-3-4	1-2430650-3	1-4-4285783	1-7468690-3	1-4-2373184	1-4-1874212	215440-4-3
assemblage-39-9	0	0	0	0	0	0	6	0	0	0	41979	0	0	0	0	0	3717	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2952	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-49-14	0	0	0	0	0	0	0	0	0	0	40802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551	0	0	0	0	0	0	0	0	0	3510	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-87-9	0	0	0	0	0	0	0	0	0	0	39463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	0	0	5054	0	0	0	0	0	5	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-4-18	0	0	0	0	0	1	0	0	0	0	36288	0	0	0	0	0	10855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-84-18	0	0	0	0	0	0	0	0	0	0	39977	0	0	0	0	0	218	0	0	0	0	0	0	5	0	0	24	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-95-4	0	0	0	0	0	0	0	0	0	0	40304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	514	0	0	0	0	0	0	0	0	0	4099	0	0	0	0	0	0	0	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-16	0	0	0	0	0	0	8	0	0	0	119744	0	0	0	0	0	14705	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	1	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	22	0	0	0	0	6645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-15	1	0	0	0	2	0	0	0	0	0	82447	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	4	0	0	4	0	0	0	2	0	0	0	0	0	0	804	0	1	0	0	1	0	0	0	0	6438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-34-13	0	0	0	0	0	0	0	0	0	0	37468	0	0	0	0	0	9710	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-85-4	0	0	0	0	3	0	0	0	0	0	81062	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	3	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1074	0	2	0	0	0	0	0	0	0	7307	0	0	0	3	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	29	0	0	0	0	1	0	415	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
