Assemblage_Name	9377849-3-4	2-3-4	2-4296702-4	2-7732660-4	2-3-4081760	9384108-4-2	4152991-3-4	2-3-9201080	2-8846674-4	0-3-3	5648863-4-2	2-6003833-4	2-3-2034368	4-3-0	2-2935840-2	1-2-2155108	1-2-4	3-2-1	3-2-4	2-4-2	610163-3-4	2810163-3-0
assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0
assemblage-776-257	0	232	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	30	0	0
assemblage-431-636	0	7	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	57	15	402	0	0
assemblage-886-922	0	13	0	0	0	0	0	0	0	0	0	0	0	23	3	0	0	25	14	422	0	0
assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0
assemblage-452-848	0	453	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	46	0	0
assemblage-850-598	0	281	0	2	0	0	0	0	0	0	0	0	0	130	0	0	13	0	73	0	1	0
assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0
assemblage-446-859	0	191	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	258	0	0
assemblage-170-261	0	14	0	0	0	0	0	0	0	0	0	0	0	106	0	0	30	234	0	116	0	0
assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
assemblage-879-531	0	17	0	0	0	0	0	0	0	0	0	0	0	120	0	0	11	144	0	208	0	0
