Assemblage_Name	7625912-3-0	1151317-3-4	3-3-1941712	4528469-3-4	5180057-3-0	3-3-6794026	3-3-8832372	2-1-5102241	6886388-3-0	3-3-2242043	3-3-4846352	3-4258235-0	8569811-3-0	3-5904459-0	3-3-8393036	3-3-7129328	3-3-28084	1-0-9202069	4080754-3-0	2-1-7690797	3-5959870-0	3-3-7199989	3-3-2826600	682089-3-0	1-0-1	3106972-3-0	3-6080466-0	3-3-1809913	2-1-4	2-1-5906191	2-1-911513	3-2398837-0	3-3-9986904	2-1-407797	3-3-8724763	3-3-3592075	1-0-4930498	5213030-3-0	3-3-6913921	353293-3-4	7535894-3-0	3-1713967-0	3-9407662-0	7714862-3-0	8332485-0-1	3-3-4	5885982-3-4	3-3-0	3-8236812-0	3-3612849-0	3-9618826-0	3-3-1633694	217582-1-4	3-1794168-0	5219332-1-4	2-5597874-4	3089552-3-0	2-5342139-4	3-5775730-4	6414665-3-0	2-1-1939643	543127-3-0	3-3-20537	854063-3-0	2-3697097-4	3-477236-4	2-1-2628625	2-5850146-4	3-3-600193	3-3-388812	3-3-2476169	1-5377392-1	1-0-3189005	3-4176784-0	3-6792613-0	8905485-3-0
assemblage-36-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5150	0	0	0	10988	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	3380	0	5289	0	0	0	0	0	0	0	0	0	0	0	0	1	0	22	0	0	4	2	0	0	0	0	0	0	0	1	0
assemblage-35-61	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	17792	43	0	0	6	0	0	0	0	0	1	0	12	0	0	0	0	32	0	41812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-10-73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1100	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	59871	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-10-70	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2449	0	0	0	2734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11035	1	8532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-73-74	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	1	34	0	0	0	17708	0	1	0	0	0	0	1	0	0	0	0	0	0	75	0	0	13046	0	29370	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
assemblage-57-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10422	0	0	0	3471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4911	0	6035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
assemblage-12-3	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54797	0	0	0	0	0	0	0	0	1	0	0	0	0	6090	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-14-69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8575	0	0	0	1255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6558	0	8452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
assemblage-41-51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7855	0	0	0	1275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6550	0	9143	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
assemblage-32-41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	1478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59332	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
assemblage-39-34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5385	0	0	0	11019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2950	0	5461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	15	0	0	0	0	0	0	0	0	0	0
assemblage-26-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9979	0	0	0	4240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4958	0	5663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-67-41	0	67	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2981	0	0	0	3341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10471	0	7970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	2	1	0	0	0	0	0	0
assemblage-5-34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	18442	0	3	0	0	0	0	0	0	0	0	0	0	0	64	0	0	12822	0	28878	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
assemblage-71-55	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	17457	0	0	0	0	0	0	1	0	0	0	0	0	0	50	0	0	13031	0	29669	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-47-16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10326	0	0	0	3924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4869	0	5718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
