Seriation_Number	Assemblage	7625912-3-0	1151317-3-4	3-3-1941712	4528469-3-4	5180057-3-0	3-3-6794026	3-3-8832372	2-1-5102241	6886388-3-0	3-3-2242043	3-3-4846352	3-4258235-0	8569811-3-0	3-5904459-0	3-3-8393036	3-3-7129328	3-3-28084	1-0-9202069	4080754-3-0	2-1-7690797	3-5959870-0	3-3-7199989	3-3-2826600	682089-3-0	1-0-1	3106972-3-0	3-6080466-0	3-3-1809913	2-1-4	2-1-5906191	2-1-911513	3-2398837-0	3-3-9986904	2-1-407797	3-3-8724763	3-3-3592075	1-0-4930498	5213030-3-0	3-3-6913921	353293-3-4	7535894-3-0	3-1713967-0	3-9407662-0	7714862-3-0	8332485-0-1	3-3-4	5885982-3-4	3-3-0	3-8236812-0	3-3612849-0	3-9618826-0	3-3-1633694	217582-1-4	3-1794168-0	5219332-1-4	2-5597874-4	3089552-3-0	2-5342139-4	3-5775730-4	6414665-3-0	2-1-1939643	543127-3-0	3-3-20537	854063-3-0	2-3697097-4	3-477236-4	2-1-2628625	2-5850146-4	3-3-600193	3-3-388812	3-3-2476169	1-5377392-1	1-0-3189005	3-4176784-0	3-6792613-0	8905485-3-0
1	assemblage-61-59	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55106	0	0	0	0	0	0	0	0	0	0	0	0	0	5723	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	assemblage-14-69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8575	0	0	0	1255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6557	0	8452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1	assemblage-57-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10422	0	0	0	3471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4911	0	6035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0

2	assemblage-46-6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55623	0	0	0	0	0	0	0	0	0	0	0	0	0	5290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	assemblage-14-69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8575	0	0	0	1255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6557	0	8452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2	assemblage-57-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10422	0	0	0	3471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4911	0	6035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0

3	assemblage-46-6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55623	0	0	0	0	0	0	0	0	0	0	0	0	0	5290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	assemblage-61-59	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55106	0	0	0	0	0	0	0	0	0	0	0	0	0	5723	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	assemblage-57-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10422	0	0	0	3471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4911	0	6035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0

4	assemblage-46-6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55623	0	0	0	0	0	0	0	0	0	0	0	0	0	5290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	assemblage-61-59	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55106	0	0	0	0	0	0	0	0	0	0	0	0	0	5723	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	assemblage-14-69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8575	0	0	0	1255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6557	0	8452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

5	assemblage-55-53	0	8	0	0	2	0	3	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	6224	0	0	21	42951	26	0	1	0	2	5	0	0	0	0	0	0	0	81	0	0	18893	0	191286	0	0	0	0	0	0	0	3	0	2	0	0	0	7119	0	2	0	59	0	8	0	0	0	0	0	0	0	0
5	assemblage-46-6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55623	0	0	0	0	0	0	0	0	0	0	0	0	0	5290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	assemblage-61-59	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55106	0	0	0	0	0	0	0	0	0	0	0	0	0	5723	0	0	0	0	0	0	0	0	0	0	0	0	0	0

6	assemblage-5-34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	18442	0	3	0	0	0	0	0	0	0	0	0	0	0	64	0	0	12822	0	28878	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
6	assemblage-46-6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55623	0	0	0	0	0	0	0	0	0	0	0	0	0	5290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	assemblage-61-59	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55106	0	0	0	0	0	0	0	0	0	0	0	0	0	5723	0	0	0	0	0	0	0	0	0	0	0	0	0	0

7	assemblage-5-34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	18442	0	3	0	0	0	0	0	0	0	0	0	0	0	64	0	0	12822	0	28878	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
7	assemblage-55-53	0	8	0	0	2	0	3	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	6224	0	0	21	42951	26	0	1	0	2	5	0	0	0	0	0	0	0	81	0	0	18893	0	191286	0	0	0	0	0	0	0	3	0	2	0	0	0	7119	0	2	0	59	0	8	0	0	0	0	0	0	0	0
7	assemblage-61-59	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55106	0	0	0	0	0	0	0	0	0	0	0	0	0	5723	0	0	0	0	0	0	0	0	0	0	0	0	0	0

8	assemblage-5-34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	18442	0	3	0	0	0	0	0	0	0	0	0	0	0	64	0	0	12822	0	28878	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
8	assemblage-55-53	0	8	0	0	2	0	3	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	6224	0	0	21	42951	26	0	1	0	2	5	0	0	0	0	0	0	0	81	0	0	18893	0	191286	0	0	0	0	0	0	0	3	0	2	0	0	0	7119	0	2	0	59	0	8	0	0	0	0	0	0	0	0
8	assemblage-46-6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55623	0	0	0	0	0	0	0	0	0	0	0	0	0	5290	0	0	0	0	0	0	0	0	0	0	0	0	0	0

9	assemblage-26-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9979	0	0	0	4240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4958	0	5663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9	assemblage-47-16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10326	0	0	0	3924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4869	0	5718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
9	assemblage-61-59	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55106	0	0	0	0	0	0	0	0	0	0	0	0	0	5723	0	0	0	0	0	0	0	0	0	0	0	0	0	0

10	assemblage-26-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9979	0	0	0	4240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4958	0	5663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10	assemblage-46-6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55623	0	0	0	0	0	0	0	0	0	0	0	0	0	5290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
