Assemblage_Name	2-0-2599677	3884843-0-6543642	2-0-6947666	2-0-3951293	3884843-7940528-8945254	3884843-2407411-0	2-0-0	2-1002738-0	2-1911923-0	7963911-0-0	3195792-0-0	3884843-6172242-0	3884843-7866067-0	2-0-2316833	3884843-3290098-0	3884843-7940528-2203174	8206367-0-0	3884843-7179798-0	2-5202089-0	3884843-9765473-0	2-3404463-0	3884843-0-0	2-0-5980640	2-0-9876168	3884843-0-1166998	2-6449885-0	3884843-2460152-0	3884843-7940528-0	3185890-7940528-0
assemblage-15-2	1	0	2	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	13	0
assemblage-11-3	0	0	0	0	1	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	94	0
assemblage-11-2	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0
assemblage-12-4	0	0	0	0	0	0	133	0	0	0	0	1	0	1	0	0	0	0	0	0	1	8	0	0	0	0	0	56	0
assemblage-28-1	4	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	0	0	1	0	0	46	0	0	2	0	0	3	0
assemblage-12-1	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	118	4
assemblage-12-2	2	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	4	0
assemblage-2-3	0	0	0	0	0	0	148	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	43	0
assemblage-1-4	8	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	1	0	0	0	33	0	0	0	0	0	35	0
assemblage-3-2	13	0	0	1	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	2	0	0
assemblage-21-4	0	0	0	0	0	1	88	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	107	1
assemblage-21-3	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	77	0
assemblage-28-3	0	0	0	0	0	1	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	2
assemblage-25-4	4	0	0	0	0	0	127	0	0	0	0	0	1	0	0	0	0	0	0	0	0	65	0	0	0	0	1	2	0
assemblage-6-2	0	0	0	0	0	0	74	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	121	2
assemblage-7-3	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	77	0
assemblage-20-3	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	2
assemblage-20-1	2	1	0	0	0	0	94	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	2	0	0
assemblage-18-4	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	1
assemblage-16-2	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	30	0
assemblage-19-1	3	0	0	0	0	0	118	0	0	0	1	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	29	0
assemblage-4-4	10	0	0	2	0	0	101	0	0	1	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0
