Assemblage_Name	1-0-2	1-0-3	2322056-0-2	1-5899950-2	1-0-2348878	4788328-0-3
assemblage-15-2	132	43	0	1	6	18
assemblage-11-3	90	105	0	0	4	1
assemblage-11-2	102	94	0	0	4	0
assemblage-12-4	150	31	1	0	9	9
assemblage-28-1	114	86	0	0	0	0
assemblage-12-1	157	43	0	0	0	0
assemblage-12-2	109	91	0	0	0	0
assemblage-2-3	159	35	1	0	0	5
assemblage-1-4	129	70	0	0	0	1
assemblage-3-2	148	52	0	0	0	0
assemblage-21-4	171	29	0	0	0	0
assemblage-21-3	94	103	0	0	0	3
assemblage-28-3	169	31	0	0	0	0
assemblage-25-4	127	73	0	0	0	0
assemblage-6-2	177	23	0	0	0	0
assemblage-7-3	90	109	0	0	0	1
assemblage-20-3	165	35	0	0	0	0
assemblage-20-1	150	50	0	0	0	0
assemblage-18-4	135	61	0	0	1	3
assemblage-16-2	135	19	0	1	14	31
assemblage-19-1	135	55	0	0	2	8
assemblage-4-4	149	51	0	0	0	0
