Assemblage_Name	8758692-3-0	2-3-0	2-3-237910	4-1-2	4651616-1-2	1279438-3-0	2-3-6840226	2-5582627-0	2-3-3269593	2-3-6041798	2-8552307-0	2-3-1483630	2-3-4720139	161072-3-0	805079-3-0	2-6635514-0	2-3-8487284
assemblage-15-2	0	192	2	0	0	0	0	4	0	1	0	0	0	1	0	0	0
assemblage-11-3	0	174	2	0	0	0	0	0	23	0	1	0	0	0	0	0	0
assemblage-11-2	0	189	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0
assemblage-12-4	0	193	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0
assemblage-28-1	1	192	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0
assemblage-12-1	0	95	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0
assemblage-12-2	1	194	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0
assemblage-2-3	0	190	8	0	0	1	0	1	0	0	0	0	0	0	0	0	0
assemblage-1-4	0	187	4	2	0	0	0	2	4	0	0	0	0	1	0	0	0
assemblage-3-2	0	193	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0
assemblage-21-4	0	96	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0
assemblage-21-3	0	180	1	0	0	0	0	0	19	0	0	0	0	0	0	0	0
assemblage-28-3	0	86	0	0	0	0	1	0	113	0	0	0	0	0	0	0	0
assemblage-25-4	0	192	0	1	0	0	0	1	0	0	0	0	0	0	6	0	0
assemblage-6-2	0	88	0	0	0	0	0	0	111	0	0	0	0	0	0	0	1
assemblage-7-3	0	182	4	0	0	0	0	0	14	0	0	0	0	0	0	0	0
assemblage-20-3	0	90	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0
assemblage-20-1	0	188	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
assemblage-18-4	0	129	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0
assemblage-16-2	0	191	6	0	0	0	0	2	0	0	0	0	0	1	0	0	0
assemblage-19-1	0	190	5	1	0	0	0	1	0	0	0	0	0	0	3	0	0
assemblage-4-4	0	191	0	7	1	0	0	0	0	0	0	0	0	0	1	0	0
