Assemblage_Name	2-6777787-1	2-8070814-8712965	2-8070814-707175	41478-8070814-95242	2-8070814-380174	2-8070814-8921678	3264868-8070814-1	2-671053-1	7629906-8070814-1	2-8070814-9393964	8819541-8070814-95242	2-8070814-6311409	2-3-1	2-8070814-643148	2-1078731-1	2-639179-1	3863356-8070814-95242	6001633-8070814-1	2-8804125-95242	5326121-8070814-1	2-4728419-1	2-8070814-197644	2-8070814-8158668	4757611-8070814-95242	2-8070814-4312778	2-8070814-7793975	2-9907459-1	2-4589012-1	7726117-8070814-1	2-8070814-2362307	2-4875213-95242	4463399-8070814-95242	2756046-8070814-95242	2-7264119-1	2-4455402-95242	3494858-8070814-1	4949833-8070814-95242	2-8070814-4559338	2-8070814-2170499	8379067-8070814-1	2-3284780-95242	2-8070814-5784632	2-8070814-8024079	2369952-8070814-1	2-8070814-288675	1322097-8070814-1	850766-8070814-1	2-4062908-1	962630-8070814-1	2-8070814-4705936	2460701-8070814-1	2-8070814-9978528	3346840-8070814-1	7801812-8070814-95242	2-2990549-95242	1971746-8070814-1	2-8070814-1525195	2-8070814-1	3832110-8070814-1	254395-8070814-1	8338573-8070814-1	8906965-8070814-1	2-6642078-1	2-566804-1	2-863594-1	8103788-8070814-1	2-8994683-1	2-1977651-1	8239294-8070814-95242	2-8070814-7487828	2-9805120-95242	2-5716650-95242	6632141-8070814-2362307	2-2971198-95242	2-6119120-1	915678-8070814-95242	3781819-8070814-95242	2-8070814-5017943	2-2452805-95242	1189259-8070814-95242	2-8070814-5405318	2-8436166-1	2-6028507-1	2-8070814-4286741	3717313-8070814-95242	2-8511894-1	2-8070814-4290461	2-9469875-1	2-3549823-1	2-8070814-8980770	2-1487216-1	2-8070814-7705115	2-9785016-1	2-8070814-3839696	2475052-3-8281025	2-8070814-2430363	5063668-8070814-95242	2475052-3-1	2-7541533-9393964	2-8001322-1	2-6265631-1	2-8070814-7740506	2-1602847-95242	1672583-8070814-1	2-9983095-1	2-1866974-95242	2-8070814-4595950	2-150473-9393964	2-517026-2362307	2-1374502-1	2-8736997-95242	2-6279802-1	7608824-8070814-1	2-8070814-9552740	2-4182612-95242	2-9921980-1	2-8070814-2110756	2-8070814-9576101	2-8070814-833273	2-9954598-1	2-8070814-95242	2-5536065-1	3906416-8070814-1	2-1568255-1	4941931-8070814-1	2-8070814-619716	2-8436963-95242	6162925-8070814-1	2-3064544-95242	2-8070814-7170646	2-8070814-6956031
assemblage-15-2	0	0	0	0	0	0	0	0	0	613	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	81	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	33969	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15439	0	3	0	0	0	0	32	0	0	0
assemblage-11-3	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	31	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	11831	0	0	0	0	0	1	0	0	0	0
assemblage-11-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8257	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12391	0	0	0	0	0	0	0	0	0	0
assemblage-12-4	0	0	0	0	0	0	0	0	0	475	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	51	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12611	0	0	0	0	0	0	2	0	0	0
assemblage-28-1	0	0	0	0	0	2	0	0	0	200	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1088	0	0	0	0	0	0	0	0	0	0
assemblage-12-1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	885	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	2	0	6	0	0	0	7219	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	219	0	0	0	0	0	11702	0	0	0	0	58	0	0	0	0	0
assemblage-12-2	2	0	0	0	0	1	0	0	0	333	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18748	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1189	0	0	0	0	0	0	3	0	0	0
assemblage-2-3	0	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	16865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	12469	0	0	0	0	0	0	0	1	0	0
assemblage-1-4	0	0	0	0	0	11	0	0	0	834	0	0	862	0	0	0	0	1	2	1	0	4	0	0	0	0	0	0	0	0	1	3	0	0	0	49	0	1	91	0	0	0	0	0	0	1	83	0	0	1	0	0	1	0	0	4	0	60250	1	16	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	31	0	957	0	0	2	0	0	0	2	0	0	0	509	0	0	6	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	26348	0	0	0	0	0	0	2	0	0	0
assemblage-3-2	0	0	0	0	0	0	1	0	0	0	0	0	1001	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	17044	0	1	43	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554	0	0	0	1	0	0	3	0	0	0	418	0	1	0	7	0	0	45	0	1	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	5	0
