Assemblage_Name	2756081-1-2	0-8577575-2	9508907-1-2	0-1-2	2483197-1-2	5168035-1702576-2	5168035-8179575-2	5168035-257365-2	0-1846131-2	5168035-7399492-2	0-9189534-2	5168035-1968610-2	5168035-8660935-2	7533990-1-2	0-3519736-2	0-1-1768161	0-1-6433006	6918365-1-2	0-1-3321616	5168035-1-9668005	5168035-1-6086556	0-1-9507097	0-1-9387777	0-1-2087035	5168035-4432096-2	5592878-1-2	3546391-1-2	5168035-6746933-2	0-1-9998643	7041900-1-2	5168035-1-182074	5168035-1-72458	4842707-1-2	5907628-1-2	5168035-1-7793656	5168035-7493894-2	5168035-6589439-2	0-1-7415609	9838264-1-2	4216660-1-2	0-1-5526703	0-3015875-2	5168035-6203351-2	0-4651827-2	0-6141519-2	0-4449540-2	0-4603338-2	0-1-893008	4216660-1-7451731	0-1-9276106	4141651-1-2	0-1-8792872	5168035-211169-2	2968145-1-2	7478593-1-2	826592-1-2	2275234-1-2	5330186-1-2	0-1-3976521	0-1-9239959	0-1-2099221	0-1-7705847	5168035-1-2292914	9728677-1-2	0-1-1520334	5168035-1-2	5168035-8472494-2	4899585-1-2	5168035-1623239-2	0-1497900-2	0-6327973-2	3579678-1-2	0-7664602-2	4500894-1-2	8838542-1-2	5084278-1-2	5168035-6248511-2	0-7617544-2	7427278-1-2	0-558481-2	6372769-1-2	0-8587191-2	6732350-1-2	5168035-4034798-2	9098238-1-2	0-1-751297	0-8937065-2	4216660-7056362-2	6217860-1-2	0-7953346-2	0-1-3596187	0-1-2738235	0-1170779-2	0-1-5376023	6274822-1-2	5168035-1-8357996	5168035-2631057-2	5168035-4207783-2	2528669-1-2	0-1-4740	6630060-1-2	0-1-2761775	0-1-3259870	9415003-1-2	5009516-1-2	3370441-1-2	5168035-6826900-2	0-2612556-2	9997766-1-2	9424059-1-2	0-8301520-2	0-7542199-2	0-1-6938025	0-1-6210766	5168035-1-6186852	3244273-1-2	0-1-8184022	5168035-358368-2	0-8108867-2	3078464-1-2	9166184-1-2	3409944-1-2	2172601-1-2	5168035-1311864-2	6732350-8491992-2	5168035-6598294-2	5168035-1-9785645	0-7651278-2	5168035-1-8850603	0-4695605-2
assemblage-21-4	0	0	0	15108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3174	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0
assemblage-21-3	0	0	0	12927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7221	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	539	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
assemblage-28-3	0	0	0	14906	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1068	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	3134	0	0	0	0	552	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	59	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	5	0	0	0	0	0	0
assemblage-25-4	0	0	0	25814	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	18	0	0	12840	0	0	0	0	0	0	18	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	33	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-6-2	0	0	0	15281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	2874	0	0	0	0	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	371	0	0	0	0	0	0	0
assemblage-7-3	0	0	0	12815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	7302	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	581	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-3	0	0	0	15282	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	2882	0	0	0	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	69	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423	2	0	1	0	0	0	2
assemblage-20-1	0	0	0	13656	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	2	0	0	5416	1	0	0	0	0	0	25	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-18-4	0	0	0	27710	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1077	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	1	0	10608	0	0	0	0	448	0	0	0	0	0	43	0	0	0	0	0	496	0	0	0	52	0	0	0	0	0	0	4	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	417	1	0	0	0	0	2	0
assemblage-16-2	0	0	0	11121	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	18057	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-19-1	0	0	0	35725	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	115	0	0	1	0	0	0	0	2	0	0	0	0	0	4	1	0	1	3	2	0	0	0	0	2	0	0	0	0	0	32062	1	0	1	0	0	0	26	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	22	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	8	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0
assemblage-4-4	0	0	0	13805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5232	0	0	0	10	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
