Assemblage_Name	0-5968470-4970189	0-1-2626236	0-1-0	0-7760573-4970189	1390666-1-4970189	582227-1-4970189	0-4315041-4970189	0-2566614-4970189	0-1-7800091	0-1-9841277	0-3874216-4970189	0-3155395-4970189	0-1-7823033	4-1251997-0	0-9612102-0	0-1-1774091	0-1224718-4970189	4-3-45668	4-3-5702263	0-1-1775559	0-1-1536876	7324974-3-0	4653441-1-4970189	0-9414353-0	0-1-4958085	4-3-1027952	8853173-1-4970189	5781120-1-4970189	93855-1-4970189	9323835-1-4970189	4995628-1-4970189	4-3-2990401	0-1-1507188	0-1-6593291	4-2153322-0	0-1-4006074	0-1-4970189	4-492689-0	0-1-3707457	0-2184703-0	9274966-1-4970189	4-6931189-0	4-2665743-0	0-1310047-4970189	9934534-1-4970189	142565-1-4970189	4-3-1313753	7261044-1-0	6375804-1-4970189	4895060-1-4970189	3762280-1-4970189	0-9774436-0	1180979-1-4970189	0-1-1816465	1240035-1-4970189	0-8919953-4970189	0-7422084-4970189	0-4420221-4970189	0-9926551-4970189	4-1662174-0	0-9892045-0	0-8892303-0	4-8893239-0	0-4381430-4970189	0-1-6678849	0-8975292-4970189	4880371-3-0	5271741-1-4970189	4-3-7999159	1544269-1-4970189	4-3257965-0	5219413-5439127-4970189	510326-1-4970189	933287-1-4970189	0-1-78311	769604-1-4970189	0-1-4306966	0-3801106-4970189	4731883-3-0	493041-1-4970189	0-3984146-4970189	1594000-1-4970189	0-1-3611719	4-3-0	5125514-1-4970189	9636276-3-0	5546938-1-4970189	4-3-5882201	3247793-1-4970189	2129503-1-4970189	0-4351974-4970189	0-5648251-0	0-1-6427373	0-1-3418476	4-3-8958590	0-5526716-4970189	0-298473-4970189	1413463-1-4970189	4938619-1-4970189	0-2512628-4970189	0-4595454-4970189	0-1-4247625	7289174-1-4970189	5149804-1-4970189	0-1-1296531	0-5729463-4970189	7055842-3-0	0-5439127-4970189	4370242-1-4970189	4379066-1-4970189	0-1-4731852	0-1-7953227	7087159-1-0	0-4347347-0	0-1-1350120	9824370-1-4970189
assemblage-21-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	102	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	20230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19096	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	11	0	25	0	0	0	0	0	0	0	0
assemblage-25-4	0	0	12777	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	19	0	7	0	0	0	0	0	25	1	0	0	0	9544	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	18	0	0	6	0	2	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	16067	38	0	1	0	1	0	0	0	0	0	0	0	0	0	1	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
assemblage-6-2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	19111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	1	0	11	0	0	0	0	0	0	0	0
assemblage-7-3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	101	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20225	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
assemblage-20-3	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	19104	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	16	0	0	0	0	0	0	1	0
assemblage-20-1	0	0	10266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
assemblage-18-4	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	10	22	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	39380	0	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	31	0	0	0	0	0	0	1	0	0	9	0	0	1	0	0	0	0	0	0	0	0	1	0	14	0	0	1	0	0	0	0	0
assemblage-16-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	25394	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	407	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3178	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-19-1	0	0	12660	0	11	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	9	1	0	0	0	0	12	0	365	1	0	34093	1	0	0	0	0	0	0	0	5	1	1	15	0	0	2	0	10	0	1	9	1	0	2	0	8	1	0	0	4	262	1	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	20163	47	0	0	0	0	7	0	0	0	0	34	0	0	11	1	60	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0
assemblage-4-4	0	0	10721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7877	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
