Assemblage_Name	8653972-2-4	5015891-2-4	4-9456874-4	323456-2-4	3-1758570-3	3-9145623-3	3-3845764-3	4-2-9824527	4-4181321-4	4-4444914-4	3-5540152-3	4-4158613-4	3950308-2-4	4-7011730-4	4-3779780-4	4-2-200644	2394942-3-3	6039461-2-4	4-2-4	6302482-3-3	4-2-1564493	6942943-2-4	919779-2-4	3-3-5247469	1295522-2-4	4-5834181-4	4-2-6560798	3-3-8189391	6836176-2-4	3-3-155705	4-2-1071648	7009313-3-3	4-2-2588029	9368848-2-4	4-266633-4	6712498-3-3	4236019-3-3	9425009-2-4	4-1669890-4	4-3510174-4	3-1831384-3	4-4634621-4	4-2-319439	3-3-3	4-2-5457581	3-3-7874642	5311318-2-4	9425009-2-7586239	4566610-2-4	4-2-3961922	6408701-2-4	4-7920424-4	3740166-3-3	6567703-3-3	6654013-2-4	4-3669231-4	3-7688475-3	8140868-2-4	6567703-3198611-3	3-3-6927797	9915472-2-4	1696139-2-4	7881416-3-3	8206913-2-4	4-1380797-4	1706043-2-4	7591067-3-3	3-3-3461689	4-2-3405880	4-2-384102	4092779-3-3	5901321-2-4	4-1568185-4	9289186-3-3	4-796345-4	3-3-2101488	9997940-3-3	3-9528015-3	8391763-2-4	906558-3-3	2053260-2-4	3-3-6303096	4-2-1243248	2850446-3-3	3-3211150-3	4-9621865-4	3-3-457719	5088235-3-3	6567703-4596597-3	4-4946695-4	3-3-6999678	4-2-7625300	3-710390-3	4-8703155-4	4-2486922-4	4-2-5367326	4-4661171-4	7140010-2-4	6320339-3-3	3-1625951-3	4-4482458-4	4-2-6024953	2824570-2-4
assemblage-21-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1202	0	0	49	0	0	0	0	0	0	353	20	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
assemblage-21-3	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8096	0	0	0	0	0	0	0	0	0	3057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-3	0	0	37	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	17970	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1418	0	0	71	0	0	0	0	0	0	358	3	0	0	0	0	0	5	0	0	0	0	0	23	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-25-4	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0	21553	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	83	0	0	0	0	0	17551	0	3	0	30	0	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
assemblage-6-2	0	0	17	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	18111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1227	0	0	42	0	0	0	0	0	0	470	12	0	0	0	0	0	1	0	0	0	0	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
assemblage-7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8202	0	0	0	0	0	0	0	0	0	3057	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-3	0	0	39	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	17985	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1305	0	0	65	0	0	2	0	0	0	466	8	0	0	0	0	0	2	0	0	0	0	2	10	0	3	1	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	10462	0	0	0	61	0	0	0	1	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	31	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
assemblage-18-4	0	0	35	0	0	0	0	0	0	0	0	1	1	6	0	0	0	0	28076	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8771	0	0	64	0	0	0	0	0	0	3609	8	0	0	0	0	0	5	0	0	0	0	1	20	0	12	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-16-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6199	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1
assemblage-19-1	0	1	0	0	0	0	9	1	0	0	0	0	0	0	1	0	3	0	44860	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	143	0	0	0	3	0	23087	0	3	0	72	0	0	0	0	1	991	0	0	0	0	0	8	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	79	0	47	1	0	0	0	0	0	0	6	0	0	4	0	0	0	0	0	1
assemblage-4-4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9776	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	39	0	0	0	0	0	9183	0	0	0	127	0	0	29	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
