Assemblage_Name	4-58521-2	6062799-0-2	4-9327276-2	4214709-0-2	4-0-2779511	7721459-0-2	4-5398525-2	4-0-2068884	4-3018745-2	3130687-0-2	4-0-4452691	3794494-0-2	4-261472-2	9111625-0-2	1890428-0-2	4-9459006-2	4-6901997-2	4-0-2621140	4-1014220-2	4-593168-2	5508602-0-2	4-2910438-2	4-2176790-2	4-6901700-2	4-0-5848049	4-6248008-2	4-0-1549849	4-5684155-2	4-0-2511005	4-0-7457928	4-0-3606683	4-543546-2	4-7026516-2	4-0-8403982	7295885-0-2	3913900-0-2	4-0-2998047	4-3530942-2	4-0-5236610	4-5321975-2	4-0-7096848	4-0-2584455	2364632-0-2	3195140-0-2	4-5131232-2	2969215-0-2	5761605-0-2	4-0-3900548	6377188-0-2	4-7244266-2	4-0-5684047	6875528-0-2	4-5384623-2	6522739-0-2	4-0-6983919	4-9918740-2	4-0-2
assemblage-15-2	0	0	0	0	0	0	0	1	481	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	48139
assemblage-11-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	20403
assemblage-11-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20406
assemblage-12-4	0	1	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	1	0	0	0	75	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	29092
assemblage-28-1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19387
assemblage-12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20116
assemblage-12-2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19365
assemblage-2-3	0	2	1	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	29090
assemblage-1-4	0	0	0	1	0	0	1	0	16	0	0	13	0	0	0	0	0	0	0	0	2	69	0	0	0	0	0	13	0	0	0	0	47	9	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	87793
assemblage-3-2	0	0	0	0	1	1	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	18861
assemblage-21-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20149
assemblage-21-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	20402
assemblage-28-3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	20074
assemblage-25-4	0	0	0	0	3	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	7	45	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	3	0	0	38221
assemblage-6-2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	20105
assemblage-7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	20400
assemblage-20-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20066
assemblage-20-1	0	0	0	0	3	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	18840
assemblage-18-4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	139	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	40462
assemblage-16-2	0	0	0	0	0	0	0	0	512	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	28724
assemblage-19-1	0	0	0	0	1	0	1	0	193	0	0	73	1	0	0	0	0	0	0	0	0	57	0	0	0	0	0	2	0	0	0	0	41	9	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	1	0	0	1	2	0	0	67175
assemblage-4-4	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	18890
