Assemblage_Name	482375-4-4	0-5585338-4	8120255-4-4	4116417-4-4	0-4-5908249	0-8983609-4	0-8107172-4	0-7567430-4	9742697-4-4	5205947-4-4	0-5559967-4	2-3-0	496123-4-4	7473890-4-4	1207199-4-4	0-8474863-4	3897247-4-4	0-4-9774456	5365167-4-4	4572553-4-4	0-4-4884024	0-4-754852	4034168-4-4	0-6918943-4	0-4-2542071	0-4-6712404	0-1764894-4	0-4-1906242	9561833-4-2542071	0-8577707-4	0-266715-4	1318712-4-4	0-1218521-4	0-4221027-4	0-4-110410	0-4-5520869	0-4-5711952	0-4-8723556	0-4-849031	6250715-4-4	0-3872233-2542071	0-4-1775461	4451274-4-4	4292207-4-4	0-4-8565799	9105524-4-4	0-7207905-4	0-9171623-4	0-4-4	9084972-4-4	0-6413686-4	0-4-8514205	0-2644595-4	2368278-4-4	0-4-1398839	0-4-923792	0-4-6971711	0-4-7327969	7019775-4-4	7630265-4-4	2807629-4-4	0-4-1911497	5230778-4-4	0-9676245-4	0-6481636-4	0-9812643-4	9596532-4-4	0-8823392-4	0-8914505-4	4536171-4-4	0-9801230-4	1562631-4-4	1319656-3-0	0-3409721-4	0-7041473-4	0-4-48228	5895996-4-4	0-6308360-4	9349503-4-4	0-4-5308178	0-8685238-4	0-4-4265343	0-4-319330	0-2965331-4	0-4714604-4	0-4-2083768	0-4021387-4	0-4-6017616	5980714-4-4	0-4-925493	0-5425373-4	4293864-4-4	1126515-4-4	0-4032721-4	4116417-9889487-4	4508995-3-0	1203289-4-4	0-4-1746344	7510924-4-4	4923749-4-4	0-4-166130	5721226-4-4	1841516-4-4	0-4-4688361	3964731-4-4	0-4-8703331	0-2307459-4	0-3896751-4	9959084-4-4	1205897-4-4	0-4-8176585	0-4-487095	6971545-4-4	0-2150827-4	3125183-4-4	0-4-4380817	5843901-4-4
assemblage-15-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	579	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	0	0	48700	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-3	0	0	0	15	6	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	92	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	20149	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-2	0	4	0	1	3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	28384	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	45	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	19747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-1	0	0	0	1594	0	0	0	0	0	0	0	0	0	70	2	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
assemblage-2-3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	967	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28542	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
assemblage-1-4	0	1	0	0	1	0	1	0	1	1	0	1192	0	0	0	17	1	0	0	0	0	4	0	0	1171	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	261	0	0	0	0	0	86864	0	0	0	0	0	0	0	0	0	2	6	0	1	1	0	0	0	0	11	0	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	28	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	5	1	0	1	0	2
assemblage-3-2	0	0	0	0	0	0	0	4	0	0	0	1657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	118	0	0	0	0	0	18168	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
assemblage-21-4	0	0	0	1626	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-3	0	0	0	75	0	0	0	0	0	0	0	0	38	0	0	0	6	0	0	0	0	0	5	0	194	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	19881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
assemblage-28-3	0	0	0	2027	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	18360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
