Assemblage_Name	4-8049120-2	2855964-0-2	4-0-1381488	9311578-0-2	4-8161483-2	4-0-9134159	4-1796558-2	2340590-0-2	4-0-4497988	529865-0-2	4581411-8038918-2	4-2309417-2	4-0-1777605	4-0-3410992	2900565-0-2	4-0-9267469	8619058-0-2	4-0-6022154	4-0-192826	4-159749-2	1497760-0-2	4-8949014-2	4-8845005-2	7304770-0-2	4-7908741-2	7124643-0-2	4-2740493-2	4661498-0-2	4-8724414-2	4-0-4051214	4581411-0-2	4-0-935953	3511422-0-2	2487154-0-2	3504705-0-2	4-0-5346826	793257-0-2	4-1967604-2	4-8174631-2	8430267-0-2	4-2681182-1381488	4-0-6426338	4-0-539150	4-0-9082363	4-4284035-2	8328839-0-2	4-651235-2	4-1665408-2	4-0-6030532	7041105-0-2	4-0-4946295	4-0-5475207	823537-0-2	4-0-987527	4-0-5529448	2195643-0-2	4-418091-2	4-8381056-2	4-0-550901	4-0-8536469	790120-0-2	9894238-0-2	8484208-0-2	4-0-1493196	4-0-2	4-2726208-2	7328944-0-2	4-0-2008609	8029946-0-2	4146236-0-2	4-3168431-2	4-0-766384	373809-0-2	9861319-0-2	4-6284084-2	4-0-7602279	4-0-1692279	2376682-0-2	6530599-0-2	4-4434057-2	8688017-0-2	4-2675629-2	180215-0-2	4-0-579952	95261-0-2	8247767-0-2	4-0-749576	5952652-0-2	4-970762-2	4509069-0-2
assemblage-15-2	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	49029	77	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	18	0	0	0
assemblage-11-3	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20049	0	1247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-2	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19947	0	1371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	153	0	0	0	0	0	0	0	0	0	0	1	28785	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
assemblage-28-1	0	0	73	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20293	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0
assemblage-12-1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	22	0	1145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19044	0	52	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-2	0	1	309	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20039	80	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	7	12	0	0	0
assemblage-2-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	28738	0	14	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	32	0	0	0	0	0	0
assemblage-1-4	0	0	182	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	229	0	0	0	0	0	0	4	0	1	0	409	0	120	0	0	6	0	0	0	0	0	0	87206	31	1545	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	29	0	0	13	0	0	1
assemblage-3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	148	0	0	0	0	15	0	0	0	0	1	0	0	47	0	0	0	0	0	0	0	0	0	18819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
