Assemblage_Name	4-8049120-2	2855964-0-2	4-0-1381488	9311578-0-2	4-8161483-2	4-0-9134159	4-1796558-2	2340590-0-2	4-0-4497988	529865-0-2	4581411-8038918-2	4-2309417-2	4-0-1777605	4-0-3410992	2900565-0-2	4-0-9267469	8619058-0-2	4-0-6022154	4-0-192826	4-159749-2	1497760-0-2	4-8949014-2	4-8845005-2	7304770-0-2	4-7908741-2	7124643-0-2	4-2740493-2	4661498-0-2	4-8724414-2	4-0-4051214	4581411-0-2	4-0-935953	3511422-0-2	2487154-0-2	3504705-0-2	4-0-5346826	793257-0-2	4-1967604-2	4-8174631-2	8430267-0-2	4-2681182-1381488	4-0-6426338	4-0-539150	4-0-9082363	4-4284035-2	8328839-0-2	4-651235-2	4-1665408-2	4-0-6030532	7041105-0-2	4-0-4946295	4-0-5475207	823537-0-2	4-0-987527	4-0-5529448	2195643-0-2	4-418091-2	4-8381056-2	4-0-550901	4-0-8536469	790120-0-2	9894238-0-2	8484208-0-2	4-0-1493196	4-0-2	4-2726208-2	7328944-0-2	4-0-2008609	8029946-0-2	4146236-0-2	4-3168431-2	4-0-766384	373809-0-2	9861319-0-2	4-6284084-2	4-0-7602279	4-0-1692279	2376682-0-2	6530599-0-2	4-4434057-2	8688017-0-2	4-2675629-2	180215-0-2	4-0-579952	95261-0-2	8247767-0-2	4-0-749576	5952652-0-2	4-970762-2	4509069-0-2
assemblage-21-4	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	13	0	975	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19268	0	46	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20372	0	929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
assemblage-28-3	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19066	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
assemblage-25-4	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	1	0	0	0	0	81	0	0	0	0	50	0	0	0	0	0	0	0	46	0	0	0	0	0	1	0	0	0	38806	105	0	0	0	0	0	0	0	1	0	0	0	0	11	0	2	0	0	0	0	1	13	0	0	0
assemblage-6-2	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	55	0	1	0	0	0	0	0	0	7	0	1010	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19192	0	12	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20247	0	1074	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-3	0	0	0	1	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	80	0	4	0	0	0	0	0	0	3	0	1060	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	6	0	19136	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	76	0	0	0	0	28	0	0	0	0	0	0	0	21	0	0	0	0	5	0	0	0	0	18897	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-18-4	7	0	0	0	1	0	0	0	0	0	41	0	0	1	0	0	0	0	0	80	0	2	1	0	0	0	1	0	7	0	1101	0	0	0	0	2	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	39183	0	1224	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
assemblage-16-2	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	28958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
assemblage-19-1	0	0	223	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	61	0	0	0	0	18	1	0	0	0	0	138	0	23	0	2	0	0	0	0	1	0	1	67887	47	15	0	0	0	0	4	0	0	0	0	0	0	3	2	0	1	0	31	0	2	10	0	0	1
assemblage-4-4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	18651	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
