Assemblage_Name	9292041-2-4	3-2-2519067	393721-800540-4	3-2-7624244	7806553-2-4	3-1529175-4	3-1258365-4	3-2-8660185	3624862-2-4	4785622-0-3	3-2-8088214	640046-2-4	5632970-2-4	763502-2-4	3-2-7684136	3-2-4450875	3-800540-5261914	4578631-2-5306995	3-2-5706014	3-1268548-4	9809359-2-4	7642988-2-4	3-3663252-4	3-4449606-4	5890809-2-4	3-2-3548570	5284874-2-4	3-6265603-4	8143858-2-4	3-2-1630473	3-9956262-4	3296299-2-4	1-0-3	3-52585-4	3-7448912-4	8275639-2-4	3-2-1358182	1935421-2-4	3-2858858-4	3-2096077-9884617	4403341-2-4	4578631-5543404-4	75106-2-4	3-5601931-4	3-2-8286606	3-2-4454061	9013054-2096077-4	6399600-2-4	3-2-2392791	3-2-4781978	3-2-4596788	3-2-5352456	5213898-2-4	3-2-2017865	3-2-3659566	3-4069953-4	3-3268277-4	4578631-2-6314335	4578631-2-9233731	3255416-2-4	3-2-5443522	3-2-5087641	3-1164926-4	3-4980105-4	3-4968430-4	3-3970165-4	3-2-283102	3-2-5523655	7091817-2-4	3656460-2-4	3-6459563-4	3-2-6659009	4578631-2-4559551	3-2-7849602	6459194-2-4	4675292-2-4	3-2-5624723	4578631-2-4	3-2-5604782	6194268-2-4	2341976-2-4	3-1939684-4	3-2635919-4	3-26231-4	3-2-8231404	3-7413682-4	4578631-6615452-4	3-2-3252657	3-800540-4	3-5941109-4	2495795-2-4	3-2-6438813	3-2-2878147	3-6135175-4	3-2-9082354	3-2-260213	3-5873937-4	3-2096077-4	3-2-4	3-2-3291571	9582454-2-4	7775459-2-4	3-3773477-4	3-8967362-4	9000869-2-4	9605939-2-4	3-2-6312306	3-800540-4054360	3-590926-4	3640238-2-4	3-2-7625734	3-6067876-4	3-7999517-4	1447624-2-4
assemblage-21-4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1578	18157	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0
assemblage-21-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	624	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	1	2	0	1117	18815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-3	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	43	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1286	18322	0	0	0	0	43	0	0	0	0	0	0	0	0	0	1
assemblage-25-4	0	0	5	3	0	3	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1688	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	113	0	0	0	0	0	0	0	0	0	0	2814	0	0	0	0	0	0	0	0	0	34131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-6-2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	32	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1141	18470	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0
assemblage-7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0	1	27	0	0	0	0	0	0	4	0	1280	18943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	47	0	0	0	0	0	0	48	0	0	0	0	1	0	5	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1225	18388	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0
assemblage-20-1	0	0	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17332	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
assemblage-18-4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	29	0	0	1	0	0	2	41	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	297	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	1	0	2591	37427	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0
assemblage-16-2	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3908	0	0	2	0	0	0	0	0	0	0	1881	0	0	0	0	0	0	0	0	106	23271	1	0	0	0	0	0	0	0	4	0	0	0	93	0	0
assemblage-19-1	2	1	5	0	2	0	0	0	0	0	1	5	0	0	14	0	0	29	0	0	0	0	16	0	1	0	2	0	1	570	0	1	1821	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	4	0	0	0	0	0	3	0	0	0	0	0	4	0	2818	0	2	0	2	1	2	0	3	0	0	4301	1	0	0	0	1	0	0	0	44	59087	0	0	0	0	0	1	5	0	3	0	0	1	38	0	0
assemblage-4-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	17176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
