Assemblage_Name	9206941-3-3	4-3-105134	1-4-1	4-3-4795229	9854492-3-3	6519756-3-3	4-3-4403792	4-8928835-3	4-3-9207387	4-3-6791655	4-6994778-3	2-0-0	4-5028517-3	4-9457514-3	3-0-1	4-3-3	120735-3-3	4-3-3002218	4-814287-3	4-764176-3	4-436393-3	4-3-3584659
assemblage-19-48	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
assemblage-3-74	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	70141	0	0	0	0	0	6
assemblage-74-2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	70146	0	0	0	0	0	0
assemblage-51-43	0	0	477	0	0	0	0	0	0	0	0	474	0	0	518	555	0	0	0	0	2	0
assemblage-23-4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
assemblage-28-69	0	0	2002	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
assemblage-55-33	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	70408	15	0	0	40	0	0
assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0
assemblage-45-24	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2023	0	0	0	0	0	0	0
assemblage-7-2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2012	0	0	0	0	12	0
assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0
assemblage-67-29	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	1887	0	0	0	0	0	0
assemblage-36-72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72316	0	0	0	0	0	0
assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
assemblage-46-35	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70684	0	0	0	0	0	0
assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0
assemblage-59-71	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-47-21	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
assemblage-12-68	94	3	0	0	0	0	0	0	0	0	0	0	0	0	0	71002	0	0	0	0	0	0
assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
assemblage-32-5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2017	0	0	0	0	7	0
assemblage-2-48	0	0	1658	0	0	0	0	0	0	0	0	111	0	0	0	257	0	0	0	0	0	0
assemblage-13-15	1	0	377	0	0	0	0	0	0	0	0	0	0	46	7	285579	0	2	1	0	0	42
assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-42-34	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
assemblage-3-16	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	70141	0	0	0	0	0	0
assemblage-50-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0
assemblage-29-48	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	72215	0	0	0	0	0	0
