Assemblage_Name	4-1-9024595	2441053-1-2	1-0-3577042	1633860-1-2	1-5428616-4	4-1-7445142	4-2485181-2	6491208-1-2	1-7913748-4	7511810-1-2	3640436-1-2	1-0-6251964	4-1-7357373	1-0-2817433	1-917163-4	4-1-8040339	4-5511209-2	4-1-2081304	1-4379792-4	5641505-1-2	1-260061-4	4-4682815-2	4-1-474993	4-1-2	9175539-1-2	4-9025966-2	1-7687515-4	1-4257758-4	4-1-6441231	4-1-1671893	1-0-443297	4-1-9072531	6890078-1-2	1-0-611620	1-420629-4	4-564084-2	4-5627087-2	4-8953954-2	1-0-7822830	4-1-1741563	6653342-1-1741563	1-9981262-4	6037916-0-4	4718442-1-2	4-7406826-2	3668480-1-2	6049786-1-2	4-9562699-2	4-9469571-2	1-0-5003094	4-9382406-2	4-1-3604882	4-1-6852278	1809607-0-4	1-0-7603794	1-8948255-4	102032-1-2	1340785-1-2	1-8868520-4	4-8449351-2	4-1-4845202	4-1-2219614	4-1-5557618	1625055-1-2	4050381-1-2	1172807-0-4	4-1-6272872	1-0-75728	1-4059260-4	1-7786015-4	1-2544283-4	3392835-1-2	4-1-4728811	1-3196517-4	7684125-1-2	4-1-1392575	7104157-1-1741563	122642-1-2	4-767160-2	4-1-1216458	2817092-1-2	1-4340166-4	9944838-1-2	6036294-1-2	4-3822610-2	4-7135858-2	7649855-0-4	7827119-0-4	4-4638221-2	3162128-1-2	4-3990009-2	4-1277338-2	1-0-440423	1-0-8995056	1-0-3910874	1-0-8900496	4-113755-2	7399788-1-2	4-1-9262696	1274764-0-4	1062988-0-4	3456568-1-2	4182956-1-2	1-5020052-4	4-744574-2	4-1-2009117	4-1-5029607	9939312-1-2	1-8941566-4	1-9088750-4	4-1-5548634	1-6990279-4	4-3879719-2	4-3357161-2	4350881-0-4	1-8452196-4	245734-1-2	4565613-1-2	91548-1-2	4-1114729-2	4-1-5827391	4-7753623-2	4-1-8326102	4-1-6891265	1-7783691-4	4-1-3259478	4-1-6115086	5147691-0-4	4-1-6858567	8946504-0-4	4-1-9718348	1-0-4	4-8294787-2	7739791-0-4	4-2521116-2	4-1-3969226
assemblage-37-6	0	0	0	0	0	67	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	180	0	0	3	0	0	0	0	0	0	2826	0	0	0	0
assemblage-46-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4858	0	0	0	0
assemblage-28-8	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	6	0	0	0	0	0	0	3219	0	0	0	0
assemblage-35-1	0	0	13	0	0	1217	0	0	5	0	0	1	0	1	0	0	0	0	1	0	0	0	0	29989	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	23	0	0	0	0	0	1	0	0	0	8	1	0	8	0	0	0	0	0	0	0	844	0	0	0	0	275	0	0	0	0	0	0	0	0	1	0	0	33147	0	14	0	1
assemblage-12-7	0	0	0	0	0	820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11198	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7469	0	0	0	0
assemblage-28-7	0	0	26	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20499	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	14	0	1	0	0	0	0	0	0	0	799	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	24390	0	7	0	0
assemblage-17-8	0	0	9	0	0	1824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	26984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	5	1	711	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	35623	0	58	0	0
assemblage-41-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4673	0	0	1	0
assemblage-46-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4226	0	0	0	0
assemblage-44-13	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	18404	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	8	0	0	0	0	0	0	0	1077	0	0	0	0	202	0	0	0	0	0	0	0	0	2	0	0	26305	0	2	0	0
assemblage-41-9	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	3426	0	0	0	0
assemblage-1-9	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	458	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	24989	0	0	0	0
assemblage-49-14	0	0	0	0	0	166	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	15	0	0	0	0	0	0	2638	0	0	0	0
assemblage-23-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4297	0	0	0	0
assemblage-4-19	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11972	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	769	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	6031	0	0	0	0
assemblage-40-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	598	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	6316	2	0	0	0
assemblage-7-19	0	2	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	253	0	0	3	2	0	0	0	0	0	2945	0	0	0	0
assemblage-17-15	0	0	0	0	0	1185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9756	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8504	0	0	0	0
assemblage-21-8	0	0	0	0	3	1376	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8299	0	0	0	2
