Assemblage_Name	0-3-1824107	1-3341991-0	1-5617413-0	6670885-0-0	584711-0-0	1-9303440-0	0-2179050-2	1-3286034-0	5296824-0-0	1-0-2456475	2483474-3-2	1-2052055-0	9400363-3-2	142507-3-2	1-3674312-0	0-3136582-2	1-0-5190205	8521323-3-2	3839946-0-0	4805782-0-0	1-0-1104357	1-0-9933542	1-6992650-0	4860923-0-0	0-3-6108804	1-0-2801848	1-5764793-0	1-0-5807399	0-3-2321378	1-405833-0	0-5906644-2	1-0-3943160	4809148-0-0	1-0-0	0-3-4971907	0-3-7732900	0-3-2259704	0-3-5699735	303435-3-2	1-1103453-0	7684161-3-2	1-0-4514666	9450935-3-2	0-3-1152243	0-3-6616777	0-3-1315041	0-3-2	9372668-0-0	0-3-8775548	1-0-1795270	0-960927-2	1-770420-0	0-1231982-2	0-3-7370023	0-2874545-2	935811-0-0	4154398-3-2	6171479-0-0	5546240-3-2	7551140-3-2	6999568-3-2	0-3-4617492	0-3-4982162	0-3-7873052	587619-0-0	0-3518639-2	1-7649762-0	7788031-3-2	0-587906-2	1-0-5734468	9308241-3-2	0-3-4906973	1-7167391-0	0-8420745-2	0-5996029-2	1-5614783-0	0-3-2657043	5102209-0-0	0-3865937-2	1-8524442-0	0-3-6493570	3468608-0-0	0-3-8456781	7426339-3-2	8411180-0-0	1-9543932-0	1-9094059-0	6549519-3-2	1-1353025-0	1-0-5804348	0-3-67444	3204992-3-2	1-7025629-0	5642418-0-0	9470403-3-2	1-1529184-0	1-0-9772117	0-3-558961	0-8800937-2	0-3-7540430	2760765-3-2	0-3-266833	8112658-3-2	0-2169790-2	0-3-2198949	0-9950148-2
assemblage-37-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8726	0	0	0	0	0	0	0	0	0	6	0	0	1724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13452	0	0	0	0	0	0	0	0	0	0	0	0	6292	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8730	0	0	0	0	0	0	0	0	0	0	0	0	1727	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-35-1	0	1	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	1	160	0	0	0	0	0	0	0	8	0	0	0	2	28535	1	0	0	1	0	0	0	0	0	1	0	0	36624	0	0	0	1	0	0	0	1	0	1	60	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1
assemblage-12-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	9861	0	0	0	0	0	0	0	0	0	3	0	0	9318	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
assemblage-28-7	0	0	0	0	0	0	22	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	18424	22	0	0	0	0	0	1	0	0	0	0	0	27598	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-17-8	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	2	0	0	2	0	0	0	5	28818	0	0	0	1	0	0	0	0	0	0	0	0	36374	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	10	0	0
assemblage-41-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	14034	0	0	0	0	0	0	0	0	0	0	0	0	5706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13354	0	0	0	0	0	0	0	0	0	0	0	0	6396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-44-13	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	17675	1	0	0	0	0	0	0	0	0	0	0	0	28359	0	1	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0
