Assemblage_Name	6355284-1-1	3-9699320-1	3-1-2387627	3-7873312-1	3078391-1-1	7736748-1-1	3-1928724-1	3937328-1-1	3-5598285-1	4639029-1-1	3154636-1-1	948176-1-1	6150476-1-1	3-1-906488	3-9264952-1	3-8335587-1	4-9627250-3	4-8566254-3	3-6881686-1	3-3932912-1	3-2470364-1	7848174-1-1	3-1-7430914	4-7220914-3	3-1-9174392	4-3-2452002	4960541-1-1	3-8064044-1	3-6350104-1	4-1366717-3	4-8584967-3	3-4522840-1	3-7185862-1	3-6652319-1	4429983-1-1	4-3-7326946	3-1628018-1	3-1-5584049	4492705-1-1	3-1-4353663	1660231-1-1	3-7924446-1	3-9034644-1	4-3-5890060	3-5968203-1	5446359-1-1	3014825-1-1	448015-1-1	3-616717-1	3-4515102-1	3-1-9796745	3-4242050-1	2481529-1-1	4-6865778-3	7105234-1-1	366437-1-1	962212-1-1	3-323003-1	3-1-6519877	9208320-1-1	6215477-1-1	3-2742612-1	3-1-5364723	3-1-9848662	3-1-9654677	3-1-2714393	9323595-1-1	5709335-1-1	3-1-5714476	3-1875613-1	3-9305730-1	3237302-1-1	3974663-1-1	3-6505551-1	3-9652782-1	3-1-1100518	3-997651-1	4-3-3	3-8074567-1	3-1-4875187	4-3-1536440	3-6426454-1	3-9859296-1	3-1510890-1	3-2116954-1	3-1-8671903	3-2595313-1	3-1-3703537	3-5278452-1	8076887-1-1	3-4242050-6853423	3-2734091-1	843890-3-3	3-6134578-1	1080315-1-1	3508195-1-1	4208584-1-1	3045822-3-3	3-1-6682037	3-1-1	8225564-1-1	3-2242676-1	3-1-4989403	3-1-5266364	3-1-929229	3998272-1-1	302947-3-3	1287193-1-1	3516407-1-1	7944983-3-3	3-1-2145562
assemblage-27-17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13023	0	0	0	0	0	0	0	0	0	0	0
assemblage-49-6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3190	0	0	0	0	7	1	0	0	1	0	1	0	62	0	0	0	11	0	0	1	0	0	0	0	0	22819	0	0	0	0	3	8	1	0	27	0	0	0	2	0	0	0	0	0	1	0	0	89879	0	0	0	103	0	0	0	0	1	0	0
assemblage-5-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	1	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	13136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	31446	0	0	0	0	0	0	0	0	8	0	0
assemblage-14-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1555	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	19889	0	0	0	0	0	0	0	0	0	0	0
assemblage-17-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	16	0	0	0	0	0	0	0	0	1630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16848	0	0	0	0	0	0	0	0	0	0	0
assemblage-48-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	803	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	1001	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9776	0	0	0	103	0	0	0	0	0	0	0
assemblage-28-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16683	0	0	0	0	0	0	0	0	0	0	0
assemblage-14-2	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1392	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	19955	0	0	0	0	0	0	0	0	0	0	0
assemblage-30-5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13630	0	0	0	0	0	0	0	0	0	0	0
assemblage-42-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	707	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1202	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9704	0	0	0	82	0	0	0	0	0	0	0
