Assemblage_Name	7464402-1-1	0-1-2119666	8601804-9238914-4	1838103-1-1	0-1-1	8036197-1-1	3-1381283-4	3-2-1738292	0-1-6696955	0-8462190-1	440263-1-1	3-2944882-4	0-1-7437602	3-2-231560	5037987-1-1	3-4492854-4	1779780-1-1	3825457-2-4	0-1809755-1	0-1-3045354	0-1-7997702	3-2-5232963	3-2-9671429	0-1-5220691	0-1-593550	626441-1-1	3-2-5497873	3-2-4611052	3-5491138-4	0-4637651-1	3-2-9528933	3-2-4318479	6475310-1-1	4395611-1-1	3-2427916-4	3-2919939-4	3-2-2208293	6689479-2-4	3-2-2150712	0-1-4522042	3-4027846-4	0-3059452-1	0-1-9367067	0-1-5892868	0-1-5521276	2205471-1-1	3-9238914-4	0-4481666-1	0-4495604-1	0-464149-1	0-1-9804567	2194081-2-4	3-2-4298433	3-2-6996758	0-9536866-1	350678-1-1	6220815-2-4	5565507-1-1	3-4567304-4	1642674-1-1	0-1-3110408	4809413-1-1	3-2-4457004	9439277-1-1	9237241-1-1	0-1-4701480	0-1596309-1	3-9387802-4	0-1125201-1	3-2-1954432	0-1-920421	0-1-8448328	0-8041582-1	0-1-118655	9488318-1-1	3-554775-4	5037913-1-1	3-2-2200000	0-6889696-1	0-5501248-1	3-4921200-4	0-6039833-1	1536722-2-4	3-2-8809443	8665942-1-1	3706810-1-1	0-6612945-1	5401629-1-1	0-2579507-1	0-1-3454543	3-2-2387506	6237467-1-1	2996954-2-4	5621196-2-4	0-1-6897234	0-1021364-1	0-4616029-1	0-1-9632750	0-1-3128803	0-1-4407212	6901244-2-4	3-6556414-4	0-577394-1	0-9316769-1	0-1-6012445	3-5130147-4	3-5705007-4	3-2-6719693	3-9677169-4	0-1088432-1	0-837203-1	3-5969854-4	3-4904787-4	0-1-9046963	0-7919332-1	4712542-1-1	0-3514623-1	2355591-2-4	3-2-3137011	3-2-7312770	0-9665025-1	0-1656305-1	3-9555983-4	3-2-4	0-1-4906739	3-5115567-4	0-1-6541709	3-8248377-4	8730624-1-1	3-2-9298573	0-1-8820752	0-7563924-6897234	3-2-5846178	0-1-5228930	1923826-1-1	3-7311025-4	6219148-1-1	2844887-1-1
assemblage-48-13	0	0	0	0	11996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6998	0	0	0	0	0	0	0	0	0	0	0	0	0	121
assemblage-26-10	0	0	0	0	8283	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2930	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-6-6	0	0	0	0	10776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7702	0	0	5	1	0	0	0	0	0	0	0	0	0	0
assemblage-15-17	0	0	0	0	12951	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8438	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-19-12	0	0	0	0	7695	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3487	0	0	0	0	1	0	0	0	0	0	0	0	0	0
assemblage-43-1	0	0	0	0	8079	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-19-14	0	0	0	0	7933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3257	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-8	0	7	1	0	12809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8535	0	0	0	0	0	0	0	0	0	0	0	2	0	0
assemblage-10-15	0	0	0	7	35371	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	10632	0	0	0	0	0	0	0	0	0	0	1	0	0	156
assemblage-23-14	0	0	0	8	34316	0	19	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11494	0	0	0	0	0	0	0	0	0	0	0	0	0	259
