Assemblage_Name	995464-2717401-6093721	995464-0-9089477	995464-4307424-6093721	995464-0-5963027	995464-0-8792603	0-0-4798995	995464-0-7907072	995464-0-8942147	995464-5588635-6093721	0-0-1234932	9242861-0-6093721	0-0-4029330	0-0-2118677	6608895-0-6093721	0-0-1799634	995464-1356479-6093721	8097446-9599784-6093721	995464-0-3536658	995464-0-692353	3493098-0-6093721	5048091-0-6093721	995464-2395894-6093721	0-1472311-6093721	0-0-7116879	995464-0-2786469	995464-0-2042580	995464-3717282-6093721	995464-577496-6093721	0-0-6298771	9862481-0-6093721	0-1285590-0	0-4988292-6093721	0-0-1932261	995464-0-7637855	995464-1955864-6093721	6071349-0-6093721	995464-0-1060037	995464-1152775-6093721	1347032-0-6093721	0-0-8503911	995464-4820121-6093721	995464-6529198-8792603	995464-9158195-6093721	0-0-8348237	4927557-0-6093721	0-6717539-0	0-4308494-0	0-0-3270362	995464-5795715-6093721	0-5883918-6093721	995464-5227867-8792603	0-0-0	3953511-0-6093721	1139061-0-6093721	995464-0-4106003	0-1546158-0	995464-0-8338376	8545699-0-6093721	2860738-0-6093721	4475743-0-6093721	995464-0-8461097	995464-0-6894215	0-3107097-0	0-0-261382	66457-0-6093721	0-5571092-6093721	995464-7311823-6093721	9156009-0-6093721	0-7006197-6093721	0-0-840510	0-8037444-6093721	2065583-0-8792603	0-7820102-0	995464-0-7140452	0-4910411-6093721	3344538-0-0	0-0-1580852	0-270876-6093721	5661222-0-6093721	0-0-6093721	6006486-0-6093721	0-1200020-6093721	2700078-0-6093721	995464-0-6093721	995464-7650706-6093721	995464-8640875-6093721	281790-0-6093721	995464-9599784-6093721	995464-633760-6093721	995464-18252-6093721	1487912-0-0	7195948-0-6093721	995464-0-9141170	8608298-0-6093721	995464-0-1461060
assemblage-36-13	0	0	1	0	0	0	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17954	0	0	0	14858	0	0	0	0	0	0	0	0	0	0	0
assemblage-18-2	0	0	0	0	0	0	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13039	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18833	0	0	0	14343	0	0	0	0	0	0	0	0	0	0	0
assemblage-23-18	0	0	0	0	746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17617	0	0	0	1342	0	0	0	0	0	0	0
assemblage-45-2	0	0	0	0	835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	228	0	29	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	17367	0	0	0	1478	0	0	0	0	0	0	0
assemblage-6-14	0	0	0	0	1904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	864	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14808	0	3	0	0	0	0	0	0	0	0	0
assemblage-29-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	790	0	0	0	4109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	4723	0	0	0	9263	0	0	0	0	0	0	0	0	0	0	0
assemblage-27-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655	0	0	0	4364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	39	22	0	0	4983	0	0	0	8834	0	0	0	0	0	0	0	0	0	0	0
assemblage-49-6	0	0	0	0	3062	0	1	0	1	0	0	0	2	7	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	2	0	19	5	0	0	1	0	0	0	0	7	0	0	1915	0	0	0	21393	4	25	0	0	0	4	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	3	0	15	5	0	0	23402	0	0	0	62457	0	2	0	1385	0	0	0	0	0	2	0
assemblage-5-7	0	0	0	0	0	1	0	0	0	0	13	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14152	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	17562	0	0	0	14470	0	0	0	0	0	0	2	0	0	0	0
assemblage-14-8	0	0	0	0	682	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	17478	0	0	0	1528	0	0	0	0	0	0	0
