Assemblage_Name	995464-2717401-6093721	995464-0-9089477	995464-4307424-6093721	995464-0-5963027	995464-0-8792603	0-0-4798995	995464-0-7907072	995464-0-8942147	995464-5588635-6093721	0-0-1234932	9242861-0-6093721	0-0-4029330	0-0-2118677	6608895-0-6093721	0-0-1799634	995464-1356479-6093721	8097446-9599784-6093721	995464-0-3536658	995464-0-692353	3493098-0-6093721	5048091-0-6093721	995464-2395894-6093721	0-1472311-6093721	0-0-7116879	995464-0-2786469	995464-0-2042580	995464-3717282-6093721	995464-577496-6093721	0-0-6298771	9862481-0-6093721	0-1285590-0	0-4988292-6093721	0-0-1932261	995464-0-7637855	995464-1955864-6093721	6071349-0-6093721	995464-0-1060037	995464-1152775-6093721	1347032-0-6093721	0-0-8503911	995464-4820121-6093721	995464-6529198-8792603	995464-9158195-6093721	0-0-8348237	4927557-0-6093721	0-6717539-0	0-4308494-0	0-0-3270362	995464-5795715-6093721	0-5883918-6093721	995464-5227867-8792603	0-0-0	3953511-0-6093721	1139061-0-6093721	995464-0-4106003	0-1546158-0	995464-0-8338376	8545699-0-6093721	2860738-0-6093721	4475743-0-6093721	995464-0-8461097	995464-0-6894215	0-3107097-0	0-0-261382	66457-0-6093721	0-5571092-6093721	995464-7311823-6093721	9156009-0-6093721	0-7006197-6093721	0-0-840510	0-8037444-6093721	2065583-0-8792603	0-7820102-0	995464-0-7140452	0-4910411-6093721	3344538-0-0	0-0-1580852	0-270876-6093721	5661222-0-6093721	0-0-6093721	6006486-0-6093721	0-1200020-6093721	2700078-0-6093721	995464-0-6093721	995464-7650706-6093721	995464-8640875-6093721	281790-0-6093721	995464-9599784-6093721	995464-633760-6093721	995464-18252-6093721	1487912-0-0	7195948-0-6093721	995464-0-9141170	8608298-0-6093721	995464-0-1461060
assemblage-41-9	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	946	0	0	0	1277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1133	0	0	0	7530	0	0	0	0	0	0	0	0	0	0	0
assemblage-1-9	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	13761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17356	0	0	0	15098	0	0	0	0	0	0	0	0	0	0	0
assemblage-49-14	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	928	0	0	0	1482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1262	0	0	0	7207	0	0	0	0	0	0	0	0	0	0	0
assemblage-23-13	0	0	0	0	802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17593	0	0	0	1295	1	0	0	0	0	0	0
assemblage-4-19	0	0	0	0	2087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	852	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14640	0	5	0	0	0	0	0	0	0	0	0
assemblage-40-6	0	0	0	0	2106	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14745	0	1	0	0	0	0	0	2	0	0	1
assemblage-7-19	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	928	0	0	0	1437	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1090	0	0	0	7351	0	0	0	0	0	0	0	0	0	0	0
assemblage-17-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	699	0	0	0	4235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	7	1	0	4793	0	0	0	9131	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	686	0	0	0	4299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	24	11	0	0	4773	0	0	0	9105	0	0	0	0	0	0	0	0	0	0	0
assemblage-7-14	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	13323	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17550	0	0	0	15347	0	0	0	0	0	0	0	0	0	0	0
assemblage-48-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	752	0	0	0	4617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	19	0	0	4218	0	0	0	9270	0	0	0	0	0	0	0	0	0	0	0
assemblage-26-10	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	742	0	0	0	1345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1087	0	0	0	7657	0	0	0	0	0	0	0	0	0	0	0
assemblage-6-6	0	0	0	0	2061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14585	0	15	0	0	0	0	0	0	0	0	0
assemblage-15-17	0	0	0	0	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	53	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	17476	0	0	0	1456	0	0	0	0	0	0	0
assemblage-19-12	0	1	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	910	0	0	0	1397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1081	0	0	1	7424	0	0	0	0	0	0	0	0	0	0	0
assemblage-43-1	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	802	0	0	0	1517	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1058	0	0	0	7453	0	0	0	0	0	0	0	0	0	0	0
assemblage-19-14	0	2	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0	918	0	0	0	1327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1139	0	0	0	7426	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-8	0	0	0	0	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17639	0	0	0	1390	0	0	0	0	0	0	0
assemblage-10-15	0	0	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	13373	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18757	0	4	0	14078	0	0	0	0	0	0	0	0	0	0	0
assemblage-23-14	0	0	0	0	0	0	0	0	0	0	0	0	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13167	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19129	0	1	0	13901	0	0	0	0	0	0	0	0	0	0	0
