Assemblage_Name	6999752-1-1	0-1-1	1662420-1-5609993	1591937-325350-1	0-1-6461082	0-6336439-1	4334171-1-1	8295545-1-5609993	0-325350-4793107	589422-1-1	0-1-210150	0-7265573-1	2357779-1-1	478140-1-5609993	9559093-1-1	0-8397037-1	0-1-1906793	0-325350-1	0-8998807-5609993	0-3713387-6484003	7386493-1-1	0-1-4076030	0-1235631-1	0-4669490-1	0-1-8873866	3100095-325350-1	2605180-1-1	0-1-1738136	0-1-818921	0-5020657-5609993	0-325350-7757015	0-1-2450650	4-2-1	0-1-1207382	0-5319429-5609993	0-9514337-1	0-1-6141739	0-8388272-5609993	124483-1-1	9422893-1-1	0-1-7475447	0-1414908-1	2299362-1-1	7077655-1-5609993	0-9843537-1	0-2557078-5609993	2511489-1-1	0-1-5028818	5113086-1-1	0-1-6481460	560937-1-5609993	0-2695723-1	9735674-1-1	0-1792946-1	0-2668335-1	0-1-6051479	0-1-9807289	0-7420344-5609993	0-1-8070477	0-1-5609993	0-7251681-1	0-325350-4754509	0-325350-6676642	0-2672254-1	0-1-3966198	2582015-1-5609993	0-1-2493688	0-325350-1262995	1659062-7251681-1	0-1-9971692	0-1-7777553	0-1-2211163	0-6892175-1	9080957-1-1	0-1-6221458	0-1-2878723	0-1-5055762	7099279-1-5609993	0-1-779809	0-325350-8851424	0-5068690-5609993	4454010-1-1	0-5329603-1	7417317-325350-1	0-5696254-1	5873920-1-1	0-1-4909627	0-3245167-1	0-2539820-1	0-1171134-1	0-1804262-1	0-7637129-1	0-1-2014970	0-1-4747707	0-1-1683456	0-3777259-1	0-1-7063601	5281093-1-1	0-6324863-5609993	0-325350-3336565	2837985-1-1	0-1-9969246	0-7879361-1	0-1-9400476	0-2980522-1	5817355-1-1	0-5744393-1	5392215-1-1	4-2691760-1	0-1592426-1	0-1-8854124	6365584-1-5609993	9489594-1-1	0-325350-4556899	0-1-878797	0-1150892-5609993	0-1-949493	0-325350-4764726	0-6416716-1	0-8581867-5609993	0-7456634-5609993	1805485-1-1	0-325350-4569874	0-1-948438	0-900104-1	0-3898324-1	0-1-1002311	0-1-8312831	0-1-6484003	2122468-1-1	0-8927018-1	0-1-7691998	2315517-1-1	0-6762441-1	2572428-1-1	168842-1-1
assemblage-48-13	0	13175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3617	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2174	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	376	0	0	0	0	0	1	0
assemblage-26-10	0	4711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	13	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	643	0	0	0	0	0	0	0
assemblage-6-6	0	10522	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2318	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	71	0	0	0	0	0	0	0	0	0	10	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	901	0	0	0	0	0	0	0
assemblage-15-17	0	16446	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	634	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-19-12	0	5036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	81	0	0	0	33	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	1	0	0	0	0	624	0	0	0	0	0	0	0
assemblage-43-1	0	4956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	32	0	0	0	0	0	0	0	0	0	32	0	0	0	1	0	0	0	0	0	0	0	0	0	0	631	0	0	0	0	0	0	0
assemblage-19-14	0	4887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2455	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	23	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645	0	0	0	0	0	0	0
assemblage-20-8	0	16179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	844	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-10-15	0	28397	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6873	0	0	0	0	0	0	0	0	1	16	0	0	0	0	1184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8452	855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-23-14	0	28437	2	0	0	3	0	0	1	0	0	1	0	0	0	0	0	7380	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8124	752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
