Assemblage_Name	3-3-2792627	7701305-3-7260268	3-3-3124052	3682340-3-1	5541665-3-1	5523304-3-1	3-5695358-1	1953141-1546265-5052245	3-3-3850678	7793905-3-1	3644312-3-1	3-3-1720082	3-6629877-1	3-9886438-1	8645392-3-1	3-3-6938885	6244171-3-1	3-3-7260268	1734872-3-7260268	1953141-3-6003230	3654871-3-1	3-9382320-1	8480303-3-1	1953141-3-476165	1953141-2566590-1	5800560-3-1	1671985-3-1	3-3-7673967	3-3-6999428	9884308-3-1	2689898-3-7260268	1953141-7558451-1	3-3-6881358	1953141-3-1	32615-3-1	3-6125026-1	5864998-3-1	3-3-1206544	3-9441696-1	1953141-3-1891709	3401855-3-1	9807783-3-1	1953141-1546265-1	8389860-3-1	1953141-5183950-1	462590-3-1	2659062-3-1	1652337-3-1	2765921-3-1	3-3-1	3-3-3891686	3-9413072-1	1141802-3-1	6251057-3-1	3-3-8069849	3-3-5711864	3-7973110-7260268	1953141-7604589-1	3-3-7455245	3-3-7342597	3324802-3-7260268	3-3-8329235	3-3-8917779	3-3-643718	2804144-3-1	7824805-3-7260268	1953141-242181-1	0-0-4	3-4951616-1	3-3-8858437	1953141-3-9944734	4465374-3-1	8745852-3-1	3-3388209-1	1074778-3-1	1953141-5128484-1	9468241-3-1	3-3-2472484	1953141-6074356-1	3-3-2144219	3-3-4376405	3-3-4507904	3-9515965-7260268	3-2319471-7260268	467543-3-1	1953141-3-5191162	3-3-4606998	3-7172457-1	8148304-3-1	1953141-3-5808058	3-3-2941182	3-824949-1	1953141-5826880-1	3-3-7896423	3-3940319-7260268	3-3-4632144	3-3-3684327	3-5042003-1	3-7215846-1	3-1204439-1	3-3-341493	1953141-3-3240289	2096232-3-7260268	3-3-8391372	3-3-2489681	3-3-5032057	3-3-2929341	1466762-3-1	3-1102236-1	3-8594273-7260268	780773-3-1	1953141-2350155-1	3-3-4782062	8927707-3-1	3-3-9796350	3-3-9181265	326640-3-1	4991608-3-1	4431433-3-1	6791664-3-7260268	2127155-3-1	3-5285427-1	0-0-3871134	3-5211261-7260268	3-3-7355468
assemblage-37-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2619	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5660	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-9	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	1641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9453	0	0	8	0	0	0	0	0	458	0	0	0	0	0	0	9772	0	0	0	0	1	21	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
assemblage-28-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-35-1	0	0	0	0	0	2	0	0	0	14	0	0	0	0	1	0	0	7531	1	0	16	0	0	0	0	0	0	0	0	5	0	18	0	4497	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	52390	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0	454	1	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	5	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3774	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	3368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12132	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	2877	0	0	19	0	0	0	0	0	0	0	0	1	0	0	0	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
assemblage-17-8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9092	0	0	10	0	0	0	0	0	0	0	0	1	0	5	0	3607	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	51551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-41-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	758	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	10093	1	0	1	0	0	0	0	0	326	0	0	0	0	0	0	10174	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1316	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9142	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	10602	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-44-13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3321	0	0	36	2	0	0	0	0	0	0	0	0	0	0	0	1067	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	40256	0	0	0	0	0	0	0	0	0	0	0	0	1	0	27	0	0	913	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
