Assemblage_Name	3-4919179-1283151	2-9155993-2380781	2-7444650-2380781	5660961-2-2144254	8686891-8771218-9295576	3-4919179-1198245	3-4919179-2641281	6046892-8771218-2380781	3-4919179-1246825	3-6323090-1	3-1-1	2-2776146-2380781	2286111-4919179-1	9137402-4919179-1	3-5981222-1	1376588-6323090-1	9351274-4919179-1	1-1-1	2-2947082-2380781	0-4-4	8686891-8771218-2380781	2122427-4919179-1	1-2-2144254	3-4919179-8836489	1716825-2-3	8686891-8771218-3959453	4-2491633-4	431805-4-4	8686891-3684699-2380781	1-2-3	7974409-2947082-2380781	3-799211-1	3-440655-1	2-3-1	4955252-8771218-2380781	0-3-2	2-8771218-2380781	4940136-1-0	2-7444650-9597746	9905954-4919179-1	6947615-4919179-1	2-5622160-2380781	3702521-8771218-2380781	2232380-2947082-2380781	3-4919179-1	2-3-2380781	2-5302857-2380781	8686891-8771218-2835564	1-3247362-3	3-4919179-6504723	4-1-0	3-3497595-1	8686891-8771218-5090766	8535480-6323090-1	6788910-4919179-1	2-4470709-2380781	3-9319610-1	2-2876945-2380781	2-7444650-533147	8686891-8771218-2379541
assemblage-715-624	0	0	17	0	0	0	0	0	29	0	10	0	0	0	0	0	0	0	145	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	122	0	0	0	0	0	0	0	122	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-204-897	0	6	10	0	7	0	0	5	0	0	0	0	0	12	0	0	0	0	47	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-958-95	0	0	100	0	0	0	0	0	0	41	29	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	26	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	106	0	0	0	0	28
assemblage-209-537	0	0	99	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	4	0	0	0	0	117	0	0	0	0	0	0	0	56	0	0	0	0	0	47	0	0	18	0	0	0	0	0	20
assemblage-110-705	72	0	49	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	72	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	82	0	0	0	0	0	0	0	0	19
assemblage-805-544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	27
assemblage-96-100	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	426	0	0	0	0	0	0	11	0	0	0	0	7	0	0	6
assemblage-592-299	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	186	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	36
assemblage-482-340	71	0	53	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	75	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	59	0	0	0	0	0	0	0	0	27
assemblage-438-465	0	0	12	0	0	0	0	0	31	0	13	0	0	0	0	0	0	0	129	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	143	0	0	2	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-809-547	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	70	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	138	0	20
assemblage-194-547	0	0	13	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	105	0	0	8	7	0	0	0	0	0	0	0	0	0	0	187	26	0	0	0	0	84	0	0	0	0	0	0	0	0	10
assemblage-891-622	0	0	0	0	0	0	0	214	0	0	0	26	0	0	0	0	0	0	68	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	46	0	0	0	0	0	0	0	0	0	0	0	0	2	0	23
