Assemblage_Name	0-1-9120869	0-9003997-1	7749734-1-1	0-1-1	0-1830402-1	0-1122327-1	6427342-1-1	2763373-1-1	0-6384409-1	0-5195715-1	3923717-1-1	0-5376549-1	0-3169485-3	2-228630-2	0-1-2972783	1807358-1-1	7084931-1-1	3057231-1-1	9124003-1-1	0-4486462-1	1257324-1-1	0-1-6574057	1324996-1-1	1385381-1-1	0-8622981-1	0-2634446-1	1636254-1-1	0-2533979-1	0-1-4380794	4639759-1-1	0-1-9645324	0-1-224974	0-656841-1	0-7851230-1	0-3084543-1	0-1-9158513	3027065-1-1	0-1503910-1	0-5104053-1	6362031-1-1	0-3-3	4416652-1-1	0-5275273-1	0-8983235-1	2-2-2	0-8144740-1	4078479-1-1	8572913-1-1	0-1-818091	0-8716376-1	0-259349-1	6011992-1-1	0-6848407-1	4758269-1-1	173207-1-1	0-1-5118405	0-5006140-1	0-2080798-1	0-1316662-1	5011298-4-2	1198909-1-1	0-1-6721897	0-1005529-1	0-5880731-1	0-1-8728636	0-5962019-1	0-4652257-1	0-1-9101044	0-9393062-1	0-2725849-1	0-7999802-1	2646060-1-1	0-4688981-1	0-8831689-1	0-5074818-1	0-6938534-1	0-1-3725505	0-1-6471985	5370020-1-1	0-1-9060988	1716966-1-1	1259967-1-1	0-7341845-1	0-3580702-1	0-3635533-1	119735-1-1	2696061-1-1	0-1-6410150	3643477-1-1	103140-1-1	0-3853134-1	5657972-1-1	7433296-1-1	0-1-4666556	0-1-6580966	2-4-2	5202892-1-1	0-395464-1	3726438-1-1	0-3259351-1	3108544-1-1	8616465-1-1	0-327402-1	0-1-515462
assemblage-33-47	0	0	0	40899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-30-41	0	0	0	61633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-36-52	0	0	0	42793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5107	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15540	0	0	0	0	0	0	0	0
assemblage-73-34	0	0	0	34912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-14-48	0	0	0	36298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1246	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-23-74	0	0	0	34394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-40-73	0	0	0	132099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-22-7	0	0	0	34394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-26-30	0	0	0	76691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9334	0	0	0	0	0	0	0	0
assemblage-4-55	0	0	0	41767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	0	0	0	0	0	0	0	0
