Seriation_Number	Assemblage	3943480-4463606-1	4-9725597-3	8889474-3-8203494	1-3-833959	8889474-4463606-1	8889474-3-696595	0-3-4413425	4-1-4	7080308-1251099-3	8889474-785109-1	5657811-3-4413425	1184030-2168198-1	1-8315262-833959	8889474-3-1	2348-3-126047	7451826-3-1	8889474-3-8092516	3523591-1251099-966503	607256-3-4413425	8889474-7607093-1	1184030-8476225-1	2348-5181985-9441481	4-7874022-2478095	4359348-3-1	2142139-3-1	1-5019935-833959	1184030-3-1	1-3-3	2348-5557556-9441481	4-5294151-3	4-1251099-3	2348-5377707-1	5554068-1251099-3	4-7515151-3	4-5897464-3	1184030-3-2807910	4-4-1	4-4-3	4-7874022-3	4-2-3	1-3-7579918	8889474-8400304-1	5959929-1251099-3	3509396-1251099-3	2975843-1251099-3	2975843-1251099-3406929	3273832-7318585-9441481	2348-3-1	2348-3-9441481	3-4-4	4-1466884-3	3-3-1	4-1251099-966503	7591531-3-1	6512905-1251099-3
3	assemblage-872-390	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	17

4	assemblage-546-468	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	12
4	assemblage-634-662	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
4	assemblage-872-390	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	17

5	assemblage-546-468	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	12
5	assemblage-634-662	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
5	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

6	assemblage-546-468	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	12
6	assemblage-362-744	0	18	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	327	0	31	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	61	0	16
6	assemblage-872-390	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	17

7	assemblage-546-468	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	12
7	assemblage-362-744	0	18	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	327	0	31	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	61	0	16
7	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

8	assemblage-546-468	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	12
8	assemblage-648-665	0	0	0	0	14	0	0	0	0	0	0	0	0	186	0	9	0	0	0	0	0	0	0	0	0	0	261	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
8	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

9	assemblage-847-379	0	0	41	0	0	12	0	0	0	0	0	0	0	255	0	6	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1
9	assemblage-634-662	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
9	assemblage-872-390	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	17

10	assemblage-847-379	0	0	41	0	0	12	0	0	0	0	0	0	0	255	0	6	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1
10	assemblage-634-662	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
10	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

11	assemblage-847-379	0	0	41	0	0	12	0	0	0	0	0	0	0	255	0	6	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1
11	assemblage-648-665	0	0	0	0	14	0	0	0	0	0	0	0	0	186	0	9	0	0	0	0	0	0	0	0	0	0	261	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
11	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

12	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
12	assemblage-634-662	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
12	assemblage-872-390	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	17

13	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
13	assemblage-634-662	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
13	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

14	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
14	assemblage-362-744	0	18	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	327	0	31	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	61	0	16
14	assemblage-872-390	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	17

15	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
15	assemblage-362-744	0	18	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	327	0	31	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	61	0	16
15	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

16	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
16	assemblage-362-744	0	18	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	327	0	31	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	61	0	16
16	assemblage-634-662	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26

17	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
17	assemblage-648-665	0	0	0	0	14	0	0	0	0	0	0	0	0	186	0	9	0	0	0	0	0	0	0	0	0	0	261	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
17	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

18	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
18	assemblage-546-468	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	12
18	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

19	assemblage-540-468	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16
19	assemblage-546-468	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	12
19	assemblage-648-665	0	0	0	0	14	0	0	0	0	0	0	0	0	186	0	9	0	0	0	0	0	0	0	0	0	0	261	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7

20	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
20	assemblage-634-662	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
20	assemblage-872-390	0	0	0	0	33	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	12	17

21	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
21	assemblage-634-662	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
21	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

22	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
22	assemblage-648-665	0	0	0	0	14	0	0	0	0	0	0	0	0	186	0	9	0	0	0	0	0	0	0	0	0	0	261	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
22	assemblage-349-945	5	0	0	0	38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	6

23	assemblage-722-718	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	10
