Assemblage_Name	1-4-0	1-8734136-0	1-4-3	1-7229875-0	1-0-4	4-4-0	1-8053407-0	1-4-1794415	1738595-4-0	3266165-4-0	1-4817588-0	1-2396208-0	8787442-4-0	7157021-4-3
assemblage-14-31	163738	0	0	0	0	0	0	0	0	0	0	1	0	0
assemblage-1-16	163739	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-73-41	164370	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-73-62	164139	0	0	0	0	0	0	0	0	0	0	0	1	0
assemblage-41-8	0	0	1453	0	1	3768	0	0	0	0	0	0	0	0
assemblage-60-72	1571	0	1560	0	775	1316	0	0	0	0	0	0	0	0
assemblage-40-68	163989	1	0	114	0	0	0	0	0	0	0	0	0	0
assemblage-9-16	658578	0	640	0	447	1895	15	0	0	0	0	0	0	0
assemblage-13-43	164103	0	0	0	0	0	0	0	0	0	1	0	0	0
assemblage-62-37	164132	0	0	0	0	0	0	8	0	0	0	0	0	0
assemblage-34-51	706	0	4359	0	2	155	0	0	0	0	0	0	0	0
assemblage-70-53	349	0	610	0	3020	1243	0	0	0	0	0	0	0	0
assemblage-27-49	418	0	527	0	3200	1077	0	0	0	0	0	0	0	0
assemblage-15-46	1435	0	1063	0	1055	1669	0	0	0	0	0	0	0	0
assemblage-43-9	164136	0	0	0	0	0	0	1	0	2	0	0	1	0
assemblage-25-47	4783	0	47	0	2	390	0	0	0	0	0	0	0	0
assemblage-53-34	164068	0	0	31	0	0	0	0	5	0	0	0	0	0
assemblage-17-33	164360	0	0	0	0	0	10	0	0	0	0	0	0	0
assemblage-17-4	1	0	1495	0	0	3726	0	0	0	0	0	0	0	0
assemblage-26-45	163739	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-59-24	393	0	954	0	822	3053	0	0	0	0	0	0	0	0
assemblage-73-8	409	0	655	0	3191	967	0	0	0	0	0	0	0	0
assemblage-22-55	3237	0	514	0	276	1195	0	0	0	0	0	0	0	0
assemblage-52-30	819	0	4293	0	0	109	0	0	0	0	0	0	0	1
assemblage-63-12	779	0	4298	0	0	145	0	0	0	0	0	0	0	0
assemblage-47-10	1264	0	1163	0	271	2524	0	0	0	0	0	0	0	0
assemblage-35-51	4854	0	71	0	8	289	0	0	0	0	0	0	0	0
assemblage-3-10	164364	0	0	0	0	0	6	0	0	0	0	0	0	0
assemblage-51-32	4777	0	48	0	3	394	0	0	0	0	0	0	0	0
