Seriation_Number	Assemblage	3-825984-2	1-2-600017	667985-2-0	1581759-2-4160978	4779043-2-0	1-2-8508308	1-2496825-3	2-8600665-1	3-3-2	887277-2496825-3	3-7628619-2	1-2-210006	2-4-7177737	3-3-5674464	3840620-4-6094288	0-1-0	1-2-2509824	0-2142910-0	0-2980545-0	3988491-3-2	0-5801320-1	7129940-2-0	3-3-8280483	0-1-6432484	7202287-3-2	5220143-3-2	5817480-1-0	3840620-335903-1	1-9391180-0	0-6040300-0	2-9250355-4	0-1-2788888	0-2-1	807526-2-0	2197359-3-5674464	3840620-4-1	2-3092540-1	1-1880518-0	2-4-1	2-4-4	2-0-4	1-4007708-0	1-2496825-6154100	2-4-1098832	2-1940404-1	1-9977624-3	2-9501971-1	7386862-0-4	1-2-5838455	650636-4-1	1-749490-3	1-2-3	1-2-0	3906497-2-0	0-2-4380871	0-2399781-0	1-2-3323407	1-2496825-5460886	2885977-4-1	1-2-5099040	3-4575315-2	1-6649167-0	3889758-1-0	1-761108-0	3134806-2-3
9	assemblage-418-394	4	0	0	0	0	0	9	0	11	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	8	0	0	129	0	14	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	17
9	assemblage-691-193	0	0	0	0	0	0	32	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	15	0	0	46	0	0	0	0	0	0	0	0	0	0	0	8	71	54	0	0	0	0	51	0	0	0	0	0	0	8
9	assemblage-211-394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	9	0	0	0	0	0	0	0	0	0	0	9

10	assemblage-418-394	4	0	0	0	0	0	9	0	11	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	8	0	0	129	0	14	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	17
10	assemblage-155-332	0	0	0	0	0	0	0	0	111	0	0	0	0	29	0	126	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	98	77	0	0	0	0	0	0	0	0	0	0	0	17
10	assemblage-820-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	24	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	16

11	assemblage-418-394	4	0	0	0	0	0	9	0	11	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	8	0	0	129	0	14	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	17
11	assemblage-575-481	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	98	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	201	0	0	0	0	0	0	0	19	0	0	0	6
11	assemblage-637-327	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	51	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	198	0	0	0	0	0	0	0	28	0	0	0	2

12	assemblage-425-389	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	73	0	0	0	0	20
12	assemblage-575-481	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	98	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	201	0	0	0	0	0	0	0	19	0	0	0	6
12	assemblage-466-814	0	0	0	0	0	0	36	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	48	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	21	204	0	0	0	0	0	0	0	63	0	0	0	5

13	assemblage-425-389	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	73	0	0	0	0	20
13	assemblage-575-481	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	98	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	201	0	0	0	0	0	0	0	19	0	0	0	6
13	assemblage-637-327	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	51	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	198	0	0	0	0	0	0	0	28	0	0	0	2

14	assemblage-425-389	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	73	0	0	0	0	20
14	assemblage-575-481	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	98	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	201	0	0	0	0	0	0	0	19	0	0	0	6
14	assemblage-830-468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	183	0	0	0	0	0	0	0	0	0	0	0	2

15	assemblage-128-357	0	0	0	0	0	0	0	0	85	0	0	0	0	24	0	152	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	65	110	0	0	0	0	0	0	0	0	0	0	0	17
15	assemblage-751-198	0	0	0	0	0	0	30	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	195	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	77	156	0	0	0	0	0	0	0	0	0	0	0	15
15	assemblage-211-394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	9	0	0	0	0	0	0	0	0	0	0	9

16	assemblage-128-357	0	0	0	0	0	0	0	0	85	0	0	0	0	24	0	152	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	65	110	0	0	0	0	0	0	0	0	0	0	0	17
16	assemblage-820-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	24	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	16
16	assemblage-211-394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	9	0	0	0	0	0	0	0	0	0	0	9

17	assemblage-128-357	0	0	0	0	0	0	0	0	85	0	0	0	0	24	0	152	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	65	110	0	0	0	0	0	0	0	0	0	0	0	17
17	assemblage-240-440	0	0	0	0	0	0	0	0	60	0	0	0	0	40	0	123	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	122	137	0	0	0	0	0	0	0	0	0	0	0	7
17	assemblage-466-814	0	0	0	0	0	0	36	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	48	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	21	204	0	0	0	0	0	0	0	63	0	0	0	5

18	assemblage-128-357	0	0	0	0	0	0	0	0	85	0	0	0	0	24	0	152	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	65	110	0	0	0	0	0	0	0	0	0	0	0	17
18	assemblage-155-332	0	0	0	0	0	0	0	0	111	0	0	0	0	29	0	126	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	98	77	0	0	0	0	0	0	0	0	0	0	0	17
18	assemblage-691-193	0	0	0	0	0	0	32	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	15	0	0	46	0	0	0	0	0	0	0	0	0	0	0	8	71	54	0	0	0	0	51	0	0	0	0	0	0	8

19	assemblage-128-357	0	0	0	0	0	0	0	0	85	0	0	0	0	24	0	152	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	65	110	0	0	0	0	0	0	0	0	0	0	0	17
19	assemblage-575-481	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	98	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	201	0	0	0	0	0	0	0	19	0	0	0	6
19	assemblage-466-814	0	0	0	0	0	0	36	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	48	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	21	204	0	0	0	0	0	0	0	63	0	0	0	5

20	assemblage-128-357	0	0	0	0	0	0	0	0	85	0	0	0	0	24	0	152	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	65	110	0	0	0	0	0	0	0	0	0	0	0	17
20	assemblage-575-481	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	98	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	201	0	0	0	0	0	0	0	19	0	0	0	6
20	assemblage-637-327	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	51	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	198	0	0	0	0	0	0	0	28	0	0	0	2

21	assemblage-128-357	0	0	0	0	0	0	0	0	85	0	0	0	0	24	0	152	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	65	110	0	0	0	0	0	0	0	0	0	0	0	17
21	assemblage-425-389	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	73	0	0	0	0	20
21	assemblage-211-394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	9	0	0	0	0	0	0	0	0	0	0	9

22	assemblage-679-193	0	0	0	0	0	0	94	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	7	0	0	75	0	0	0	0	0	0	0	0	0	0	0	6	37	50	0	0	0	0	35	0	0	0	0	0	0	8
22	assemblage-691-193	0	0	0	0	0	0	32	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	15	0	0	46	0	0	0	0	0	0	0	0	0	0	0	8	71	54	0	0	0	0	51	0	0	0	0	0	0	8
22	assemblage-211-394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	9	0	0	0	0	0	0	0	0	0	0	9

23	assemblage-679-193	0	0	0	0	0	0	94	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	7	0	0	75	0	0	0	0	0	0	0	0	0	0	0	6	37	50	0	0	0	0	35	0	0	0	0	0	0	8
23	assemblage-240-440	0	0	0	0	0	0	0	0	60	0	0	0	0	40	0	123	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	122	137	0	0	0	0	0	0	0	0	0	0	0	7
23	assemblage-820-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	24	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	16

24	assemblage-679-193	0	0	0	0	0	0	94	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	7	0	0	75	0	0	0	0	0	0	0	0	0	0	0	6	37	50	0	0	0	0	35	0	0	0	0	0	0	8
24	assemblage-155-332	0	0	0	0	0	0	0	0	111	0	0	0	0	29	0	126	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	98	77	0	0	0	0	0	0	0	0	0	0	0	17
24	assemblage-820-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	24	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	16

25	assemblage-679-193	0	0	0	0	0	0	94	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	7	0	0	75	0	0	0	0	0	0	0	0	0	0	0	6	37	50	0	0	0	0	35	0	0	0	0	0	0	8
25	assemblage-155-332	0	0	0	0	0	0	0	0	111	0	0	0	0	29	0	126	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	98	77	0	0	0	0	0	0	0	0	0	0	0	17
25	assemblage-240-440	0	0	0	0	0	0	0	0	60	0	0	0	0	40	0	123	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	122	137	0	0	0	0	0	0	0	0	0	0	0	7

26	assemblage-679-193	0	0	0	0	0	0	94	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	7	0	0	75	0	0	0	0	0	0	0	0	0	0	0	6	37	50	0	0	0	0	35	0	0	0	0	0	0	8
26	assemblage-575-481	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	98	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	201	0	0	0	0	0	0	0	19	0	0	0	6
26	assemblage-637-327	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	51	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	198	0	0	0	0	0	0	0	28	0	0	0	2

27	assemblage-679-193	0	0	0	0	0	0	94	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	7	0	0	75	0	0	0	0	0	0	0	0	0	0	0	6	37	50	0	0	0	0	35	0	0	0	0	0	0	8
27	assemblage-425-389	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	73	0	0	0	0	20
27	assemblage-820-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	24	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	16

28	assemblage-679-193	0	0	0	0	0	0	94	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	7	0	0	75	0	0	0	0	0	0	0	0	0	0	0	6	37	50	0	0	0	0	35	0	0	0	0	0	0	8
28	assemblage-128-357	0	0	0	0	0	0	0	0	85	0	0	0	0	24	0	152	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	65	110	0	0	0	0	0	0	0	0	0	0	0	17
28	assemblage-820-494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	24	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	16

29	assemblage-679-193	0	0	0	0	0	0	94	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	7	0	0	75	0	0	0	0	0	0	0	0	0	0	0	6	37	50	0	0	0	0	35	0	0	0	0	0	0	8
29	assemblage-128-357	0	0	0	0	0	0	0	0	85	0	0	0	0	24	0	152	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	65	110	0	0	0	0	0	0	0	0	0	0	0	17
29	assemblage-240-440	0	0	0	0	0	0	0	0	60	0	0	0	0	40	0	123	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	122	137	0	0	0	0	0	0	0	0	0	0	0	7

30	assemblage-679-193	0	0	0	0	0	0	94	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	7	0	0	75	0	0	0	0	0	0	0	0	0	0	0	6	37	50	0	0	0	0	35	0	0	0	0	0	0	8
30	assemblage-128-357	0	0	0	0	0	0	0	0	85	0	0	0	0	24	0	152	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	65	110	0	0	0	0	0	0	0	0	0	0	0	17
30	assemblage-155-332	0	0	0	0	0	0	0	0	111	0	0	0	0	29	0	126	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	98	77	0	0	0	0	0	0	0	0	0	0	0	17

31	assemblage-427-379	0	0	0	0	0	0	0	0	43	0	0	0	0	33	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	143	125	0	0	0	0	0	0	0	0	0	0	0	17
