Seriation_Number	Assemblage	1-7233645-1	2-3367110-3	1-6233843-1	1-3-1	1-4403496-1	2-1669903-3	1-3-9724406	2-1-3	1-3-757085	1-3-7133489	4-4-0	7326509-3-1	8665627-3-1	4775705-3-1	2-4-1	2-8730386-3	1-3-7475979	7019870-3-1	1836284-4-0	1-5385791-1	2-2572490-3	1-4575587-1	1-3-1808201	6764360-3-1
7	assemblage-29-48	0	0	0	50104	0	4405	0	14890	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0
7	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0

8	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0
8	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

9	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0
9	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

10	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	assemblage-29-48	0	0	0	50104	0	4405	0	14890	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0
10	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

11	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	assemblage-29-48	0	0	0	50104	0	4405	0	14890	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0
11	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0

12	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0
12	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

13	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

14	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0

15	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0

16	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0
16	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

17	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	assemblage-29-48	0	0	0	50104	0	4405	0	14890	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0
17	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

18	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	assemblage-29-48	0	0	0	50104	0	4405	0	14890	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0
18	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0

19	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0
19	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

20	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

21	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0

22	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	assemblage-29-48	0	0	0	50104	0	4405	0	14890	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0

23	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0

24	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

25	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0

26	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0

27	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
27	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0
27	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

28	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
28	assemblage-29-48	0	0	0	50104	0	4405	0	14890	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0
28	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

29	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
29	assemblage-29-48	0	0	0	50104	0	4405	0	14890	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0
29	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0

30	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
30	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0
30	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

31	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
31	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

32	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
32	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0

33	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
33	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0

34	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
34	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

35	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
35	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0

36	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
36	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0

37	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
37	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

38	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
38	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0

39	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0
39	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

40	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	assemblage-29-48	0	0	0	50104	0	4405	0	14890	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0
40	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

41	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	assemblage-29-48	0	0	0	50104	0	4405	0	14890	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0
41	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0

42	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0
42	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

43	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

44	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0

45	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0

46	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

47	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0

48	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	assemblage-29-48	0	0	0	50104	0	4405	0	14890	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0

49	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0

50	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

51	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

52	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0

53	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
53	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

54	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
54	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0

55	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
55	assemblage-47-21	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1173	0	0	0	0	0	0	0	0	0

56	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
56	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

57	assemblage-19-48	0	0	0	0	0	0	0	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
57	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

58	assemblage-51-43	0	0	0	266	0	0	0	349	0	0	294	0	0	0	270	0	0	0	0	0	0	0	0	0
58	assemblage-67-29	0	0	0	22	0	0	0	138	0	0	1019	0	0	0	0	0	0	0	0	0	0	0	0	0
58	assemblage-7-2	0	0	0	0	0	0	0	0	0	0	1176	0	0	0	0	0	0	0	3	0	0	0	0	0

59	assemblage-51-43	0	0	0	266	0	0	0	349	0	0	294	0	0	0	270	0	0	0	0	0	0	0	0	0
59	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	assemblage-29-48	0	0	0	50104	0	4405	0	14890	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0

60	assemblage-51-43	0	0	0	266	0	0	0	349	0	0	294	0	0	0	270	0	0	0	0	0	0	0	0	0
60	assemblage-46-35	0	0	0	34062	0	17193	0	15334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

61	assemblage-51-43	0	0	0	266	0	0	0	349	0	0	294	0	0	0	270	0	0	0	0	0	0	0	0	0
61	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
61	assemblage-57-64	0	0	0	53311	0	9000	0	8915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

62	assemblage-51-43	0	0	0	266	0	0	0	349	0	0	294	0	0	0	270	0	0	0	0	0	0	0	0	0
62	assemblage-3-74	0	0	0	42132	0	14254	0	14290	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
62	assemblage-36-72	0	0	2	57354	0	8041	3	4024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

