Assemblage_Name	8639351-4-4	733770-4-2	0-0-2	3-2677409-2	5119683-4-2	3-7596707-2	3-4-1403441	3-4-2	3-7779774-2	2-1-4	4-4-4	3-3983074-2	4-4-0	3-8671927-2	3-4507280-2	3295939-0-2	9543264-4-2	2-2-0	1176652-4-2	3-4-9589649	3288350-4-2	3-4-6650077	4-4-6784101	3-8421824-2	2-2522762-4
assemblage-19-48	0	0	2223	0	0	0	0	0	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-3-74	0	0	0	0	2	0	0	68160	0	0	0	0	0	0	0	0	0	0	0	181	0	1	0	2	0
assemblage-74-2	0	0	0	3	0	0	0	68340	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
assemblage-51-43	0	0	470	0	0	0	0	682	0	225	516	0	676	0	0	0	0	6	0	0	0	0	134	0	0
assemblage-23-4	0	0	0	0	0	0	0	68742	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
assemblage-66-14	0	0	0	0	0	0	0	71692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-69	0	0	300	0	0	0	0	36	0	0	191	0	2178	0	0	0	0	4	0	0	0	0	0	0	0
assemblage-55-33	0	0	0	0	0	0	0	70871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-53	0	0	1578	0	0	0	0	0	0	1121	0	0	7	0	0	1	0	0	0	0	0	0	0	0	2
assemblage-45-24	0	0	1505	0	0	0	0	0	0	1203	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-7-2	0	0	0	0	0	0	0	0	0	0	2315	0	1	0	0	0	0	0	0	0	0	0	393	0	0
assemblage-37-57	0	0	0	0	0	0	0	67595	0	0	0	0	0	0	0	0	0	0	0	751	0	0	0	0	0
assemblage-1-73	0	0	0	0	0	0	0	70871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-67-29	0	0	64	0	0	0	0	13	0	0	1547	0	1084	0	0	0	0	0	0	0	0	0	1	0	0
assemblage-36-72	0	3	0	0	0	0	0	71689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-33-30	0	0	0	0	0	0	0	68396	0	0	0	0	0	4	0	0	190	0	154	0	0	0	0	0	0
assemblage-46-35	0	0	0	0	0	0	0	68743	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
assemblage-57-64	0	0	0	0	0	14	0	70857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-59-71	0	0	0	0	0	0	0	0	0	0	0	0	2705	0	0	0	0	4	0	0	0	0	0	0	0
assemblage-47-21	0	0	0	0	0	0	0	0	0	0	0	0	2638	0	0	0	0	71	0	0	0	0	0	0	0
assemblage-48-1	0	0	0	0	0	0	0	2709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-68	0	0	0	0	0	0	0	68476	0	0	0	0	0	197	0	0	42	0	29	0	0	0	0	0	0
assemblage-73-6	0	0	0	0	0	0	0	2709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-32-5	0	0	0	0	0	0	0	0	0	0	1753	0	4	0	0	0	0	0	0	0	0	0	952	0	0
assemblage-2-48	1	0	34	0	0	0	0	2423	0	0	174	0	77	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-13-15	0	0	0	0	0	0	1	279741	1	0	532	0	2058	3	0	0	9	0	0	12	1	0	0	4	0
assemblage-55-47	0	0	0	0	0	0	0	0	0	0	0	0	2695	0	0	0	0	14	0	0	0	0	0	0	0
assemblage-42-34	0	0	0	0	0	0	0	2709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-3-16	0	0	0	0	0	0	0	68341	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0
assemblage-50-41	0	0	0	0	0	0	0	0	0	0	2171	0	0	0	0	0	0	0	0	0	0	0	538	0	0
assemblage-29-48	0	0	0	0	0	0	0	71692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
