Assemblage_Name	3-4121652-2	9427460-3-2	3-3420243-2	3-3-2741486	6233813-3-2	3-3-7062874	7553633-3-2	3-3-6747473	3-4652756-2	4-4-1	3-772725-1	2401245-3-2	3-3-7119134	3-0-4	3-0-1	2-7872677-3	5979597-0-1	3-3-2	3-0-8304684	7674724-3-2	3-3-3573730	8086175-3-2	4717107-3-2	3-0-8802440	3-1462111-2	3-3-5806829	3-4628369-2	8981618-3-2
assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2247	0	74	1	0	0	0	0	0	0	0	0	0	0
assemblage-3-74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69464	0	0	0	0	0	0	0	0	0	0
assemblage-74-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69464	0	0	0	0	0	0	0	0	0	0
assemblage-51-43	0	0	0	0	0	0	0	0	0	595	0	0	0	1	626	554	13	533	0	0	0	0	0	0	0	0	0	0
assemblage-23-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71108	0	0	5	0	0	0	0	0	0	0
assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70566	0	0	0	0	0	0	0	0	0	0
assemblage-28-69	0	0	0	0	0	0	0	0	0	1833	0	0	0	0	81	2	0	406	0	0	0	0	0	0	0	0	0	0
assemblage-55-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70299	0	0	0	0	3	0	0	0	0	0
assemblage-20-53	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2233	0	81	2	2	0	0	0	0	2	0	0	0	0
assemblage-45-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2287	0	26	9	0	0	0	0	0	0	0	0	0	0
assemblage-7-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2322	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-37-57	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	69454	0	0	0	1	0	0	3	2	0	0
assemblage-1-73	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	70259	0	0	0	0	1	0	0	0	0	35
assemblage-67-29	0	0	0	0	0	0	0	0	0	1016	0	0	0	15	338	574	0	379	0	0	0	0	0	0	0	0	0	0
assemblage-36-72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70554	0	11	0	0	0	0	0	0	0	0
assemblage-33-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71113	0	0	0	0	0	0	0	0	0	0
assemblage-46-35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71109	0	0	0	0	0	0	0	0	4	0
assemblage-57-64	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	70269	0	0	0	0	0	0	0	0	0	0
assemblage-59-71	0	0	0	0	0	0	0	0	0	2322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-47-21	0	0	0	0	0	0	0	0	0	2305	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	2028	0	0	0	0	0	0	0	0	0	0
assemblage-12-68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71109	0	0	2	0	0	0	0	0	1	0
assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	2226	0	0	0	0	0	0	0	0	0	0
assemblage-32-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2320	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-2-48	0	0	0	0	0	0	0	0	0	526	0	0	0	8	913	3	0	872	0	0	0	0	0	0	0	0	0	0
assemblage-13-15	0	0	0	0	2	0	1	74	2	637	0	0	0	6	810	2	0	282069	0	12	0	0	0	0	0	0	0	152
assemblage-55-47	0	0	0	0	0	0	0	0	0	2322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-42-34	0	3	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	2192	0	0	0	0	0	0	0	0	0	0
assemblage-3-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69464	0	0	0	0	0	0	0	0	0	0
assemblage-50-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2316	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-29-48	0	0	0	0	0	0	0	22	0	0	0	1	0	0	0	0	0	70537	0	6	0	0	0	0	0	0	0	0
