Assemblage_Name	3-7810573-0	1-1-0	2-2-3	3-9531340-3625667	3-9084376-0	3-3-0	3-3-3	3-3-3625667	4096907-4-4	3-3-1296770	3-1888019-3625667	3788775-3-3625667	3-3-2342531	3788775-4902816-3625667	3788775-1153711-3625667	3-6050581-3625667	3-3-6728259	2-4-300594	3-4228692-0	3-3-6223138	3-3274752-309094	2451618-3-0	3-6315639-3625667	7050812-3-0	8045419-4-2553709	3-3-4559521	3-3-7129088	3-443506-0	2-4-4	2-0-2	3208926-4-2553709	3-6336749-3625667	2-7339799-4	3-3-866702	5295387-7339799-4	3-3-5230840	1-4-4	2-4-6728956	2-4-2553709	4914601-3-0	3-3-6644849	3-3-5370535	3-4801773-0	3-2903230-3625667	3-3-2597035	3-3274752-3625667	9855154-3-0	3-467807-0
assemblage-971-160	0	0	0	0	0	213	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	13
assemblage-604-776	0	0	0	0	0	119	0	163	0	0	15	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	182	0	0	3
assemblage-99-118	0	0	0	83	0	106	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	11	0	13
assemblage-472-509	0	0	0	0	0	343	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	10	0	0	0	0	0	47	0	0	0	0	0	0	0	12	8
assemblage-363-501	10	0	0	0	0	400	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-983-157	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	15	0	0	0	0	0	42	0	0	0	0	0	0	0	0	9
assemblage-246-404	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	14	0	0	0	0	0	38	0	0	0	0	0	0	0	0	5
assemblage-457-531	0	0	0	0	0	136	0	174	0	0	15	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	157	0	0	8
assemblage-1014-702	0	0	0	0	0	408	0	13	0	0	12	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	15	0	0	0
assemblage-120-123	0	0	0	42	0	194	0	102	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	45	67	0	2
assemblage-481-361	0	0	0	0	0	103	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	14	72	0	11	0	0	0	27	0	0	0	0	0	0	0	0	12
assemblage-364-510	0	0	0	0	0	132	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	17	0	0	16
assemblage-640-200	0	0	0	0	0	79	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	70	0	0	0	0	0	165	0	0	0	0	0	0	0	0	8
assemblage-984-844	0	0	0	0	0	197	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	57	11	0	0	0	0	0	0	28	8
assemblage-685-361	0	0	0	0	0	142	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	16	0	0	9
assemblage-953-967	0	0	0	0	0	51	0	234	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	80	0	0	0	36	11	0	0	0	0	72	0	0	0	0	0	0	0	0	13
assemblage-784-114	0	0	0	0	0	61	0	357	0	0	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-592-142	0	0	0	8	6	319	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	24
assemblage-898-869	0	0	0	0	0	428	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-853-261	0	0	0	42	0	158	0	122	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	51	76	0	3
assemblage-973-890	10	0	0	0	0	384	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-164-788	0	0	0	0	0	45	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-984-897	0	0	0	0	0	59	0	359	0	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-595-143	0	0	0	12	5	318	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	5	0	15
assemblage-948-937	0	0	0	0	0	169	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	12	0	0	0	0	0	0	35	9
assemblage-477-531	0	0	0	31	0	165	0	233	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	17
assemblage-169-727	0	0	0	0	0	370	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	8
assemblage-973-856	0	0	0	0	0	208	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	9	0	0	0	0	0	0	40	20
assemblage-861-255	0	0	0	64	0	67	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	8	0	8
assemblage-722-797	0	0	0	0	0	246	0	13	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	10	201	0	0	0	0	0	0	0	0	6
assemblage-612-790	0	0	0	28	0	152	0	246	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	15
assemblage-772-121	0	0	0	0	0	61	0	301	0	0	72	38	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-357-491	0	0	0	0	0	165	0	257	0	0	19	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	24
assemblage-491-351	0	0	0	0	0	318	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	9	0	0	0	0	0	80	0	0	0	0	0	0	0	15	3
assemblage-895-883	0	0	0	0	0	442	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-916-864	0	0	0	0	0	422	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-989-154	0	0	0	0	0	236	0	27	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	11	169	0	0	0	0	0	0	0	0	5
assemblage-685-371	0	0	0	0	0	79	0	289	0	0	70	38	0	0	16	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-940-955	0	0	0	0	0	54	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	39	4	0	0	0	0	85	0	0	0	0	0	0	0	0	13
