Assemblage_Name	3902999-0-2	9143347-2-4347721	3737642-4-2781075	5948515-0-2	3737642-4-1	4-2021102-2	1-0-2	1-4188253-2	1-4-6508392	4-2-8263211	4-2-5423162	5353055-2-4347721	3-8560480-1	4-4316298-4347721	9143347-2-5894505	4-2-59706	4-2-357062	1-9699303-2	5989048-2-4347721	1-9449483-2	4-2-4670568	7149137-3055450-4347721	1157640-4-1	3-8560480-1890661	3166419-0-2	4-2-2	2964998-2-4347721	3-4-2248994	1-4-1426159	1-120002-2	1-5704758-2	1-4949985-2	2248653-4-1	1754959-4-1	1-0-2245474	9747510-2-2	3033285-4-1	7397125-2-4347721	3749256-0-2	1-4-4	1-0-5098823	7149137-2-4347721	4-2-4347721	4-148792-4347721	3-4-1	4-2-3752910	4-2-9717750	3-2-0	4461067-2-4347721	3-9456718-1	1-0-1379865	3628726-2-4347721
assemblage-709-796	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	0	0	0	16	0	0	0	0	116	0	0	0	0	0	0	9
assemblage-360-495	0	0	0	0	0	0	84	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	199	0	0	0	0	0	0	7
assemblage-567-918	0	0	0	0	0	0	54	0	0	0	0	5	0	0	0	0	0	0	23	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	0	19	0	0	0	0	0	0	12
assemblage-788-130	0	0	0	0	0	0	350	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	44	0	32	0	0	0	0	0	0	9
assemblage-570-928	0	91	0	0	0	0	39	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	31
assemblage-158-804	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	16
assemblage-611-196	0	0	0	0	0	0	212	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	63	0	136	0	0	0	0	0	0	23
assemblage-700-370	0	0	0	0	0	0	209	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	68	0	0	0	0	0	0	10
assemblage-918-571	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	82	0	0	0	0	369	0	0	0	0	10	0	17
assemblage-496-351	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	37	0	0	0	0	0	0	0	9	0	9	0	0	0	0	0	6	52	0	76	0	0	0	0	0	0	11
assemblage-905-591	0	0	9	0	26	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	83	0	0	0	0	338	0	0	0	0	11	0	19
assemblage-1007-690	0	0	0	0	0	0	143	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	40	209	0	0	0	0	0	0	7
assemblage-1011-672	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	5	0	14	0	0	0	0	0	12
assemblage-617-770	44	0	0	0	0	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	29	8	0	0	0	0	0	0	6
assemblage-484-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	252	0	0	0	0	0	0	4
