Assemblage_Name	3-2-3858883	0-305872-951587	1800377-3410658-4	8622094-8475166-3	0-5251318-4	2-2-2	8622094-2815897-3	2707832-2-3	0-305872-4	2-2310712-2	1204093-2815897-3	7099722-2-3	8622094-4567388-3	0-4185769-817100	0-1-0	8622094-2815897-621169	8622094-2815897-2608281	3-2-7188031	0-4235160-4	8622094-2815897-9898155	8622094-2815897-99985	8622094-8021073-7019290	2240196-2-2	8622094-2815897-4943717	0-7640468-4	0-305872-817100	8622094-4567388-9172116	2681634-2-3	1837482-4-2	4426408-305872-4	0-2-4	8622094-8280394-3	8622094-2815897-1453058	8622094-3249881-1504011	0-3410658-4	8622094-134431-3	7112191-4567388-2711364	8622094-7987058-3	8622094-2-3	3888004-305872-951587	2-4-2	134173-4567388-3	8622094-2815897-7019290	8622094-1890860-1504011	8622094-2-1504011	4-2-3909955	3-4362014-3	4-2-2	8622094-4937094-3	8622094-2-3058758	7112191-4567388-3	8622094-2815897-9077004	8622094-2815897-6884201	2-1-0	4-2-3920493	2-2-6366256	6612830-2-3	2-8242435-1	3-2-3	5150775-2-3	0-2-1	3-2-9816247	3-2-7499204	8622094-3563134-3058758
assemblage-709-796	0	0	0	0	11	0	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	280	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	157	5	0	0	0	5
assemblage-360-495	0	8	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	24
assemblage-567-918	0	0	0	0	0	0	3	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	322	0	0	0	0	0	0	0	0	0	0	17
assemblage-788-130	0	40	0	0	0	0	257	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	19
assemblage-570-928	0	0	0	0	0	0	7	0	0	0	0	0	452	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	11
assemblage-158-804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	451	0	0	0	0	14
assemblage-611-196	0	10	0	0	1	3	7	0	85	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	18	0	0	0	132	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	26
assemblage-700-370	0	7	0	0	0	0	371	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	13
assemblage-918-571	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-496-351	0	114	0	0	0	0	8	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	32	13
assemblage-905-591	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-1007-690	0	0	0	0	0	0	225	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	37	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	8
assemblage-1011-672	0	0	0	127	0	0	279	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4
assemblage-617-770	0	0	0	6	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	2
assemblage-484-504	0	0	0	0	0	266	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	36	0	0	0	68	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	7
assemblage-481-503	0	0	0	0	0	0	209	14	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	14	22
assemblage-494-346	0	9	0	0	0	0	6	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	379	19
assemblage-602-207	0	0	3	0	0	6	0	0	54	0	0	7	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	18
assemblage-346-506	0	5	0	0	0	0	198	0	5	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	26	12
assemblage-982-160	0	0	0	0	0	4	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	30	0	0	0	10	13	0	0	236	0	0	0	0	6	70	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	25
assemblage-486-523	0	0	0	0	0	0	197	14	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	14	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	23	17
assemblage-695-371	0	9	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12
