Assemblage_Name	881589-4513968-3	1-0-2	4315391-0-2206046	7615189-0-6811310	7615189-0-9563078	2-3-3	7615189-0-7275111	9057381-0-2	0-1-3338980	7615189-0-2092291	1-0-7158894	0-1-1	1240861-0-4	7615189-0-6819182	9314646-0-2206046	7937917-3-3	3-0-9895268	7615189-8070950-2	7615189-0-8193879	985399-0-2	3-0-1480425	2-4513968-6745780	5078583-4513968-7979611	2-4513968-3	7943172-4-0	8702025-4513968-3	2-9750565-0	3-8462156-2	5078583-4513968-3	2-4-0	2-0-2	3-0-4	3-0-2	6998671-0-2	3855138-0-2	3-315570-2206046	8574910-4-0	7615189-8459788-2092291	2-4513968-964361	5609878-0-2	1872509-0-2206046	7615189-0-2	1815904-0-2	7615189-0-4515941	5513537-0-9563078	3787830-0-2206046	3-0-2206046	5407640-3-3	7615189-0-7397176
assemblage-709-796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	129	0	0	0	0	268	13	18
assemblage-360-495	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	161	0	8
assemblage-567-918	0	0	0	0	0	0	0	0	0	161	0	0	0	5	0	0	0	0	22	0	0	0	10	0	0	0	0	0	16	0	0	0	0	0	0	0	0	2	0	0	0	216	0	47	0	0	0	0	21
assemblage-788-130	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	73	0	4
assemblage-570-928	0	0	0	0	0	0	0	0	0	22	0	0	0	34	0	0	29	68	0	0	0	0	0	58	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	10
assemblage-158-804	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	3	164	94	0	0	0	0	0	0	0	0	0	135	17	0	0	0	0	0	7
assemblage-611-196	0	0	0	0	0	86	0	0	73	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	121	0	14
assemblage-700-370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	199	0	31
assemblage-918-571	0	42	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	16	0	14
assemblage-496-351	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	115	0	12
