Seriation_Number	Assemblage	9377849-3-4	2-3-4	2-4296702-4	2-7732660-4	2-3-4081760	9384108-4-2	4152991-3-4	2-3-9201080	2-8846674-4	0-3-3	5648863-4-2	2-6003833-4	2-3-2034368	4-3-0	2-2935840-2	1-2-2155108	1-2-4	3-2-1	3-2-4	2-4-2	610163-3-4	2810163-3-0
1	assemblage-446-859	0	191	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	258	0	0
1	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0
1	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0

2	assemblage-431-636	0	7	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	57	15	402	0	0
2	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0
2	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

3	assemblage-431-636	0	7	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	57	15	402	0	0
3	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0
3	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

4	assemblage-431-636	0	7	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	57	15	402	0	0
4	assemblage-495-766	0	177	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	114	0	0
4	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0

5	assemblage-431-636	0	7	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	57	15	402	0	0
5	assemblage-446-859	0	191	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	258	0	0
5	assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0

6	assemblage-431-636	0	7	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	57	15	402	0	0
6	assemblage-446-859	0	191	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	258	0	0
6	assemblage-195-426	0	125	0	0	0	0	3	0	0	0	0	0	0	337	0	0	0	0	0	35	0	0

7	assemblage-431-636	0	7	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	57	15	402	0	0
7	assemblage-446-859	0	191	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	258	0	0
