Seriation_Number	Assemblage	9206941-3-3	4-3-105134	1-4-1	4-3-4795229	9854492-3-3	6519756-3-3	4-3-4403792	4-8928835-3	4-3-9207387	4-3-6791655	4-6994778-3	2-0-0	4-5028517-3	4-9457514-3	3-0-1	4-3-3	120735-3-3	4-3-3002218	4-814287-3	4-764176-3	4-436393-3	4-3-3584659
8	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0
8	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

9	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0
9	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

10	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
10	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0
10	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

11	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
11	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

12	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
12	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0
12	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

13	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
13	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

14	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
14	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
14	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

15	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
15	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
15	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0

16	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
16	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
16	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

17	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
17	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0
17	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

18	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
18	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0
18	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

19	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
19	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0
19	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

20	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
20	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

21	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
21	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

22	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
22	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0

23	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
23	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
23	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

24	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
24	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
24	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

25	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
25	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
25	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0

26	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
26	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
26	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

27	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
27	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
27	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

28	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
28	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
28	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

29	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
29	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
29	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0

30	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
30	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
30	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

31	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
31	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
31	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0

32	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
32	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0
32	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

33	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
33	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0
33	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

34	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
34	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

35	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
35	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0

36	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
36	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
36	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

37	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
37	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
37	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0

38	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
38	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
38	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

39	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
39	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
39	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0

40	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
40	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
40	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0

41	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
41	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
41	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

42	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
42	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
42	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0

43	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
43	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
43	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0

44	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
44	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
44	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0

45	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
45	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0
45	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

46	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
46	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

47	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
47	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
47	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

48	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
48	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
48	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

49	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
49	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
49	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0

50	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
50	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
50	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

51	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
51	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
51	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

52	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
52	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
52	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

53	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
53	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
53	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

54	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
54	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
54	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

55	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
55	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
55	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

56	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
56	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
56	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

57	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
57	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
57	assemblage-73-6	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0

58	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
58	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0
58	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

59	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
59	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0
59	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

60	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
60	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0
60	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

61	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
61	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

62	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
62	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

63	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
63	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0

64	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
64	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
64	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

65	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
65	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
65	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

66	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
66	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
66	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0

67	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
67	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0
67	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

68	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
68	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
68	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

69	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
69	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
69	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

70	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
70	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
70	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0

71	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
71	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
71	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

72	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
72	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0
72	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0

73	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
73	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
73	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

74	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
74	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
74	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

75	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
75	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
75	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0

76	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
76	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
76	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

77	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
77	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
77	assemblage-33-30	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71096	0	0	0	0	0	0

78	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
78	assemblage-19-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025	0	0	0	0	0	0	0
78	assemblage-66-14	0	0	0	0	0	0	0	0	0	0	0	0	0	361	0	71955	0	0	0	0	0	0

79	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
79	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
79	assemblage-1-73	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	70410	46	0	0	7	0	0

80	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
80	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
80	assemblage-20-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0

81	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
81	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
81	assemblage-57-64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70314	150	0	0	0	0	0

82	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
82	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
82	assemblage-55-47	0	0	2026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

83	assemblage-48-1	0	0	0	0	0	0	0	0	0	0	0	2026	0	0	0	0	0	0	0	0	0	0
83	assemblage-37-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70150	0	0	0	0	0	0
