Assemblage_Name	1807666-1-1	6334506-1-2	2-1-1807070	2712676-4-1	8139570-4-1	0-8184127-3	114927-4-1	9331677-3-3	3-4-1397596	0-3-9928162	614292-4-4	2-1108444-1	4-4-9553351	0-3-3519711	0-36734-3	4-8085772-1	2-7153720-2	3-5172071-4	7139811-3-3	1-3-1	9996851-1-1	4-3730190-1	1129080-1-2	2-1-2	2-1-1	4-4-6142845	3-4-3	3-4-4	2-1-2673443	4-4-5636814	2-1-806249	2-1-5138464	4-1498874-1	0-3-1780733	4-4-1	4988330-4-1	2-8336232-2	0-6687833-3	4-4-6414502	0-3-3	1-3-2364009	4-4-8013218	2-4907191-2	9129848-4-1	1179199-4-1
assemblage-705-516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	2	0	0	3	54	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0
assemblage-186-264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	68	0	0	31	0	0	0	0	0	0	161	0	0	0	0	236	0	0	0	0	0
assemblage-173-455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	126	0	0	0	0	206	0	0	0	0	0
assemblage-908-197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	235	0	0	63	0	0	9	0	0	0	133	0	0	0	0	59	0	0	0	0	0
assemblage-450-863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	79	0	0	4	0	0	0	208	0	0	0	0	43	0	0	0	0	0
assemblage-901-532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	18	0	0	217	0	0	0	0	0	0	150	0	18	0	0	30	0	0	0	0	0
assemblage-867-918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	194	0	0	0	0	0	0	194	0	0	0	0	8	0	0	0	0	0
assemblage-879-531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	10	0	0	304	0	0	0	0	0	0	54	0	0	0	0	98	0	0	0	0	0
assemblage-495-766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	128	0	0	25	0	1	0	183	0	0	0	0	14	0	0	0	0	0
assemblage-860-926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	149	0	0	128	0	0	33	0	0	0	112	0	0	0	0	57	0	0	0	1	0
assemblage-528-774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	108	0	0	13	0	6	0	275	0	0	0	0	17	0	0	0	0	0
assemblage-841-575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	53	0	0	37	0	0	0	0	0	0	265	0	0	0	0	143	0	1	0	0	0
assemblage-499-767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	14	0	0	8	0	0	0	109	0	0	0	0	135	0	0	0	0	0
assemblage-173-273	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	51	15	0	0	140	0	0	0	0	0	0	120	0	2	0	0	171	0	0	0	0	0
assemblage-969-543	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	4	0	0	11	0	0	0	293	0	0	0	0	8	0	0	0	0	0
assemblage-195-446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	365	0	0	0	0	12	0	0	0	0	0
assemblage-429-621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	3	0	0	0	0	0	0	290	0	0	0	0	198	0	0	0	0	0
assemblage-956-542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	256	0	0	55	0	0	14	0	0	0	164	0	0	0	0	10	0	0	0	0	0
assemblage-671-350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	148	0	0	213	0	0	0	0	0	0	1	0	0	0	0	132	0	0	0	0	0
assemblage-169-239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	40	0	0	50	0	0	0	0	0	0	154	0	0	0	0	252	0	1	0	0	0
assemblage-292-745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	45	16	0	0	0	0	0	0	99	0	115	0	0	0	0	0	0	0	0
assemblage-864-913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	80	0	0	15	0	0	0	134	0	0	0	0	55	0	0	0	0	0
assemblage-832-592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	41	0	0	101	0	0	0	0	0	0	144	0	0	0	0	208	0	0	0	0	0
assemblage-443-865	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	97	0	0	7	0	0	17	0	0	0	367	0	0	0	0	11	0	0	0	0	0
assemblage-418-644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	172	0	0	0	0	0	0	177	0	0	0	0	51	0	0	0	0	0
assemblage-959-569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	12	0	0	19	0	0	0	95	0	0	0	0	125	0	0	0	0	0
assemblage-683-524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	72	37	0	6	98	0	0	0	0	0	0	169	0	30	0	0	74	0	0	0	0	0
assemblage-526-770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	28	0	0	22	0	0	0	96	0	0	0	0	167	0	0	0	0	0
assemblage-523-789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	172	0	0	0	0	154	0	0	0	0	0
assemblage-534-777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	81	0	0	11	0	1	0	151	0	0	0	0	25	0	0	0	0	0
assemblage-841-587	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30	11	0	0	118	0	0	0	0	0	0	262	0	4	0	0	74	0	0	0	0	0
assemblage-868-891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	174	0	0	59	0	0	31	0	0	0	122	0	0	0	0	113	0	0	0	0	0
