Assemblage_Name	2-1-7300881	2-3201230-1	2-1-637174	2-4671748-1	2180498-2-4	2-1-3921442	8901462-4-1	2-3130793-1	2-1342988-1	0-4-8780389	2-2-4	4-7399966-3	2-1-1	2-4526429-1	2-9271517-1	8796646-4-3	6931256-4-1	2887997-1-1	2-9736528-1	2-8150960-1	5733220-2-4	628876-1-1	2-8946260-1	4-3-0	2-976585-4	4-4-3	3-1-3	0-3725521-1	0-2555930-1	5185718-4-3	4333974-1-1	2-1-4258472	0-4-1	2-1-2011192
assemblage-169-455	0	0	0	0	0	0	0	0	0	0	147	0	261	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0
assemblage-446-859	0	0	0	0	0	0	0	0	0	0	192	0	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-274-761	0	0	0	0	0	0	0	0	0	0	0	0	437	0	0	0	0	0	0	0	0	0	0	53	0	5	0	0	0	0	0	0	5	0
assemblage-299-744	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	6	0
assemblage-841-606	0	0	0	0	0	0	0	0	1	0	5	0	337	0	0	0	0	0	0	0	0	0	0	0	0	52	79	0	0	0	0	0	26	0
assemblage-446-848	0	0	0	0	0	0	0	0	0	0	5	0	376	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	95	0
assemblage-844-595	0	0	0	0	0	0	0	0	0	0	32	0	194	0	0	2	0	0	0	0	0	0	0	0	0	159	8	1	0	0	0	0	104	0
assemblage-511-798	0	0	0	0	0	0	0	0	0	0	418	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
assemblage-885-525	0	0	0	0	0	0	0	0	0	0	2	0	385	1	0	0	0	0	0	0	0	0	0	0	0	36	49	0	0	0	0	0	27	0
assemblage-166-253	0	0	0	0	0	0	0	0	0	0	2	0	365	0	0	0	0	0	0	0	0	0	0	0	0	90	22	0	0	0	0	0	21	0
assemblage-513-795	0	0	0	0	0	0	0	0	0	0	209	0	198	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0
assemblage-288-739	0	0	0	0	0	0	0	0	0	0	2	0	345	0	0	0	0	0	0	0	0	0	0	137	0	12	0	0	0	0	0	0	4	0
assemblage-909-198	0	0	0	0	0	0	0	0	0	0	47	0	312	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	126	0
assemblage-164-440	1	0	0	0	0	0	0	0	0	0	144	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0
assemblage-784-262	0	0	0	0	0	0	0	0	0	0	403	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-667-337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	481	0	0	0	0	0	0	0	0
assemblage-678-542	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	11	0	0	0	293	0
assemblage-517-778	0	0	0	0	0	0	0	0	0	0	201	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0
assemblage-499-790	0	0	0	0	0	0	0	0	0	0	408	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
assemblage-454-851	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	168	0
assemblage-513-766	0	0	0	0	0	0	0	0	0	0	212	0	287	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
assemblage-880-192	0	0	0	0	0	0	0	0	0	0	60	0	291	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	92	0
assemblage-903-542	0	0	0	0	0	0	0	0	0	0	18	0	179	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	28	0
assemblage-425-620	0	0	0	0	0	0	0	2	0	0	116	0	270	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	51	0
assemblage-848-585	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	1	0	0	0	0	0	0	0	0	0	131	6	3	0	0	0	0	259	0
assemblage-706-533	0	0	0	0	0	0	0	0	0	0	100	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	99	0	3	0	0	0	294	0
assemblage-989-560	0	0	0	0	0	0	0	0	0	0	2	0	396	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	64	0
assemblage-512-765	0	0	0	0	0	0	0	0	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	50	0
assemblage-527-802	0	0	0	0	0	0	0	0	0	0	144	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0
assemblage-890-211	0	0	0	0	0	0	0	0	0	0	85	0	191	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	113	0
assemblage-971-557	0	0	0	0	0	0	0	0	0	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	19	0
assemblage-958-564	0	0	0	0	0	0	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	2	0
assemblage-445-863	0	0	0	0	0	0	0	0	0	0	0	1	429	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	10	0
assemblage-677-345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	479	0	0	0	0	0	0	0	0
assemblage-170-261	0	0	0	0	0	0	0	0	0	0	11	0	234	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	32	0
assemblage-497-792	0	0	0	0	0	0	0	0	0	0	389	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-950-563	0	0	0	0	0	0	0	0	0	0	176	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
assemblage-692-536	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	2	0	0	0	319	0
assemblage-685-521	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	64	0	17	0	0	0	348	0
assemblage-420-624	0	0	0	0	0	0	0	0	0	0	14	0	329	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	115	0
assemblage-676-526	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	0	6	0	0	0	358	0
assemblage-508-767	0	0	0	0	0	0	0	0	0	0	0	0	486	0	0	0	0	0	0	0	0	1	1	0	0	9	0	0	0	0	0	0	3	0
assemblage-437-632	0	0	0	0	2	0	0	0	0	0	50	0	398	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	38	0
assemblage-664-337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	478	0	0	0	0	0	0	0	0
assemblage-771-241	0	0	0	0	0	0	0	0	0	0	157	0	195	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	147	0
assemblage-780-257	0	0	0	0	0	0	0	0	0	0	246	0	144	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	108	0
assemblage-888-936	0	0	0	0	0	0	0	0	0	0	10	0	272	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	170	0
assemblage-676-332	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	21	0	476	0	0	0	0	0	0	0	0
assemblage-954-553	0	0	0	0	0	2	0	0	0	0	192	0	301	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
assemblage-190-453	0	0	0	0	0	0	0	0	0	0	276	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0
assemblage-183-441	0	0	0	0	0	0	0	0	0	0	394	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
assemblage-830-593	0	0	0	0	0	0	0	0	0	0	47	0	1	0	0	0	0	0	0	0	0	0	0	0	0	139	40	1	0	0	0	0	272	0
assemblage-170-271	0	0	0	0	0	0	0	0	0	0	18	0	245	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	23	0
assemblage-181-246	0	0	0	0	0	0	0	0	0	0	9	0	195	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	31	0
assemblage-782-255	0	0	0	0	0	0	0	0	0	0	374	0	114	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0
assemblage-902-178	0	0	0	0	0	0	0	1	0	0	95	0	157	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	156	0
assemblage-492-757	0	0	0	0	0	0	0	0	0	0	193	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-776-257	0	0	0	0	0	0	0	0	0	0	214	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0
assemblage-771-259	0	0	0	0	0	0	0	0	0	0	162	0	233	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	103	0
assemblage-690-342	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	21	0	473	0	0	0	0	0	0	0	0
assemblage-797-258	0	0	0	0	0	0	0	0	0	0	128	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0
assemblage-508-798	0	0	0	0	0	0	0	0	0	0	442	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
assemblage-782-274	0	0	0	0	0	0	0	0	0	0	224	0	187	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	88	0
assemblage-420-639	0	0	0	0	0	0	0	0	0	0	72	0	303	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	100	0
assemblage-771-248	0	0	0	0	0	0	0	0	0	0	285	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0
assemblage-886-516	0	0	0	0	0	0	0	0	0	0	34	0	253	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	26	0
assemblage-291-763	0	0	0	0	0	0	0	0	0	0	7	0	439	0	0	0	0	0	0	0	0	0	0	45	0	2	0	0	0	0	0	0	7	0
assemblage-413-610	0	0	0	0	0	0	0	0	0	0	4	0	287	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	120	0
assemblage-182-455	0	0	0	0	0	0	0	0	0	0	276	0	158	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	63	0
assemblage-898-531	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	0	0	0	67	28	0	0	0	0	0	10	0
assemblage-195-426	0	0	0	0	0	0	0	0	0	0	97	0	146	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0
assemblage-529-794	0	0	0	0	0	0	0	0	0	0	381	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
assemblage-884-199	0	0	0	0	0	0	0	0	0	0	100	0	260	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	64	0
assemblage-452-848	0	0	0	0	0	0	0	0	0	0	1	0	419	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	73	0
assemblage-666-337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	457	0	0	0	3	0	0	0	0
assemblage-849-602	0	0	0	0	0	0	0	0	0	0	81	0	1	0	0	0	0	0	0	0	0	0	0	0	0	101	24	0	0	0	0	0	293	0
assemblage-279-758	0	0	0	0	0	0	0	0	0	0	2	0	377	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	17	0
assemblage-895-535	0	0	0	0	0	0	0	0	0	0	5	0	257	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	25	0
assemblage-794-248	0	0	0	0	0	0	0	0	0	0	283	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0
assemblage-174-245	0	0	0	0	0	0	0	0	0	0	22	0	1	0	0	12	0	0	0	0	0	0	0	0	0	194	5	0	0	0	0	0	266	0
assemblage-513-755	0	0	0	0	0	0	0	0	0	0	1	0	463	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0
assemblage-899-198	0	0	0	0	0	0	1	0	0	0	40	0	334	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	97	0
assemblage-678-345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	424	0	0	0	0	0	0	0	0
assemblage-894-203	0	0	0	0	0	0	0	0	0	0	105	0	306	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	67	0
assemblage-180-449	0	0	0	0	0	0	0	0	0	0	276	0	131	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0
assemblage-850-598	0	0	0	0	0	0	0	0	0	0	34	0	17	0	0	0	0	0	0	0	0	0	0	0	0	107	2	0	0	0	0	0	340	0
assemblage-417-639	0	0	0	0	0	0	0	0	0	0	33	0	322	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	133	0
assemblage-852-918	0	0	0	0	0	0	0	0	0	0	42	0	336	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	63	0
