Assemblage_Name	9377849-3-4	2-3-4	2-4296702-4	2-7732660-4	2-3-4081760	9384108-4-2	4152991-3-4	2-3-9201080	2-8846674-4	0-3-3	5648863-4-2	2-6003833-4	2-3-2034368	4-3-0	2-2935840-2	1-2-2155108	1-2-4	3-2-1	3-2-4	2-4-2	610163-3-4	2810163-3-0
assemblage-169-455	0	179	0	0	0	0	1	0	0	0	0	0	0	213	0	0	0	0	0	107	0	0
assemblage-446-859	0	191	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	258	0	0
assemblage-274-761	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	142	1	352	0	0
assemblage-299-744	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	109	0	389	0	0
assemblage-841-606	0	60	0	0	0	0	0	0	0	0	0	0	0	94	0	0	2	226	5	113	0	0
assemblage-446-848	0	465	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	31	0	0
assemblage-844-595	0	121	0	0	0	0	0	0	0	0	0	0	0	117	0	0	8	118	19	117	0	0
assemblage-511-798	0	442	0	0	0	0	0	0	5	0	0	0	0	47	0	0	0	0	0	6	0	0
assemblage-885-525	0	6	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	140	5	206	0	0
assemblage-166-253	0	7	0	0	0	0	0	0	0	0	0	0	0	158	0	0	13	167	0	155	0	0
assemblage-513-795	0	138	0	0	0	0	3	0	0	0	0	0	0	215	0	0	0	0	0	144	0	0
assemblage-288-739	0	0	0	0	0	5	0	0	0	9	0	0	0	3	0	0	0	107	0	376	0	0
assemblage-909-198	0	393	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	75	0	21	0	0
assemblage-164-440	0	89	0	0	0	0	2	0	0	0	0	0	0	326	0	0	0	0	0	83	0	0
assemblage-784-262	0	466	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0
assemblage-667-337	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	211	0	0	0	0	0
assemblage-678-542	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0
assemblage-517-778	0	129	0	0	0	0	2	0	0	0	0	0	0	264	0	0	0	0	0	105	0	0
assemblage-499-790	0	441	0	0	0	0	0	3	0	0	0	0	0	56	0	0	0	0	0	0	0	0
assemblage-454-851	0	464	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	31	0	0
assemblage-513-766	0	257	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	236	0	0
assemblage-880-192	0	214	0	0	0	0	0	0	0	0	0	0	0	46	2	0	0	87	2	149	0	0
assemblage-903-542	0	19	0	0	0	0	0	0	0	0	0	0	0	37	0	0	13	212	0	219	0	0
assemblage-425-620	0	227	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	107	8	99	0	0
assemblage-848-585	0	331	0	0	0	0	0	0	0	0	0	0	0	125	0	0	17	0	27	0	0	0
assemblage-706-533	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	5	0	0
assemblage-989-560	0	358	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	141	0	0
assemblage-512-765	0	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
assemblage-527-802	0	89	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	65	0	0
assemblage-890-211	0	291	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	45	4	63	0	0
