Assemblage_Name	0-1-3	1-7417031-3	2-6565262-2	2199527-3-3	2-5522917-2	0-1109536-3	1-3-1172501	1-4-4	0-987213-3	1-3-3	1-3-4506171	2-2-2	8339840-2-2	0-1-1197249	1-3-7206783	3-3-1	0-2-2	3387650-1-3	6751570-1-3	1-7129724-3	1-5618282-3	1-3-5304560	0-2953805-3	2528839-3-3	1-8619447-3	2410379-1-3	4987595-2-2
assemblage-169-455	348	0	0	0	0	0	0	0	0	116	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-446-859	160	0	0	0	0	0	0	0	0	199	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-274-761	0	0	0	0	0	0	0	10	0	5	0	190	0	0	0	186	109	0	0	0	0	0	0	0	0	0	0
assemblage-299-744	0	0	0	0	0	0	0	1	0	4	0	192	0	0	0	173	130	0	0	0	0	0	0	0	0	0	0
assemblage-841-606	67	0	0	0	0	0	0	0	0	172	0	182	0	0	0	73	6	0	0	0	0	0	0	0	0	0	0
assemblage-446-848	210	0	0	0	0	0	0	0	0	288	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-844-595	151	0	0	0	0	0	0	0	0	164	0	148	0	0	0	25	12	0	0	0	0	0	0	0	0	0	0
assemblage-511-798	322	0	0	0	0	0	0	0	0	139	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-885-525	31	0	0	0	0	0	0	0	0	142	0	260	0	0	0	60	7	0	0	0	0	0	0	0	0	0	0
assemblage-166-253	93	0	0	0	0	0	0	0	0	219	0	147	0	0	0	17	24	0	0	0	0	0	0	0	0	0	0
assemblage-513-795	401	0	0	0	0	0	0	0	0	85	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-288-739	0	0	0	0	0	0	0	4	0	0	0	229	0	0	0	189	78	0	0	0	0	0	0	0	0	0	0
assemblage-909-198	255	0	0	0	0	0	0	0	0	220	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-164-440	322	0	0	0	0	0	0	0	0	172	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-784-262	296	0	0	0	0	0	0	0	0	137	0	64	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
assemblage-667-337	17	0	0	0	0	0	0	140	0	333	0	4	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0
assemblage-678-542	247	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-517-778	319	0	0	0	0	0	0	0	0	155	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-499-790	227	0	0	0	0	0	0	0	0	250	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-454-851	215	0	0	0	0	0	0	0	0	283	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-513-766	328	0	1	0	0	0	0	0	0	135	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
