Assemblage_Name	2-8070814-8712965	2-8070814-9393964	2-3-1	2-8070814-2362307	2-4455402-95242	2-8070814-2170499	850766-8070814-1	962630-8070814-1	2-8070814-1	2-6642078-1	2-5716650-95242	3717313-8070814-95242	2-8070814-4290461	2475052-3-1	2-9983095-1	2-4182612-95242	2-8070814-95242	2-8070814-619716
assemblage-15-2	0	2	0	0	0	0	0	0	131	0	0	0	0	0	0	0	67	0
assemblage-11-3	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	106	0
assemblage-11-2	0	0	0	0	0	0	0	0	78	0	0	1	0	0	0	0	121	0
assemblage-12-4	0	3	0	0	0	0	0	0	123	0	0	0	0	0	0	0	74	0
assemblage-28-1	0	1	0	0	0	0	0	0	184	0	0	0	0	0	0	0	15	0
assemblage-12-1	0	0	0	10	0	0	0	0	57	0	0	0	0	0	0	2	131	0
assemblage-12-2	0	3	0	0	0	0	0	0	184	0	0	0	0	0	0	0	13	0
assemblage-2-3	0	3	0	0	0	2	0	0	111	0	0	0	0	0	0	0	84	0
assemblage-1-4	0	2	1	0	0	0	1	0	122	0	0	0	5	0	0	0	69	0
assemblage-3-2	0	0	12	0	0	0	0	0	177	0	0	0	6	4	1	0	0	0
assemblage-21-4	0	0	0	6	0	0	0	0	76	0	0	0	0	0	0	4	114	0
assemblage-21-3	0	0	0	0	0	0	0	1	72	0	0	0	0	0	0	0	127	0
assemblage-28-3	0	0	0	13	0	0	0	0	76	0	0	0	0	0	0	0	110	1
assemblage-25-4	0	1	6	0	0	0	0	0	184	0	0	0	1	2	0	0	6	0
assemblage-6-2	0	0	0	11	0	0	0	0	65	0	0	0	0	0	0	1	122	1
assemblage-7-3	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	111	0
assemblage-20-3	1	0	0	10	1	0	0	0	59	0	1	0	0	0	0	0	127	1
assemblage-20-1	0	0	11	0	0	0	0	0	179	1	0	0	2	7	0	0	0	0
assemblage-18-4	0	0	0	3	0	0	0	0	77	0	0	0	0	0	0	0	120	0
assemblage-16-2	0	0	0	0	0	1	0	0	109	0	0	0	0	0	0	0	90	0
assemblage-19-1	0	1	3	0	0	0	0	0	159	0	0	0	1	1	0	0	35	0
assemblage-4-4	0	0	7	0	0	0	0	0	183	0	0	0	8	2	0	0	0	0
