Assemblage_Name	0-1-2	3546391-1-2	5168035-7493894-2	4216660-1-2	0-1-8792872	5168035-1-2	0-6327973-2	5168035-6248511-2	6732350-1-2	0-8937065-2	0-1-3596187	0-1-2738235	5009516-1-2	0-2612556-2	2172601-1-2
assemblage-15-2	84	0	0	0	0	115	0	0	0	0	1	0	0	0	0
assemblage-11-3	113	1	0	0	1	80	0	0	5	0	0	0	0	0	0
assemblage-11-2	132	0	0	0	0	67	0	0	1	0	0	0	0	0	0
assemblage-12-4	75	0	0	0	0	125	0	0	0	0	0	0	0	0	0
assemblage-28-1	118	0	0	0	0	82	0	0	0	0	0	0	0	0	0
assemblage-12-1	149	0	0	11	0	35	2	0	0	1	0	0	0	0	2
assemblage-12-2	109	0	0	0	0	90	0	0	0	0	0	0	1	0	0
assemblage-2-3	70	0	1	0	0	129	0	0	0	0	0	0	0	0	0
assemblage-1-4	111	0	0	0	0	88	0	0	1	0	0	0	0	0	0
assemblage-3-2	149	0	0	0	0	51	0	0	0	0	0	0	0	0	0
assemblage-21-4	155	0	0	10	0	31	1	0	0	0	0	1	0	0	2
assemblage-21-3	116	0	0	0	0	79	0	0	5	0	0	0	0	0	0
assemblage-28-3	143	0	0	11	0	35	5	0	0	1	0	0	0	0	5
assemblage-25-4	139	0	0	0	0	61	0	0	0	0	0	0	0	0	0
assemblage-6-2	146	0	0	20	0	27	2	0	0	0	0	0	0	0	5
assemblage-7-3	128	0	0	0	0	66	0	1	5	0	0	0	0	0	0
assemblage-20-3	152	0	0	7	0	33	2	0	0	1	0	0	0	0	5
assemblage-20-1	144	0	0	0	0	56	0	0	0	0	0	0	0	0	0
assemblage-18-4	133	0	0	9	0	46	4	1	4	2	0	0	0	0	1
assemblage-16-2	77	0	0	0	0	123	0	0	0	0	0	0	0	0	0
assemblage-19-1	103	0	1	0	0	96	0	0	0	0	0	0	0	0	0
assemblage-4-4	143	0	0	0	0	56	0	0	0	0	0	0	0	1	0
