Assemblage_Name	0-2-6976909	0-6145511-2	0-2844493-2	4-2-3	4-7631206-9079620	4-2-9079620	0-2856237-2	4-8294143-9079620	0-2-8246843	9443376-2-2	4-8229083-9079620	0-1485011-2	0-775059-2	0-2-2	4-72084-3
assemblage-15-2	0	0	0	35	0	0	0	0	0	0	0	0	7	158	0
assemblage-11-3	0	0	0	16	0	34	1	0	0	0	0	0	0	149	0
assemblage-11-2	1	0	0	7	0	20	1	0	0	0	0	0	0	171	0
assemblage-12-4	0	0	0	53	0	0	0	0	0	0	0	0	0	147	0
assemblage-28-1	0	0	0	38	0	0	0	0	0	0	0	0	0	161	1
assemblage-12-1	0	0	0	0	10	63	0	0	0	0	0	3	0	124	0
assemblage-12-2	0	0	0	44	0	0	0	0	0	0	0	0	0	156	0
assemblage-2-3	0	0	0	55	0	1	0	0	0	0	0	0	3	141	0
assemblage-1-4	0	0	4	38	0	3	0	0	0	0	0	0	1	154	0
assemblage-3-2	0	0	2	59	0	0	0	0	4	0	0	0	0	135	0
assemblage-21-4	0	0	0	0	12	59	0	1	0	0	0	2	0	126	0
assemblage-21-3	0	0	0	8	0	27	0	0	0	0	0	0	0	165	0
assemblage-28-3	0	0	0	0	10	67	0	0	0	1	2	3	0	117	0
assemblage-25-4	0	0	0	52	0	0	0	0	1	0	0	0	0	147	0
assemblage-6-2	0	0	0	0	10	66	0	0	0	0	0	3	0	121	0
assemblage-7-3	0	0	0	5	0	37	0	0	0	0	0	0	0	158	0
assemblage-20-3	0	0	0	0	5	67	0	0	0	0	0	3	0	125	0
assemblage-20-1	0	1	0	59	0	0	0	0	4	0	0	0	0	136	0
assemblage-18-4	0	0	0	6	7	57	0	0	0	0	0	0	0	130	0
assemblage-16-2	0	0	0	36	0	6	0	0	0	0	0	0	10	148	0
assemblage-19-1	0	0	0	50	0	0	0	0	2	0	0	0	3	145	0
assemblage-4-4	0	0	14	47	0	0	0	0	2	0	0	0	0	137	0
