Assemblage_Name	3505180-5994285-0	9232069-4-3	2-5994285-5376200	3-4-5542046	4103-4-3	9385399-5994285-0	3-1385238-3	2-9190738-0	6889135-2-6835579	3-4-6840183	8754550-5994285-0	2-2-0	2-6983981-0	8189169-5994285-0	2519565-5994285-0	6889135-2-0	2-2784857-0	2-4469838-0	3376225-4-3	1990847-5994285-0	2-2367080-0	3-4-6747379	2-5994285-4333163	3-4-3	8917432-5994285-0	2-5994285-0	2-5994285-6717107
assemblage-15-2	0	0	0	0	0	0	1	0	0	0	0	34	0	0	6	20	0	0	0	1	0	0	0	66	0	72	0
assemblage-11-3	1	1	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	24	0	168	0
assemblage-11-2	0	6	0	0	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	30	0	153	0
assemblage-12-4	0	0	0	0	0	0	0	0	0	0	0	10	0	0	5	16	0	0	1	0	0	0	0	68	0	100	0
assemblage-28-1	0	0	0	0	0	0	0	0	1	0	0	63	0	0	2	9	0	0	0	0	0	0	0	55	0	70	0
assemblage-12-1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	189	0
assemblage-12-2	0	0	0	0	0	0	0	0	0	0	0	56	0	0	2	14	0	0	0	0	0	0	0	63	0	65	0
assemblage-2-3	0	2	0	0	0	0	0	0	0	0	0	21	0	0	2	22	0	0	0	0	0	0	0	65	0	88	0
assemblage-1-4	0	1	0	0	0	0	0	0	0	0	1	27	0	0	2	8	0	0	0	0	0	0	0	71	0	90	0
assemblage-3-2	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	1	0	0	0	0	0	0	112	0	24	0
assemblage-21-4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	4	1	190	0
assemblage-21-3	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	38	0	158	0
assemblage-28-3	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	188	0
assemblage-25-4	0	0	0	1	0	0	0	0	0	0	0	66	0	0	0	7	0	0	0	0	0	0	0	80	0	46	0
assemblage-6-2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	192	0
assemblage-7-3	2	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	33	0	161	0
assemblage-20-3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	189	0
assemblage-20-1	0	0	0	1	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	102	0	25	2
assemblage-18-4	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	23	0	173	0
assemblage-16-2	0	0	0	0	0	0	0	0	0	0	0	10	0	0	13	26	0	0	0	1	0	0	0	93	0	57	0
assemblage-19-1	0	0	0	0	0	0	0	0	0	0	0	35	0	0	1	14	0	0	0	1	0	0	0	92	0	56	1
assemblage-4-4	0	0	0	1	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	1	0	121	0	32	0
