Assemblage_Name	4-8049120-2	4-0-1381488	4581411-8038918-2	4-159749-2	4581411-0-2	4-0-6426338	4-651235-2	823537-0-2	4-0-5529448	4-0-2	4-2726208-2	7328944-0-2	373809-0-2	6530599-0-2	4-0-749576
assemblage-15-2	0	3	0	0	0	0	0	0	0	197	0	0	0	0	0
assemblage-11-3	1	0	0	0	0	0	0	0	0	186	0	13	0	0	0
assemblage-11-2	0	0	0	0	0	0	0	0	0	194	0	6	0	0	0
assemblage-12-4	0	0	0	0	0	0	0	1	0	199	0	0	0	0	0
assemblage-28-1	0	1	0	0	0	0	0	0	0	199	0	0	0	0	0
assemblage-12-1	0	0	0	0	6	0	0	0	0	193	0	1	0	0	0
assemblage-12-2	0	2	0	0	0	0	0	0	0	195	1	0	0	1	1
assemblage-2-3	0	0	0	0	0	0	0	1	0	199	0	0	0	0	0
assemblage-1-4	0	0	0	0	0	1	0	0	0	195	0	4	0	0	0
assemblage-3-2	0	0	0	0	0	2	0	0	1	197	0	0	0	0	0
assemblage-21-4	0	0	0	1	3	0	0	0	0	196	0	0	0	0	0
assemblage-21-3	0	0	0	0	0	0	0	0	0	193	0	7	0	0	0
assemblage-28-3	0	0	0	1	14	0	0	0	0	185	0	0	0	0	0
assemblage-25-4	0	0	0	0	0	2	0	0	0	198	0	0	0	0	0
assemblage-6-2	0	0	0	0	6	0	0	0	0	193	0	0	1	0	0
assemblage-7-3	0	0	0	0	0	0	0	0	0	197	0	3	0	0	0
assemblage-20-3	0	0	1	1	9	0	0	0	0	189	0	0	0	0	0
assemblage-20-1	0	0	0	0	0	1	1	0	0	198	0	0	0	0	0
assemblage-18-4	0	0	0	1	4	0	0	0	0	189	0	6	0	0	0
assemblage-16-2	0	0	0	0	0	0	0	1	0	199	0	0	0	0	0
assemblage-19-1	0	2	0	0	0	0	0	0	0	198	0	0	0	0	0
assemblage-4-4	0	0	0	0	0	2	0	0	0	198	0	0	0	0	0
