Assemblage_Name	3-2-8660185	640046-2-4	4578631-2-5306995	3-3663252-4	3-4449606-4	3-2-1630473	1-0-3	4403341-2-4	3-5601931-4	3-2-5443522	4578631-2-4	3-800540-4	3-2096077-4	3-2-4	3-8967362-4	3-6067876-4
assemblage-15-2	0	0	0	0	0	3	0	0	0	0	20	19	1	156	0	1
assemblage-11-3	0	0	0	0	0	0	0	0	0	0	3	0	14	183	0	0
assemblage-11-2	0	0	0	0	0	0	0	0	0	0	2	0	17	181	0	0
assemblage-12-4	0	0	0	0	0	6	0	1	0	0	10	7	0	176	0	0
assemblage-28-1	0	0	0	1	0	0	0	0	0	0	0	35	0	164	0	0
assemblage-12-1	0	0	0	0	0	0	0	0	0	0	0	0	17	182	1	0
assemblage-12-2	0	0	0	0	0	0	0	0	0	0	0	26	0	174	0	0
assemblage-2-3	0	0	0	0	0	5	0	0	0	0	11	6	0	177	0	1
assemblage-1-4	0	0	0	0	0	1	6	0	0	0	3	9	6	175	0	0
assemblage-3-2	0	1	0	0	0	0	22	0	0	0	0	0	0	177	0	0
assemblage-21-4	0	0	0	0	0	0	0	0	0	0	0	0	14	186	0	0
assemblage-21-3	0	0	0	0	1	0	0	0	0	0	6	1	9	183	0	0
assemblage-28-3	1	0	0	0	0	0	0	0	1	0	0	0	16	182	0	0
assemblage-25-4	0	0	0	0	0	0	9	0	0	0	0	11	0	180	0	0
assemblage-6-2	0	0	0	0	0	0	0	0	1	0	0	0	9	189	1	0
assemblage-7-3	0	0	0	0	0	0	0	0	0	1	5	0	12	182	0	0
assemblage-20-3	0	0	0	0	0	0	0	0	2	0	0	0	10	188	0	0
assemblage-20-1	0	0	0	0	0	0	17	0	0	0	0	0	0	183	0	0
assemblage-18-4	0	0	0	0	0	0	0	0	0	0	0	0	13	187	0	0
assemblage-16-2	0	0	0	0	0	3	0	0	0	0	35	8	0	153	0	1
assemblage-19-1	0	0	1	0	0	1	7	0	0	0	8	13	0	169	0	1
assemblage-4-4	0	0	0	0	0	0	17	0	0	0	0	0	0	183	0	0
