Seriation_Number	Assemblage	8639351-4-4	733770-4-2	0-0-2	3-2677409-2	5119683-4-2	3-7596707-2	3-4-1403441	3-4-2	3-7779774-2	2-1-4	4-4-4	3-3983074-2	4-4-0	3-8671927-2	3-4507280-2	3295939-0-2	9543264-4-2	2-2-0	1176652-4-2	3-4-9589649	3288350-4-2	3-4-6650077	4-4-6784101	3-8421824-2	2-2522762-4
21	assemblage-46-35	0	0	0	0	0	0	0	68743	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
21	assemblage-3-16	0	0	0	0	0	0	0	68341	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0

22	assemblage-51-43	0	0	470	0	0	0	0	682	0	225	516	0	676	0	0	0	0	6	0	0	0	0	134	0	0
22	assemblage-1-73	0	0	0	0	0	0	0	70871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	assemblage-3-16	0	0	0	0	0	0	0	68341	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0

23	assemblage-51-43	0	0	470	0	0	0	0	682	0	225	516	0	676	0	0	0	0	6	0	0	0	0	134	0	0
23	assemblage-1-73	0	0	0	0	0	0	0	70871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	assemblage-46-35	0	0	0	0	0	0	0	68743	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

24	assemblage-32-5	0	0	0	0	0	0	0	0	0	0	1753	0	4	0	0	0	0	0	0	0	0	0	951	0	0
24	assemblage-46-35	0	0	0	0	0	0	0	68743	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
24	assemblage-3-16	0	0	0	0	0	0	0	68341	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0

25	assemblage-32-5	0	0	0	0	0	0	0	0	0	0	1753	0	4	0	0	0	0	0	0	0	0	0	951	0	0
25	assemblage-1-73	0	0	0	0	0	0	0	70871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	assemblage-3-16	0	0	0	0	0	0	0	68341	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0

26	assemblage-32-5	0	0	0	0	0	0	0	0	0	0	1753	0	4	0	0	0	0	0	0	0	0	0	951	0	0
26	assemblage-1-73	0	0	0	0	0	0	0	70871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	assemblage-46-35	0	0	0	0	0	0	0	68743	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

27	assemblage-32-5	0	0	0	0	0	0	0	0	0	0	1753	0	4	0	0	0	0	0	0	0	0	0	951	0	0
27	assemblage-55-47	0	0	0	0	0	0	0	0	0	0	0	0	2695	0	0	0	0	14	0	0	0	0	0	0	0
27	assemblage-3-16	0	0	0	0	0	0	0	68341	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0

28	assemblage-32-5	0	0	0	0	0	0	0	0	0	0	1753	0	4	0	0	0	0	0	0	0	0	0	951	0	0
28	assemblage-55-47	0	0	0	0	0	0	0	0	0	0	0	0	2695	0	0	0	0	14	0	0	0	0	0	0	0
28	assemblage-46-35	0	0	0	0	0	0	0	68743	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

29	assemblage-32-5	0	0	0	0	0	0	0	0	0	0	1753	0	4	0	0	0	0	0	0	0	0	0	951	0	0
29	assemblage-55-47	0	0	0	0	0	0	0	0	0	0	0	0	2695	0	0	0	0	14	0	0	0	0	0	0	0
29	assemblage-1-73	0	0	0	0	0	0	0	70871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

30	assemblage-32-5	0	0	0	0	0	0	0	0	0	0	1753	0	4	0	0	0	0	0	0	0	0	0	951	0	0
30	assemblage-28-69	0	0	300	0	0	0	0	36	0	0	191	0	2178	0	0	0	0	4	0	0	0	0	0	0	0
30	assemblage-3-16	0	0	0	0	0	0	0	68341	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0

31	assemblage-32-5	0	0	0	0	0	0	0	0	0	0	1753	0	4	0	0	0	0	0	0	0	0	0	951	0	0
31	assemblage-28-69	0	0	300	0	0	0	0	36	0	0	191	0	2178	0	0	0	0	4	0	0	0	0	0	0	0
31	assemblage-46-35	0	0	0	0	0	0	0	68743	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0

32	assemblage-32-5	0	0	0	0	0	0	0	0	0	0	1753	0	4	0	0	0	0	0	0	0	0	0	951	0	0
