Seriation_Number	Assemblage	2-4610226-4	494955-0-4	2-828402-4	3-1-1	2-2428517-4	2-0-9751889	7650189-3-2	1-0-3	2-3126329-4	0-3-2	2054239-0-4	2-0-3943657	2-0-1973255	1-3-3	2-0-4	2-5901527-4	1683664-0-4	5574527-0-4
37	assemblage-53-34	1	1	0	0	0	0	0	0	0	0	0	0	0	0	164664	3	1	1
37	assemblage-62-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163864	0	0	0

38	assemblage-17-4	0	0	0	0	0	0	0	1386	0	3194	0	0	0	8	58	0	0	0
38	assemblage-14-31	0	0	0	0	0	0	0	0	3	0	0	0	0	0	164140	0	0	0
38	assemblage-3-10	0	0	0	0	55	0	0	0	0	0	0	0	0	0	163511	0	0	0

39	assemblage-17-4	0	0	0	0	0	0	0	1386	0	3194	0	0	0	8	58	0	0	0
39	assemblage-14-31	0	0	0	0	0	0	0	0	3	0	0	0	0	0	164140	0	0	0
39	assemblage-17-33	0	0	0	0	165	1	0	0	0	0	0	0	5	0	163396	0	0	0

40	assemblage-17-4	0	0	0	0	0	0	0	1386	0	3194	0	0	0	8	58	0	0	0
40	assemblage-14-31	0	0	0	0	0	0	0	0	3	0	0	0	0	0	164140	0	0	0
40	assemblage-62-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163864	0	0	0

41	assemblage-17-4	0	0	0	0	0	0	0	1386	0	3194	0	0	0	8	58	0	0	0
41	assemblage-14-31	0	0	0	0	0	0	0	0	3	0	0	0	0	0	164140	0	0	0
41	assemblage-53-34	1	1	0	0	0	0	0	0	0	0	0	0	0	0	164664	3	1	1

42	assemblage-17-4	0	0	0	0	0	0	0	1386	0	3194	0	0	0	8	58	0	0	0
42	assemblage-14-31	0	0	0	0	0	0	0	0	3	0	0	0	0	0	164140	0	0	0
42	assemblage-25-47	0	0	0	4612	0	0	0	0	0	0	0	0	0	0	34	0	0	0

43	assemblage-17-4	0	0	0	0	0	0	0	1386	0	3194	0	0	0	8	58	0	0	0
43	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164671	0	0	0
43	assemblage-3-10	0	0	0	0	55	0	0	0	0	0	0	0	0	0	163511	0	0	0

44	assemblage-17-4	0	0	0	0	0	0	0	1386	0	3194	0	0	0	8	58	0	0	0
44	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164671	0	0	0
44	assemblage-17-33	0	0	0	0	165	1	0	0	0	0	0	0	5	0	163396	0	0	0

45	assemblage-17-4	0	0	0	0	0	0	0	1386	0	3194	0	0	0	8	58	0	0	0
45	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164671	0	0	0
45	assemblage-53-34	1	1	0	0	0	0	0	0	0	0	0	0	0	0	164664	3	1	1

46	assemblage-17-4	0	0	0	0	0	0	0	1386	0	3194	0	0	0	8	58	0	0	0
46	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164671	0	0	0
46	assemblage-25-47	0	0	0	4612	0	0	0	0	0	0	0	0	0	0	34	0	0	0

47	assemblage-17-4	0	0	0	0	0	0	0	1386	0	3194	0	0	0	8	58	0	0	0
47	assemblage-13-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164671	0	0	0
47	assemblage-14-31	0	0	0	0	0	0	0	0	3	0	0	0	0	0	164140	0	0	0

