Assemblage_Name	3-2-0	3-2530791-2	2-2589167-4	2-3013581-4	734333-4-4	3-7963108-2	795512-4-4	3-5972713-2	0-2-4	2-4-4816344	2-5646354-4	9939170-4-4	5249610-4-2	5098138-4-4	2-4-4532899	2-702178-4	3-1807285-2	6904333-2661141-4	3-5623195-2	3-7972352-2	1799529-4-2	3-5345525-2	2-3953254-4	9780433-2-4	2-4-4076688	2-1-4	3-4088199-2	2-7783660-4	6040132-4-4	3-4-2742203	7086763-4-2	3-4-2	3-4-5650322	2-6908559-4	9955001-2-4	317173-4-4	2-4292597-4	3310522-4-2	6842674-4-4	3-4-3099159	2-4-4	3-6460983-2	5314562-4-2	2-327688-4	186010-4-4	6904333-4-4	3-1049934-2	8956863-4-4	7006762-2-4	3-4150264-2	5218087-4-4	2-8465441-4	5893755-4-4	0-2-7369572	2339304-4-4	2-9795452-4	3-113056-2	2-5677280-4	0-2-6248925
assemblage-24-5	0	0	0	0	0	0	0	0	6110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25790	0	0	0	0	0	2784	0	0	0	0	0	0	0	0	1223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-3-42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-29-52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	788	7	0	0	0	0	0	0	0	0	28070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-21-17	0	0	0	0	0	0	0	0	5386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16142	0	0	0	0	0	0	0	0	9124	0	0	0	0	12	0	0	0	0	24	0	0	0	0	0	0	0	0
assemblage-73-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	10553	0	0	0	0	0	0	0	0	17641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-10-51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4529	47351	0	0	0	0	0	0	0	0	5210	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-36-54	0	0	0	0	0	0	0	0	13923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11607	0	0	0	0	0	0	0	0	5145	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-16-44	0	0	0	0	0	0	1	0	11617	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	2	0	0	10180	0	0	0	0	0	0	0	0	2633	0	0	0	0	11450	0	0	0	0	0	0	0	18	0	0	0	0	0
assemblage-15-32	0	0	0	0	0	0	0	0	5181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-32-65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	17691	0	0	0	0	0	0	0	0	10360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-60-61	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5209	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-69-65	0	0	0	0	0	0	0	0	4265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	634	0	0	0	0	0	0	0	0	68	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-9-27	0	0	0	0	0	0	0	0	12684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14656	0	0	0	0	0	0	0	0	3071	0	0	0	0	273	0	0	1	0	3	0	0	0	0	0	0	0	0
assemblage-59-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13210	0	0	0	0	0	0	0	0	15488	0	0	0	0	0	0	5	0	0	241	0	0	0	0	0	0	0	0
assemblage-61-65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	33	17142	0	0	0	0	0	0	0	0	11046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-61-64	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	9476	0	0	0	0	0	0	0	0	18690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-58-31	0	3	0	0	0	0	0	0	5228	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46155	0	0	0	0	0	0	0	0	8061	0	0	0	0	171	7	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-39-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18229	0	0	0	0	0	0	0	0	10713	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
assemblage-47-50	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1040	2950	0	0	0	0	0	0	0	0	24870	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
assemblage-25-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	14345	0	0	0	0	0	0	0	0	13838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-41-54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	11	0	0	0	0	0	0	15154	0	0	0	0	0	0	0	0	13058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-74-56	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5217	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-2-62	0	0	0	0	0	0	0	0	8950	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3307	0	0	0	0	0	10533	0	0	0	0	0	0	0	0	7157	0	0	0	0	691	0	0	0	0	45	0	0	2	0	0	0	0	0
assemblage-28-72	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	5214	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-26-20	0	0	0	0	0	0	0	0	13906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14045	0	0	0	0	0	1583	0	0	0	0	0	0	0	0	1153	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-30-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	10435	0	0	0	0	0	0	0	0	17769	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
assemblage-27-51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4793	18252	0	0	0	0	0	0	0	0	34046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-10-6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5214	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-46-24	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	2078	0	1	0	0	0	0	0	0	26580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-66-45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5984	0	0	0	0	0	0	0	0	22241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-68-49	120	0	0	0	0	0	0	0	8446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	24	0	0	0	30752	0	0	0	0	0	0	1	0	25394	0	0	0	0	30	0	0	0	0	28	0	0	0	0	0	0	0	10
assemblage-54-71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19550	0	0	0	0	0	0	0	0	9354	0	0	0	0	0	2	0	0	0	37	0	0	0	0	0	0	0	0
assemblage-20-62	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-13-67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17534	0	0	0	0	0	0	0	0	10691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-37-15	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	381	710	0	0	0	0	0	0	0	0	27760	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
