Seriation_Number	Assemblage	1-4-0	1-8734136-0	1-4-3	1-7229875-0	1-0-4	4-4-0	1-8053407-0	1-4-1794415	1738595-4-0	3266165-4-0	1-4817588-0	1-2396208-0	8787442-4-0	7157021-4-3
26	assemblage-43-9	164136	0	0	0	0	0	0	1	0	2	0	0	1	0
26	assemblage-63-12	779	0	4298	0	0	145	0	0	0	0	0	0	0	0

27	assemblage-17-4	1	0	1494	0	0	3725	0	0	0	0	0	0	0	0
27	assemblage-27-49	417	0	527	0	3200	1077	0	0	0	0	0	0	0	0
27	assemblage-3-10	164364	0	0	0	0	0	6	0	0	0	0	0	0	0

28	assemblage-17-4	1	0	1494	0	0	3725	0	0	0	0	0	0	0	0
28	assemblage-40-68	163989	1	0	114	0	0	0	0	0	0	0	0	0	0
28	assemblage-3-10	164364	0	0	0	0	0	6	0	0	0	0	0	0	0

29	assemblage-17-4	1	0	1494	0	0	3725	0	0	0	0	0	0	0	0
29	assemblage-73-41	164370	0	0	0	0	0	0	0	0	0	0	0	0	0
29	assemblage-3-10	164364	0	0	0	0	0	6	0	0	0	0	0	0	0

30	assemblage-17-4	1	0	1494	0	0	3725	0	0	0	0	0	0	0	0
30	assemblage-73-41	164370	0	0	0	0	0	0	0	0	0	0	0	0	0
30	assemblage-40-68	163989	1	0	114	0	0	0	0	0	0	0	0	0	0

31	assemblage-17-4	1	0	1494	0	0	3725	0	0	0	0	0	0	0	0
31	assemblage-63-12	779	0	4298	0	0	145	0	0	0	0	0	0	0	0
31	assemblage-3-10	164364	0	0	0	0	0	6	0	0	0	0	0	0	0

32	assemblage-17-4	1	0	1494	0	0	3725	0	0	0	0	0	0	0	0
32	assemblage-63-12	779	0	4298	0	0	145	0	0	0	0	0	0	0	0
32	assemblage-40-68	163989	1	0	114	0	0	0	0	0	0	0	0	0	0

33	assemblage-17-4	1	0	1494	0	0	3725	0	0	0	0	0	0	0	0
33	assemblage-63-12	779	0	4298	0	0	145	0	0	0	0	0	0	0	0
33	assemblage-73-41	164370	0	0	0	0	0	0	0	0	0	0	0	0	0

