Assemblage_Name	6344981-1367305-2	5382991-0-0	1262133-1-2	8434011-9685049-2	6344981-7569731-2	9198313-8626040-2	1-0-0	3-8626040-363426	3087715-1-9012818	1464344-1-2	3-8626040-2	4716044-8626040-2	0-1367305-2	5903401-8626040-2	613347-1-2198310	9957312-8626040-2	3-2273551-6152378	0-1367305-9965538	2676735-8626040-6152378	0-4-4	0-6940193-2	981870-9442351-2	3-6986147-2	0-1-2	1-0-3853194	3970717-1-4	0-173064-2	3-2163638-2	3-0-891506	3-8626040-3236329	0-1-4472238	981870-8626040-2	3-1-4	3-4164171-2	0-8394119-2	0-3067433-2	4-2-5255814	3-8626040-1047865	0-4344208-2	8023996-0-2	0-738226-2	3188629-0-0	7188155-1-2	3-1443167-2	0-1-9410734	1464344-1-9012818	912358-8626040-2	3389794-8626040-2	2-4-3	3-0-2	0-1074336-2	8434011-1-2	0-3252913-2	3-0-9218377	4-2-2	3-8626040-6152378	8434011-1-9747743	3471088-1-9012818	7600671-1443167-2	0-1-5382086	3-8626040-5937881	3-0-5984426	0-9711672-2	1-0-5719927	2538054-0-2	3-1107089-6152378	8434011-1-3859242	3-5780057-2	5498614-1-9012818	0-534767-8038366	137564-0-0	0-5919629-2	3-8626040-9542054	4451734-1-2	8807267-1-2	1464344-1-2198310	3-8626040-2396336	1464344-1-7052104
assemblage-663-968	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	15
assemblage-832-789	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0	0	0	0	0	6	0	18	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	22
assemblage-549-432	0	0	0	0	0	0	0	0	0	9	0	0	76	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	27	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	14
assemblage-637-948	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	8
assemblage-653-972	0	0	0	0	0	0	0	0	0	6	394	0	0	0	0	9	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	17
assemblage-750-626	0	0	0	0	0	0	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-834-809	0	0	0	0	0	0	0	0	0	0	389	0	0	6	0	0	0	0	0	0	0	10	0	20	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	12
assemblage-639-332	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	49	0	0	34	0	0	0	0	0	11	304	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-749-590	0	4	0	0	0	0	477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-788-907	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-431-697	0	0	0	0	0	0	0	0	0	5	408	0	0	0	0	10	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	15
assemblage-393-831	0	0	8	0	0	0	0	0	0	14	0	0	79	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-752-785	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-840-332	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-895-640	0	0	0	0	0	0	0	0	0	7	388	0	0	0	0	14	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	21
assemblage-762-980	0	0	7	0	0	0	0	0	0	18	0	0	73	0	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-766-603	0	3	0	0	0	0	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-737-767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-663-744	0	0	0	0	0	0	0	0	5	9	0	0	67	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	22	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	12
